,language,constrictedGlottis,elevation
adze1240,Adzera,1,207
ainu1240,Hokkaido Ainu,1,216
alab1237,Alabama,1,89
alaw1244,Alawa,1,147
aleu1260,Aleut,1,82
amah1246,Amahuaca,1,429
amha1245,Amharic,11,3440
apin1244,Apinayé,1,229
asha1243,Asháninka,1,497
atay1247,Atayal,1,1882
awiy1238,Awiyaana,1,1917
bouy1240,Bouyei,1,774
cent1989,Central Khmer,1,26
cent2050,Central Kanuri,1,314
cent2144,Central Mazahua,7,2941
chac1249,Cha'palaa,1,122
chac1251,Chácobo,1,185
cham1312,Chamorro,1,69
chip1261,Chipewyan,7,258
chiq1250,Chiquihuitlán Mazatec,1,1897
chuk1273,Chukchi,1,0
copa1236,Copainalá Zoque,1,526
east2542,Eastern Ojibwa,1,213
egyp1253,Egyptian Arabic,2,6
finn1318,Finnish,1,66
gads1258,Gadsup,1,1311
gali1262,Galibi Carib,1,6
garo1247,Garo,5,114
gbay1287,Gbaya-Bossangoa,1,476
hakk1236,Hakka Chinese,1,365
haus1257,Hausa,6,600
hawa1245,Hawaiian,1,2020
hebr1245,Modern Hebrew,1,515
hind1269,Hindi,1,416
hopi1249,Hopi,1,1713
hupa1239,Hupa,8,123
igna1246,Ignaciano,1,159
iraq1241,Iraqw,2,1767
iton1250,Itonama,4,169
iumi1238,Iu Mien,2,1299
jaqa1244,Jaqaru,8,2766
java1254,Javanese,1,112
kaba1278,Kabardian,12,1234
kala1399,Kalaallisut,1,0
karo1304,Karok,1,676
kett1243,Ket,1,176
khas1269,Khasi,1,38
kore1280,Korean,6,154
kumi1248,Tipai,1,297
kuru1302,Kurukh,1,284
kwak1269,Kwak'wala,8,112
kwom1262,Kwoma,1,31
lahu1253,Lahu,1,1476
lakk1238,Lakkia,1,767
lakk1252,Lak,11,2018
lako1247,Lakota,8,834
lugb1240,Lugbara,1,1225
luis1253,Luiseno,1,742
luok1236,Luo (Kenya and Tanzania),1,1467
malt1254,Maltese,2,44
marg1265,Marghi Central,1,426
maun1240,Mawng,1,28
mezq1235,Mezquital Otomi,11,2391
moro1292,Moroccan Arabic,2,352
mund1320,Mundari,1,50
naas1242,Naasioi,1,1855
nava1243,Navajo,5,2140
nene1249,Tundra Nenets,1,0
nezp1238,Nez Perce,11,1041
ngas1240,Ngas,1,1130
nort2697,North Azerbaijani,1,276
nort2938,Northern Haida,8,80
nort2952,Northeast Maidu,5,1271
norw1259,Norwegian Bokmål,1,20
nucl1235,Eastern Armenian,5,1912
nucl1301,Turkish,1,1138
nucl1302,Georgian,6,1338
nucl1310,Burmese,2,711
nucl1347,Wolof,1,53
nucl1643,Japanese,1,127
nuuc1236,Nuu-chah-nulth,10,614
nyan1301,Nyangumarta,1,260
nyis1236,Nyishi-Hill Miri,1,996
ocai1244,Ocaina,1,114
onei1249,Oneida,1,375
paez1247,Páez,1,3472
papa1238,Papantla Totonac,1,89
para1311,Paraguayan Guaraní,1,184
pure1242,Purepecha,1,2340
saba1265,Sa'ban,1,1002
sanm1295,San Miguel El Grande Mixtec,1,2279
seda1262,Sedang,8,1287
sene1264,Seneca,1,427
sgaw1245,S'gaw Karen,1,246
shua1257,Shuar,2,1256
soma1255,Somali,1,211
sout2961,Southern Tiwa,5,1532
sout2982,Southeastern Pomo,7,439
sout2991,South Bolivian Quechua,6,4156
squa1248,Squamish,9,50
stan1293,English,1,22
stan1295,German,1,368
stra1244,Northern Straits Salish,9,490
sund1252,Sundanese,1,493
taba1266,Tabasco Chontal,6,3
taga1270,Tagalog,1,93
tele1256,Telefol,1,2130
tewa1260,Rio Grande Tewa,7,1687
thai1261,Thai,2,3
ticu1245,Ticuna,1,150
tigr1270,Tigre,9,2112
toho1245,Tohono O'odham,1,640
tolo1259,Tolowa-Chetco,9,81
tuni1252,Tunica,1,40
tzel1254,Tzeltal,6,2091
