,language,continuant,elevation
adze1240,Adzera,13,207
ainu1240,Hokkaido Ainu,10,216
akan1250,Akan,24,166
alab1237,Alabama,13,89
alaw1244,Alawa,12,147
aleu1260,Aleut,24,82
amah1246,Amahuaca,15,429
amha1245,Amharic,27,3440
anta1253,Antakarinya,13,178
apin1244,Apinayé,40,229
asha1243,Asháninka,11,497
atay1247,Atayal,18,1882
awiy1238,Awiyaana,9,1917
awng1244,Awngi,15,2024
basq1248,Basque,14,362
bata1289,Batak Toba,11,948
beem1239,Beembe,27,358
beng1280,Bengali,28,8
bouy1240,Bouyei,16,774
bret1244,Breton,30,143
bulg1262,Bulgarian,28,98
buru1296,Burushaski,25,3309
cent1973,Central Pashto,23,1057
cent1989,Central Khmer,27,26
cent2050,Central Kanuri,18,314
cent2144,Central Mazahua,30,2941
chac1249,Cha'palaa,13,122
chac1251,Chácobo,13,185
cham1312,Chamorro,15,69
chip1261,Chipewyan,32,258
chiq1250,Chiquihuitlán Mazatec,18,1897
chuk1273,Chukchi,13,0
chuv1255,Chuvash,25,95
copa1236,Copainalá Zoque,18,526
dagb1246,Dagbani,20,181
east2328,Eastern Mari,23,45
east2542,Eastern Ojibwa,16,213
egyp1253,Egyptian Arabic,43,6
even1260,Even,24,0
ewee1241,Ewe,26,114
finn1318,Finnish,27,66
gaaa1244,Ga,26,94
gads1258,Gadsup,8,1311
gali1262,Galibi Carib,18,6
garo1247,Garo,11,114
gbay1287,Gbaya-Bossangoa,22,476
gily1242,Nivkh,25,365
hakk1236,Hakka Chinese,13,365
halh1238,Halh Mongolian,23,1305
haus1257,Hausa,23,600
hawa1245,Hawaiian,14,2020
hebr1245,Modern Hebrew,17,515
hind1269,Hindi,45,416
hopi1249,Hopi,28,1713
hung1274,Hungarian,36,110
hupa1239,Hupa,17,123
iaai1238,Iaai,31,21
icel1247,Icelandic,29,0
igna1246,Ignaciano,13,159
iraq1241,Iraqw,26,1767
iris1253,Irish,45,88
isla1278,Island Carib,20,758
iton1250,Itonama,12,169
iumi1238,Iu Mien,17,1299
jaqa1244,Jaqaru,14,2766
java1254,Javanese,15,112
kaba1278,Kabardian,33,1234
kala1399,Kalaallisut,20,0
karo1304,Karok,25,676
kash1277,Kashmiri,36,1623
kett1243,Ket,20,176
khan1273,Kazym-Berezover-Suryskarer Khanty,22,54
khar1287,Kharia,17,376
khas1269,Khasi,14,38
kirg1245,Kirghiz,25,3699
komi1268,Komi-Zyrian,20,125
kore1280,Korean,24,154
kota1263,Kota (India),18,1456
koyr1242,Koyraboro Senni Songhai,28,261
kumi1248,Tipai,22,297
kuni1267,Kunimaipa,10,1857
kunj1245,Kunjen,13,162
kuru1302,Kurukh,35,284
kwak1269,Kwak'wala,24,112
kwom1262,Kwoma,16,31
lahu1253,Lahu,17,1476
lakk1238,Lakkia,32,767
lakk1252,Lak,31,2018
lako1247,Lakota,21,834
libe1247,Liberia Kpelle,22,285
lith1251,Lithuanian,26,54
lugb1240,Lugbara,22,1225
luis1253,Luiseno,23,742
luok1236,Luo (Kenya and Tanzania),17,1467
luva1239,Luvale,20,1078
malt1254,Maltese,29,44
mand1415,Mandarin Chinese,24,88
maor1246,Maori,14,451
mapu1245,Mapudungun,15,1538
mara1386,Maranunggu,10,23
