,language,coronal,elevation
adze1240,Adzera,7,207
ainu1240,Hokkaido Ainu,5,216
akan1250,Akan,12,166
alab1237,Alabama,6,89
alaw1244,Alawa,14,147
aleu1260,Aleut,10,82
amah1246,Amahuaca,6,429
amha1245,Amharic,30,3440
anta1253,Antakarinya,11,178
apin1244,Apinayé,7,229
asha1243,Asháninka,9,497
atay1247,Atayal,7,1882
awiy1238,Awiyaana,4,1917
awng1244,Awngi,12,2024
basq1248,Basque,16,362
bata1289,Batak Toba,6,948
beem1239,Beembe,8,358
beng1280,Bengali,22,8
bouy1240,Bouyei,11,774
bret1244,Breton,12,143
bulg1262,Bulgarian,21,98
buru1296,Burushaski,22,3309
cent1973,Central Pashto,19,1057
cent1989,Central Khmer,10,26
cent2050,Central Kanuri,12,314
cent2144,Central Mazahua,23,2941
chac1249,Cha'palaa,13,122
chac1251,Chácobo,8,185
cham1312,Chamorro,14,69
chip1261,Chipewyan,23,258
chiq1250,Chiquihuitlán Mazatec,16,1897
chuk1273,Chukchi,6,0
chuv1255,Chuvash,18,95
copa1236,Copainalá Zoque,12,526
dagb1246,Dagbani,11,181
east2328,Eastern Mari,15,45
east2542,Eastern Ojibwa,10,213
egyp1253,Egyptian Arabic,28,6
even1260,Even,10,0
ewee1241,Ewe,10,114
finn1318,Finnish,12,66
gaaa1244,Ga,16,94
gads1258,Gadsup,3,1311
gali1262,Galibi Carib,5,6
garo1247,Garo,10,114
gbay1287,Gbaya-Bossangoa,10,476
gily1242,Nivkh,14,365
hakk1236,Hakka Chinese,8,365
halh1238,Halh Mongolian,12,1305
haus1257,Hausa,13,600
hawa1245,Hawaiian,3,2020
hebr1245,Modern Hebrew,11,515
hind1269,Hindi,40,416
hopi1249,Hopi,11,1713
hung1274,Hungarian,31,110
hupa1239,Hupa,19,123
iaai1238,Iaai,16,21
icel1247,Icelandic,10,0
igna1246,Ignaciano,10,159
iraq1241,Iraqw,12,1767
iris1253,Irish,25,88
isla1278,Island Carib,7,758
iton1250,Itonama,10,169
iumi1238,Iu Mien,17,1299
jaqa1244,Jaqaru,22,2766
java1254,Javanese,12,112
kaba1278,Kabardian,18,1234
kala1399,Kalaallisut,12,0
karo1304,Karok,13,676
kash1277,Kashmiri,17,1623
kett1243,Ket,11,176
khan1273,Kazym-Berezover-Suryskarer Khanty,12,54
khar1287,Kharia,18,376
khas1269,Khasi,10,38
kirg1245,Kirghiz,10,3699
komi1268,Komi-Zyrian,20,125
kore1280,Korean,10,154
kota1263,Kota (India),15,1456
koyr1242,Koyraboro Senni Songhai,17,261
kumi1248,Tipai,14,297
kuni1267,Kunimaipa,7,1857
kunj1245,Kunjen,13,162
kuru1302,Kurukh,27,284
kwak1269,Kwak'wala,21,112
kwom1262,Kwoma,9,31
lahu1253,Lahu,9,1476
lakk1238,Lakkia,9,767
lakk1252,Lak,27,2018
lako1247,Lakota,13,834
libe1247,Liberia Kpelle,11,285
lith1251,Lithuanian,22,54
lugb1240,Lugbara,12,1225
