,language,delayedRelease,elevation
adze1240,Adzera,5,207
ainu1240,Hokkaido Ainu,3,216
akan1250,Akan,9,166
alab1237,Alabama,5,89
alaw1244,Alawa,1,147
aleu1260,Aleut,13,82
amah1246,Amahuaca,5,429
amha1245,Amharic,20,3440
apin1244,Apinayé,5,229
asha1243,Asháninka,6,497
atay1247,Atayal,7,1882
awng1244,Awngi,8,2024
basq1248,Basque,8,362
bata1289,Batak Toba,3,948
beem1239,Beembe,8,358
beng1280,Bengali,7,8
bouy1240,Bouyei,5,774
bret1244,Breton,7,143
bulg1262,Bulgarian,16,98
buru1296,Burushaski,17,3309
cent1973,Central Pashto,15,1057
cent1989,Central Khmer,4,26
cent2050,Central Kanuri,9,314
cent2144,Central Mazahua,14,2941
chac1249,Cha'palaa,6,122
chac1251,Chácobo,8,185
cham1312,Chamorro,6,69
chip1261,Chipewyan,21,258
chiq1250,Chiquihuitlán Mazatec,12,1897
chuk1273,Chukchi,5,0
chuv1255,Chuvash,9,95
copa1236,Copainalá Zoque,7,526
dagb1246,Dagbani,8,181
east2328,Eastern Mari,12,45
east2542,Eastern Ojibwa,6,213
egyp1253,Egyptian Arabic,27,6
even1260,Even,5,0
ewee1241,Ewe,10,114
finn1318,Finnish,6,66
gaaa1244,Ga,11,94
gads1258,Gadsup,1,1311
gali1262,Galibi Carib,3,6
garo1247,Garo,4,114
gbay1287,Gbaya-Bossangoa,5,476
gily1242,Nivkh,10,365
hakk1236,Hakka Chinese,5,365
halh1238,Halh Mongolian,9,1305
haus1257,Hausa,9,600
hawa1245,Hawaiian,2,2020
hebr1245,Modern Hebrew,12,515
hind1269,Hindi,20,416
hopi1249,Hopi,7,1713
hung1274,Hungarian,25,110
hupa1239,Hupa,14,123
iaai1238,Iaai,10,21
icel1247,Icelandic,7,0
igna1246,Ignaciano,7,159
iraq1241,Iraqw,11,1767
iris1253,Irish,11,88
isla1278,Island Carib,4,758
iton1250,Itonama,4,169
iumi1238,Iu Mien,7,1299
jaqa1244,Jaqaru,12,2766
