Glottocode,language,distributed,elevation
ainu1240,Hokkaido Ainu,1,216
akan1250,Akan,6,166
alab1237,Alabama,2,89
alaw1244,Alawa,5,147
aleu1260,Aleut,4,82
amah1246,Amahuaca,2,429
amha1245,Amharic,12,3440
anta1253,Antakarinya,3,178
apin1244,Apinayé,3,229
asha1243,Asháninka,4,497
atay1247,Atayal,1,1882
awng1244,Awngi,3,2024
basq1248,Basque,8,362
bata1289,Batak Toba,1,948
beem1239,Beembe,1,358
beng1280,Bengali,5,8
bouy1240,Bouyei,4,774
bret1244,Breton,7,143
bulg1262,Bulgarian,4,98
buru1296,Burushaski,4,3309
cent1973,Central Pashto,5,1057
cent1989,Central Khmer,3,26
cent2050,Central Kanuri,4,314
cent2144,Central Mazahua,8,2941
chac1249,Cha'palaa,6,122
chac1251,Chácobo,2,185
cham1312,Chamorro,1,69
chip1261,Chipewyan,9,258
chiq1250,Chiquihuitlán Mazatec,4,1897
chuv1255,Chuvash,4,95
copa1236,Copainalá Zoque,4,526
dagb1246,Dagbani,5,181
east2328,Eastern Mari,6,45
east2542,Eastern Ojibwa,4,213
egyp1253,Egyptian Arabic,6,6
even1260,Even,3,0
ewee1241,Ewe,5,114
finn1318,Finnish,1,66
gaaa1244,Ga,8,94
gads1258,Gadsup,1,1311
garo1247,Garo,1,114
gily1242,Nivkh,4,365
halh1238,Halh Mongolian,3,1305
haus1257,Hausa,3,600
hebr1245,Modern Hebrew,4,515
hind1269,Hindi,21,416
hopi1249,Hopi,1,1713
hung1274,Hungarian,13,110
hupa1239,Hupa,12,123
iaai1238,Iaai,7,21
icel1247,Icelandic,1,0
igna1246,Ignaciano,3,159
iraq1241,Iraqw,1,1767
iris1253,Irish,11,88
isla1278,Island Carib,1,758
iton1250,Itonama,2,169
iumi1238,Iu Mien,5,1299
jaqa1244,Jaqaru,9,2766
java1254,Javanese,3,112
kaba1278,Kabardian,14,1234
kala1399,Kalaallisut,5,0
karo1304,Karok,6,676
kash1277,Kashmiri,4,1623
kett1243,Ket,1,176
khan1273,Kazym-Berezover-Suryskarer Khanty,4,54
khar1287,Kharia,5,376
khas1269,Khasi,3,38
kirg1245,Kirghiz,2,3699
komi1268,Komi-Zyrian,12,125
kore1280,Korean,3,154
kota1263,Kota (India),4,1456
koyr1242,Koyraboro Senni Songhai,3,261
kumi1248,Tipai,8,297
kuni1267,Kunimaipa,1,1857
kunj1245,Kunjen,7,162
kuru1302,Kurukh,16,284
kwak1269,Kwak'wala,4,112
kwom1262,Kwoma,4,31
lahu1253,Lahu,4,1476
lakk1238,Lakkia,1,767
lakk1252,Lak,11,2018
lako1247,Lakota,6,834
libe1247,Liberia Kpelle,2,285
lith1251,Lithuanian,7,54
lugb1240,Lugbara,4,1225
luis1253,Luiseno,3,742
luok1236,Luo (Kenya and Tanzania),6,1467
luva1239,Luvale,5,1078
malt1254,Maltese,6,44
mand1415,Mandarin Chinese,11,88
mapu1245,Mapudungun,7,1538
mara1386,Maranunggu,4,23
marg1265,Marghi Central,9,426
masa1300,Masai,4,1187
maun1240,Mawng,2,28
mezq1235,Mezquital Otomi,3,2391
mode1248,Modern Greek,2,190
moro1292,Moroccan Arabic,14,352
mund1320,Mundari,4,50
nava1243,Navajo,5,2140
nezp1238,Nez Perce,5,1041
ngas1240,Ngas,9,1130
nobi1240,Nobiin,7,277
nort2697,North Azerbaijani,6,276
nort2745,Northern Yukaghir,3,0
nort2938,Northern Haida,7,80
nort2952,Northeast Maidu,2,1271
norw1259,Norwegian Bokmål,8,20
nucl1235,Eastern Armenian,5,1912
nucl1301,Turkish,7,1138
nucl1302,Georgian,5,1338
nucl1310,Burmese,8,711
nucl1347,Wolof,4,53
nucl1417,Igbo,5,8
