,language,fortis,elevation
east2542,Eastern Ojibwa,6,213
lakk1252,Lak,17,2018
saba1265,Sa'ban,6,1002
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,17,408
0,Korean,0,154
1,Ket,0,176
2,Kabardian,0,1234
3,Georgian,0,1338
4,Burushaski,0,3309
5,Kurukh,0,284
6,Telugu,0,440
7,Kota (India),0,1456
8,Mundari,0,50
9,Kharia,0,376
10,Khasi,0,38
11,Sedang,0,1287
12,Central Khmer,0,26
13,Vietnamese,0,8
14,Mandarin Chinese,0,88
15,Wu Chinese,0,205
16,Hakka Chinese,0,365
17,Yue Chinese,0,-3
18,Iu Mien,0,1299
19,Nyishi-Hill Miri,0,996
20,Burmese,0,711
21,Lahu,0,1476
22,Garo,0,114
23,S'gaw Karen,0,246
24,Lakkia,0,767
25,Thai,0,3
26,Bouyei,0,774
27,Western Cham,0,35
28,Atayal,0,1882
29,Plateau Malagasy,0,1653
30,Standard Malay,0,54
31,Batak Toba,0,948
32,Sundanese,0,493
33,Javanese,0,112
34,Tagalog,0,93
35,Chamorro,0,69
36,Iaai,0,21
38,Adzera,0,207
39,Maori,0,451
40,Hawaiian,0,2020
41,Antakarinya,0,178
42,Nyangumarta,0,260
43,Kunjen,0,162
44,Maranunggu,0,23
45,Mawng,0,28
46,Wubuy,0,6
47,Alawa,0,147
48,Wik-Mungkan,0,32
49,Sentani,0,74
50,Kwoma,0,31
51,Tamnim Citak,0,19
52,Telefol,0,2130
53,Gadsup,0,1311
54,Awiyaana,0,1917
55,Kunimaipa,0,1857
56,Selepet,0,759
57,Naasioi,0,1855
58,Aleut,0,82
59,Kalaallisut,0,0
60,Chipewyan,0,258
61,Tolowa-Chetco,0,81
62,Hupa,0,123
63,Navajo,0,2140
64,Northern Haida,0,80
65,Squamish,0,50
66,Northern Straits Salish,0,490
67,Nuu-chah-nulth,0,614
68,Kwak'wala,0,112
69,Unami,0,415
70,Wichita,0,390
71,Lakota,0,834
72,Seneca,0,427
73,Oneida,0,375
74,Yuchi,0,247
75,Alabama,0,89
76,Tunica,0,40
77,Nez Perce,0,1041
78,Northeast Maidu,0,1271
79,Copainalá Zoque,0,526
80,Papantla Totonac,0,89
81,Tabasco Chontal,0,3
82,Tzeltal,0,2091
83,Purepecha,0,2340
84,Karok,0,676
85,Southeastern Pomo,0,439
86,Tipai,0,297
87,Zuni,0,2210
88,Southern Tiwa,0,1532
89,Rio Grande Tewa,0,1687
90,Luiseno,0,742
91,Hopi,0,1713
92,Tohono O'odham,0,640
93,Mezquital Otomi,0,2391
94,Central Mazahua,0,2941
95,Chiquihuitlán Mazatec,0,1897
96,San Miguel El Grande Mixtec,0,2279
97,Cha'palaa,0,122
98,Páez,0,3472
99,Itonama,0,169
100,South Bolivian Quechua,0,4156
101,Jaqaru,0,2766
102,Mapudungun,0,1538
103,Island Carib,0,758
104,Wapishana,0,130
105,Wayuu,0,37
106,Asháninka,0,497
107,Ignaciano,0,159
108,Yanesha',0,2474
109,Shuar,0,1256
110,Waimaha,0,167
111,Ticuna,0,150
112,Galibi Carib,0,6
113,Ocaina,0,114
114,Sirionó,0,182
115,Paraguayan Guaraní,0,184
116,Amahuaca,0,429
117,Chácobo,0,185
118,Apinayé,0,229
119,Hausa,0,600
120,Ngas,0,1130
121,Marghi Central,0,426
122,Somali,0,211
123,Awngi,0,2024
124,Iraqw,0,1767
125,Tigre,0,2112
126,Amharic,0,3440
127,Egyptian Arabic,0,6
128,Moroccan Arabic,0,352
129,Maltese,0,44
130,Modern Hebrew,0,515
132,Liberia Kpelle,0,285
133,Wolof,0,53
134,Dagbani,0,181
135,Akan,0,166
136,Ga,0,94
137,Ewe,0,114
138,Igbo,0,8
139,Beembe,0,358
140,Swahili,0,200
141,Luvale,0,1078
142,Zulu,0,537
143,Gbaya-Bossangoa,0,476
144,Koyraboro Senni Songhai,0,261
145,Central Kanuri,0,314
146,Lugbara,0,1225
147,Nobiin,0,277
148,Luo (Kenya and Tanzania),0,1467
149,Masai,0,1187
151,Irish,0,88
152,Breton,0,143
153,Icelandic,0,0
154,Norwegian Bokmål,0,20
155,English,0,22
156,German,0,368
157,French,0,124
158,Portuguese,0,445
159,Spanish,0,1202
160,Romanian,0,348
161,Russian,0,185
162,Bulgarian,0,98
163,Lithuanian,0,54
164,Northern Tosk Albanian,0,88
165,Modern Greek,0,190
166,Eastern Armenian,0,1912
167,Western Farsi,0,2174
168,Central Pashto,0,1057
169,Kashmiri,0,1623
170,Eastern Panjabi,0,227
171,Hindi,0,416
172,Bengali,0,8
173,Sinhala,0,51
174,Basque,0,362
175,Finnish,0,66
176,Eastern Mari,0,45
177,Komi-Zyrian,0,125
178,Hungarian,0,110
179,Kazym-Berezover-Suryskarer Khanty,0,54
180,Tundra Nenets,0,0
181,Turkish,0,1138
182,North Azerbaijani,0,276
183,Kirghiz,0,3699
184,Chuvash,0,95
185,Sakha,0,875
186,Halh Mongolian,0,1305
187,Even,0,0
188,Northern Yukaghir,0,0
189,Nivkh,0,365
190,Chukchi,0,0
191,Hokkaido Ainu,0,216
192,Japanese,0,127
