,language,high,elevation
adze1240,Adzera,8,207
ainu1240,Hokkaido Ainu,5,216
akan1250,Akan,19,166
alab1237,Alabama,4,89
alaw1244,Alawa,11,147
aleu1260,Aleut,13,82
amah1246,Amahuaca,8,429
amha1245,Amharic,16,3440
anta1253,Antakarinya,8,178
apin1244,Apinayé,15,229
asha1243,Asháninka,6,497
atay1247,Atayal,10,1882
awiy1238,Awiyaana,5,1917
awng1244,Awngi,11,2024
basq1248,Basque,8,362
bata1289,Batak Toba,7,948
beem1239,Beembe,12,358
beng1280,Bengali,12,8
bouy1240,Bouyei,11,774
bret1244,Breton,17,143
bulg1262,Bulgarian,24,98
buru1296,Burushaski,11,3309
cent1973,Central Pashto,6,1057
cent1989,Central Khmer,12,26
cent2050,Central Kanuri,10,314
cent2144,Central Mazahua,21,2941
chac1249,Cha'palaa,11,122
chac1251,Chácobo,6,185
cham1312,Chamorro,10,69
chip1261,Chipewyan,20,258
chiq1250,Chiquihuitlán Mazatec,7,1897
chuk1273,Chukchi,8,0
chuv1255,Chuvash,15,95
copa1236,Copainalá Zoque,11,526
dagb1246,Dagbani,13,181
east2328,Eastern Mari,13,45
east2542,Eastern Ojibwa,6,213
egyp1253,Egyptian Arabic,12,6
even1260,Even,13,0
ewee1241,Ewe,13,114
finn1318,Finnish,10,66
gaaa1244,Ga,15,94
gads1258,Gadsup,4,1311
gali1262,Galibi Carib,11,6
garo1247,Garo,7,114
gbay1287,Gbaya-Bossangoa,14,476
gily1242,Nivkh,16,365
hakk1236,Hakka Chinese,8,365
halh1238,Halh Mongolian,9,1305
haus1257,Hausa,17,600
hawa1245,Hawaiian,6,2020
hebr1245,Modern Hebrew,7,515
hind1269,Hindi,19,416
hopi1249,Hopi,18,1713
hung1274,Hungarian,19,110
hupa1239,Hupa,12,123
iaai1238,Iaai,14,21
icel1247,Icelandic,11,0
igna1246,Ignaciano,7,159
iraq1241,Iraqw,14,1767
iris1253,Irish,43,88
isla1278,Island Carib,9,758
iton1250,Itonama,8,169
iumi1238,Iu Mien,16,1299
jaqa1244,Jaqaru,16,2766
java1254,Javanese,8,112
kaba1278,Kabardian,19,1234
kala1399,Kalaallisut,11,0
karo1304,Karok,10,676
kash1277,Kashmiri,22,1623
kett1243,Ket,15,176
khan1273,Kazym-Berezover-Suryskarer Khanty,12,54
khar1287,Kharia,12,376
khas1269,Khasi,8,38
kirg1245,Kirghiz,11,3699
komi1268,Komi-Zyrian,15,125
kore1280,Korean,13,154
kota1263,Kota (India),8,1456
koyr1242,Koyraboro Senni Songhai,16,261
kumi1248,Tipai,9,297
kuni1267,Kunimaipa,6,1857
kunj1245,Kunjen,11,162
kuru1302,Kurukh,18,284
kwak1269,Kwak'wala,16,112
kwom1262,Kwoma,10,31
lahu1253,Lahu,10,1476
lakk1238,Lakkia,21,767
lakk1252,Lak,17,2018
lako1247,Lakota,12,834
libe1247,Liberia Kpelle,22,285
lith1251,Lithuanian,26,54
lugb1240,Lugbara,11,1225
luis1253,Luiseno,12,742
luok1236,Luo (Kenya and Tanzania),10,1467
luva1239,Luvale,10,1078
malt1254,Maltese,12,44
mand1415,Mandarin Chinese,15,88
maor1246,Maori,7,451
mapu1245,Mapudungun,9,1538
mara1386,Maranunggu,8,23
marg1265,Marghi Central,14,426
masa1300,Masai,17,1187
maun1240,Mawng,7,28
mezq1235,Mezquital Otomi,20,2391
mode1248,Modern Greek,7,190
moro1292,Moroccan Arabic,13,352
mund1320,Mundari,9,50
naas1242,Naasioi,5,1855
nava1243,Navajo,14,2140
nene1249,Tundra Nenets,19,0
nezp1238,Nez Perce,11,1041
ngas1240,Ngas,15,1130
nobi1240,Nobiin,13,277
nort2697,North Azerbaijani,11,276
nort2745,Northern Yukaghir,13,0
nort2938,Northern Haida,20,80
nort2952,Northeast Maidu,9,1271
norw1259,Norwegian Bokmål,14,20
nucl1235,Eastern Armenian,6,1912
nucl1301,Turkish,14,1138
nucl1302,Georgian,7,1338
nucl1310,Burmese,14,711
nucl1347,Wolof,13,53
nucl1417,Igbo,26,8
nucl1632,Sentani,5,74
nucl1643,Japanese,12,127
nung1290,Wubuy,8,6
nuuc1236,Nuu-chah-nulth,12,614
nyan1301,Nyangumarta,10,260
nyis1236,Nyishi-Hill Miri,10,996
ocai1244,Ocaina,12,114
onei1249,Oneida,7,375
paez1247,Páez,17,3472
panj1256,Eastern Panjabi,18,227
papa1238,Papantla Totonac,8,89
para1311,Paraguayan Guaraní,16,184
plat1254,Plateau Malagasy,8,1653
port1283,Portuguese,14,445
pure1242,Purepecha,10,2340
roma1327,Romanian,7,348
russ1263,Russian,23,185
saba1265,Sa'ban,14,1002
sanm1295,San Miguel El Grande Mixtec,9,2279
seda1262,Sedang,17,1287
sele1250,Selepet,7,759
sene1264,Seneca,7,427
sgaw1245,S'gaw Karen,13,246
shua1257,Shuar,11,1256
sinh1246,Sinhala,16,51
siri1273,Sirionó,12,182
soma1255,Somali,14,211
sout2961,Southern Tiwa,13,1532
sout2982,Southeastern Pomo,9,439
sout2991,South Bolivian Quechua,10,4156
squa1248,Squamish,7,50
stan1288,Spanish,9,1202
stan1290,French,10,124
stan1293,English,11,22
stan1295,German,11,368
stan1306,Standard Malay,9,54
stra1244,Northern Straits Salish,12,490
sund1252,Sundanese,9,493
swah1253,Swahili,11,200
taba1266,Tabasco Chontal,9,3
taga1270,Tagalog,9,93
tamn1235,Tamnim Citak,5,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,13,408
tele1256,Telefol,10,2130
telu1262,Telugu,15,440
tewa1260,Rio Grande Tewa,17,1687
thai1261,Thai,13,3
ticu1245,Ticuna,12,150
tigr1270,Tigre,11,2112
toho1245,Tohono O'odham,11,640
tolo1259,Tolowa-Chetco,17,81
tosk1239,Northern Tosk Albanian,10,88
tuni1252,Tunica,6,40
tzel1254,Tzeltal,7,2091
unam1242,Unami,12,415
viet1252,Vietnamese,11,8
waim1255,Waimaha,10,167
wapi1253,Wapishana,13,130
wayu1243,Wayuu,12,37
west2369,Western Farsi,6,2174
west2650,Western Cham,11,35
wich1260,Wichita,9,390
wikm1247,Wik-Mungkan,10,32
wuch1236,Wu Chinese,11,205
yaku1245,Sakha,17,875
yane1238,Yanesha',10,2474
yuch1247,Yuchi,18,247
yuec1235,Yue Chinese,10,-3
zulu1248,Zulu,13,537
zuni1245,Zuni,17,2210
