,language,lateral,elevation
alab1237,Alabama,2,89
alaw1244,Alawa,3,147
aleu1260,Aleut,2,82
amha1245,Amharic,2,3440
anta1253,Antakarinya,3,178
atay1247,Atayal,1,1882
awng1244,Awngi,1,2024
basq1248,Basque,2,362
bata1289,Batak Toba,1,948
beem1239,Beembe,1,358
beng1280,Bengali,2,8
bouy1240,Bouyei,1,774
bret1244,Breton,1,143
bulg1262,Bulgarian,2,98
buru1296,Burushaski,1,3309
cent1973,Central Pashto,1,1057
cent1989,Central Khmer,1,26
cent2050,Central Kanuri,2,314
cent2144,Central Mazahua,1,2941
chac1249,Cha'palaa,2,122
cham1312,Chamorro,2,69
chip1261,Chipewyan,2,258
chiq1250,Chiquihuitlán Mazatec,1,1897
chuk1273,Chukchi,1,0
chuv1255,Chuvash,3,95
copa1236,Copainalá Zoque,1,526
dagb1246,Dagbani,1,181
east2328,Eastern Mari,2,45
east2542,Eastern Ojibwa,1,213
egyp1253,Egyptian Arabic,2,6
even1260,Even,1,0
ewee1241,Ewe,1,114
finn1318,Finnish,2,66
gaaa1244,Ga,2,94
garo1247,Garo,1,114
gbay1287,Gbaya-Bossangoa,1,476
gily1242,Nivkh,1,365
hakk1236,Hakka Chinese,1,365
halh1238,Halh Mongolian,2,1305
haus1257,Hausa,1,600
hawa1245,Hawaiian,1,2020
hebr1245,Modern Hebrew,1,515
hind1269,Hindi,3,416
hopi1249,Hopi,2,1713
hung1274,Hungarian,2,110
hupa1239,Hupa,2,123
iaai1238,Iaai,2,21
icel1247,Icelandic,2,0
igna1246,Ignaciano,1,159
iraq1241,Iraqw,2,1767
iris1253,Irish,6,88
isla1278,Island Carib,1,758
iton1250,Itonama,1,169
iumi1238,Iu Mien,2,1299
jaqa1244,Jaqaru,2,2766
java1254,Javanese,2,112
kaba1278,Kabardian,3,1234
kala1399,Kalaallisut,2,0
kash1277,Kashmiri,1,1623
kett1243,Ket,2,176
khan1273,Kazym-Berezover-Suryskarer Khanty,3,54
khar1287,Kharia,1,376
khas1269,Khasi,1,38
kirg1245,Kirghiz,1,3699
komi1268,Komi-Zyrian,2,125
kore1280,Korean,1,154
kota1263,Kota (India),2,1456
koyr1242,Koyraboro Senni Songhai,2,261
kumi1248,Tipai,4,297
kuni1267,Kunimaipa,1,1857
kunj1245,Kunjen,1,162
kuru1302,Kurukh,2,284
kwak1269,Kwak'wala,4,112
lahu1253,Lahu,1,1476
lakk1238,Lakkia,2,767
lakk1252,Lak,1,2018
lith1251,Lithuanian,2,54
lugb1240,Lugbara,1,1225
luis1253,Luiseno,1,742
luok1236,Luo (Kenya and Tanzania),1,1467
luva1239,Luvale,1,1078
malt1254,Maltese,2,44
mand1415,Mandarin Chinese,1,88
mapu1245,Mapudungun,3,1538
mara1386,Maranunggu,1,23
marg1265,Marghi Central,3,426
masa1300,Masai,1,1187
maun1240,Mawng,2,28
mezq1235,Mezquital Otomi,1,2391
mode1248,Modern Greek,1,190
moro1292,Moroccan Arabic,4,352
mund1320,Mundari,2,50
nava1243,Navajo,2,2140
nene1249,Tundra Nenets,2,0
nezp1238,Nez Perce,3,1041
ngas1240,Ngas,1,1130
nobi1240,Nobiin,2,277
nort2697,North Azerbaijani,1,276
nort2745,Northern Yukaghir,2,0
nort2938,Northern Haida,3,80
nort2952,Northeast Maidu,1,1271
norw1259,Norwegian Bokmål,4,20
nucl1235,Eastern Armenian,1,1912
nucl1301,Turkish,2,1138
nucl1302,Georgian,1,1338
nucl1310,Burmese,2,711
nucl1347,Wolof,2,53
nucl1417,Igbo,1,8
nucl1632,Sentani,1,74
nung1290,Wubuy,3,6
nuuc1236,Nuu-chah-nulth,1,614
nyan1301,Nyangumarta,3,260
nyis1236,Nyishi-Hill Miri,1,996
onei1249,Oneida,1,375
paez1247,Páez,2,3472
panj1256,Eastern Panjabi,3,227
papa1238,Papantla Totonac,2,89
para1311,Paraguayan Guaraní,2,184
plat1254,Plateau Malagasy,1,1653
port1283,Portuguese,2,445
pure1242,Purepecha,2,2340
roma1327,Romanian,1,348
russ1263,Russian,2,185
saba1265,Sa'ban,3,1002
sanm1295,San Miguel El Grande Mixtec,1,2279
seda1262,Sedang,3,1287
sele1250,Selepet,1,759
sgaw1245,S'gaw Karen,1,246
sinh1246,Sinhala,2,51
soma1255,Somali,2,211
sout2961,Southern Tiwa,2,1532
sout2982,Southeastern Pomo,1,439
sout2991,South Bolivian Quechua,2,4156
squa1248,Squamish,1,50
stan1288,Spanish,2,1202
stan1290,French,1,124
stan1293,English,1,22
stan1295,German,1,368
stan1306,Standard Malay,1,54
stra1244,Northern Straits Salish,2,490
sund1252,Sundanese,1,493
swah1253,Swahili,1,200
taba1266,Tabasco Chontal,1,3
taga1270,Tagalog,1,93
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,3,408
tele1256,Telefol,1,2130
telu1262,Telugu,4,440
thai1261,Thai,1,3
tigr1270,Tigre,2,2112
toho1245,Tohono O'odham,1,640
tolo1259,Tolowa-Chetco,2,81
tosk1239,Northern Tosk Albanian,2,88
tuni1252,Tunica,1,40
tzel1254,Tzeltal,1,2091
unam1242,Unami,2,415
viet1252,Vietnamese,1,8
wayu1243,Wayuu,2,37
west2369,Western Farsi,1,2174
west2650,Western Cham,1,35
wikm1247,Wik-Mungkan,1,32
wuch1236,Wu Chinese,1,205
yaku1245,Sakha,2,875
yane1238,Yanesha',1,2474
yuch1247,Yuchi,4,247
yuec1235,Yue Chinese,2,-3
zulu1248,Zulu,3,537
zuni1245,Zuni,4,2210
0,Adzera,0,207
1,Maori,0,451
2,Kwoma,0,31
3,Tamnim Citak,0,19
4,Gadsup,0,1311
5,Awiyaana,0,1917
6,Naasioi,0,1855
7,Wichita,0,390
8,Lakota,0,834
9,Seneca,0,427
10,Karok,0,676
11,Rio Grande Tewa,0,1687
12,Wapishana,0,130
13,Asháninka,0,497
14,Shuar,0,1256
15,Waimaha,0,167
16,Ticuna,0,150
17,Galibi Carib,0,6
18,Ocaina,0,114
19,Sirionó,0,182
20,Amahuaca,0,429
21,Chácobo,0,185
22,Apinayé,0,229
23,Liberia Kpelle,0,285
24,Akan,0,166
25,Hokkaido Ainu,0,216
26,Japanese,0,127
