,language,long,elevation
adze1240,Adzera,3,207
akan1250,Akan,2,166
alab1237,Alabama,3,89
alaw1244,Alawa,1,147
aleu1260,Aleut,3,82
amha1245,Amharic,21,3440
anta1253,Antakarinya,3,178
apin1244,Apinayé,17,229
atay1247,Atayal,2,1882
awiy1238,Awiyaana,3,1917
beem1239,Beembe,10,358
bouy1240,Bouyei,1,774
bret1244,Breton,9,143
buru1296,Burushaski,7,3309
cent1973,Central Pashto,3,1057
cent1989,Central Khmer,10,26
cham1312,Chamorro,10,69
chip1261,Chipewyan,8,258
chuv1255,Chuvash,6,95
dagb1246,Dagbani,5,181
east2542,Eastern Ojibwa,14,213
egyp1253,Egyptian Arabic,31,6
even1260,Even,7,0
finn1318,Finnish,17,66
gads1258,Gadsup,3,1311
gali1262,Galibi Carib,6,6
gily1242,Nivkh,4,365
halh1238,Halh Mongolian,7,1305
haus1257,Hausa,5,600
hawa1245,Hawaiian,5,2020
hind1269,Hindi,41,416
hopi1249,Hopi,5,1713
hung1274,Hungarian,31,110
hupa1239,Hupa,3,123
iaai1238,Iaai,8,21
icel1247,Icelandic,9,0
iraq1241,Iraqw,6,1767
iris1253,Irish,10,88
isla1278,Island Carib,2,758
iumi1238,Iu Mien,1,1299
jaqa1244,Jaqaru,3,2766
kaba1278,Kabardian,5,1234
kala1399,Kalaallisut,18,0
karo1304,Karok,15,676
kash1277,Kashmiri,14,1623
kett1243,Ket,7,176
khas1269,Khasi,1,38
kirg1245,Kirghiz,8,3699
kore1280,Korean,8,154
kota1263,Kota (India),5,1456
koyr1242,Koyraboro Senni Songhai,16,261
kumi1248,Tipai,4,297
kuru1302,Kurukh,24,284
kwak1269,Kwak'wala,3,112
lakk1252,Lak,3,2018
libe1247,Liberia Kpelle,1,285
lith1251,Lithuanian,6,54
luis1253,Luiseno,5,742
luva1239,Luvale,5,1078
malt1254,Maltese,27,44
maor1246,Maori,5,451
mara1386,Maranunggu,6,23
masa1300,Masai,11,1187
moro1292,Moroccan Arabic,35,352
mund1320,Mundari,1,50
naas1242,Naasioi,5,1855
nava1243,Navajo,8,2140
nezp1238,Nez Perce,5,1041
ngas1240,Ngas,4,1130
nobi1240,Nobiin,20,277
nort2745,Northern Yukaghir,6,0
norw1259,Norwegian Bokmål,9,20
nucl1301,Turkish,8,1138
nucl1347,Wolof,12,53
nucl1643,Japanese,13,127
nung1290,Wubuy,1,6
nuuc1236,Nuu-chah-nulth,5,614
nyan1301,Nyangumarta,4,260
ocai1244,Ocaina,3,114
onei1249,Oneida,6,375
panj1256,Eastern Panjabi,19,227
papa1238,Papantla Totonac,7,89
saba1265,Sa'ban,2,1002
sene1264,Seneca,8,427
sinh1246,Sinhala,24,51
soma1255,Somali,18,211
sout2982,Southeastern Pomo,5,439
squa1248,Squamish,3,50
stan1290,French,1,124
stan1293,English,5,22
stan1295,German,8,368
stra1244,Northern Straits Salish,3,490
taba1266,Tabasco Chontal,6,3
taga1270,Tagalog,5,93
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,17,408
tele1256,Telefol,5,2130
telu1262,Telugu,27,440
tewa1260,Rio Grande Tewa,9,1687
thai1261,Thai,9,3
tigr1270,Tigre,26,2112
toho1245,Tohono O'odham,5,640
tolo1259,Tolowa-Chetco,7,81
unam1242,Unami,20,415
viet1252,Vietnamese,1,8
wapi1253,Wapishana,4,130
wayu1243,Wayuu,15,37
wich1260,Wichita,7,390
wikm1247,Wik-Mungkan,5,32
yaku1245,Sakha,19,875
yane1238,Yanesha',3,2474
yuch1247,Yuchi,13,247
zuni1245,Zuni,26,2210
0,Georgian,0,1338
1,Kharia,0,376
2,Sedang,0,1287
3,Mandarin Chinese,0,88
4,Wu Chinese,0,205
5,Hakka Chinese,0,365
6,Yue Chinese,0,-3
7,Nyishi-Hill Miri,0,996
8,Burmese,0,711
9,Lahu,0,1476
10,Garo,0,114
11,S'gaw Karen,0,246
12,Lakkia,0,767
13,Western Cham,0,35
14,Plateau Malagasy,0,1653
15,Standard Malay,0,54
16,Batak Toba,0,948
17,Sundanese,0,493
18,Javanese,0,112
