,language,low,elevation
adze1240,Adzera,2,207
ainu1240,Hokkaido Ainu,1,216
akan1250,Akan,2,166
alab1237,Alabama,2,89
alaw1244,Alawa,1,147
aleu1260,Aleut,2,82
amah1246,Amahuaca,2,429
amha1245,Amharic,1,3440
anta1253,Antakarinya,2,178
apin1244,Apinayé,4,229
asha1243,Asháninka,1,497
atay1247,Atayal,2,1882
awiy1238,Awiyaana,1,1917
awng1244,Awngi,2,2024
basq1248,Basque,1,362
bata1289,Batak Toba,1,948
beem1239,Beembe,4,358
beng1280,Bengali,4,8
bouy1240,Bouyei,2,774
bret1244,Breton,3,143
bulg1262,Bulgarian,2,98
buru1296,Burushaski,3,3309
cent1973,Central Pashto,2,1057
cent1989,Central Khmer,4,26
cent2050,Central Kanuri,1,314
cent2144,Central Mazahua,2,2941
chac1249,Cha'palaa,1,122
chac1251,Chácobo,1,185
cham1312,Chamorro,2,69
chip1261,Chipewyan,4,258
chiq1250,Chiquihuitlán Mazatec,2,1897
chuk1273,Chukchi,1,0
chuv1255,Chuvash,1,95
copa1236,Copainalá Zoque,1,526
dagb1246,Dagbani,2,181
east2542,Eastern Ojibwa,3,213
egyp1253,Egyptian Arabic,6,6
even1260,Even,2,0
ewee1241,Ewe,4,114
finn1318,Finnish,4,66
gaaa1244,Ga,2,94
gads1258,Gadsup,1,1311
gali1262,Galibi Carib,2,6
garo1247,Garo,1,114
gbay1287,Gbaya-Bossangoa,3,476
gily1242,Nivkh,2,365
hakk1236,Hakka Chinese,2,365
halh1238,Halh Mongolian,2,1305
haus1257,Hausa,1,600
hawa1245,Hawaiian,2,2020
hebr1245,Modern Hebrew,1,515
hind1269,Hindi,3,416
hopi1249,Hopi,4,1713
hung1274,Hungarian,3,110
hupa1239,Hupa,2,123
iaai1238,Iaai,4,21
icel1247,Icelandic,2,0
igna1246,Ignaciano,1,159
iraq1241,Iraqw,4,1767
iris1253,Irish,4,88
isla1278,Island Carib,2,758
iton1250,Itonama,1,169
iumi1238,Iu Mien,3,1299
jaqa1244,Jaqaru,2,2766
java1254,Javanese,1,112
kaba1278,Kabardian,3,1234
kala1399,Kalaallisut,2,0
karo1304,Karok,3,676
kash1277,Kashmiri,4,1623
kett1243,Ket,4,176
khan1273,Kazym-Berezover-Suryskarer Khanty,3,54
khar1287,Kharia,2,376
khas1269,Khasi,2,38
kirg1245,Kirghiz,2,3699
komi1268,Komi-Zyrian,1,125
kore1280,Korean,4,154
kota1263,Kota (India),2,1456
koyr1242,Koyraboro Senni Songhai,3,261
kumi1248,Tipai,2,297
kuni1267,Kunimaipa,1,1857
kunj1245,Kunjen,1,162
kuru1302,Kurukh,4,284
kwak1269,Kwak'wala,4,112
kwom1262,Kwoma,1,31
lahu1253,Lahu,1,1476
lakk1238,Lakkia,4,767
lakk1252,Lak,4,2018
lako1247,Lakota,2,834
libe1247,Liberia Kpelle,3,285
lith1251,Lithuanian,4,54
lugb1240,Lugbara,2,1225
luis1253,Luiseno,2,742
luok1236,Luo (Kenya and Tanzania),3,1467
luva1239,Luvale,2,1078
malt1254,Maltese,4,44
mand1415,Mandarin Chinese,4,88
maor1246,Maori,2,451
mapu1245,Mapudungun,1,1538
mara1386,Maranunggu,2,23
marg1265,Marghi Central,1,426
masa1300,Masai,2,1187
maun1240,Mawng,1,28
mezq1235,Mezquital Otomi,4,2391
mode1248,Modern Greek,1,190
moro1292,Moroccan Arabic,6,352
mund1320,Mundari,1,50
naas1242,Naasioi,2,1855
nava1243,Navajo,4,2140
nene1249,Tundra Nenets,2,0
nezp1238,Nez Perce,4,1041
ngas1240,Ngas,2,1130
nobi1240,Nobiin,2,277
nort2697,North Azerbaijani,2,276
nort2745,Northern Yukaghir,2,0
nort2938,Northern Haida,1,80
nort2952,Northeast Maidu,1,1271
norw1259,Norwegian Bokmål,4,20
nucl1235,Eastern Armenian,1,1912
nucl1301,Turkish,2,1138
nucl1302,Georgian,1,1338
nucl1310,Burmese,2,711
nucl1347,Wolof,2,53
nucl1417,Igbo,2,8
nucl1632,Sentani,1,74
nucl1643,Japanese,2,127
nung1290,Wubuy,3,6
nuuc1236,Nuu-chah-nulth,3,614
nyan1301,Nyangumarta,2,260
nyis1236,Nyishi-Hill Miri,1,996
ocai1244,Ocaina,2,114
onei1249,Oneida,2,375
paez1247,Páez,2,3472
panj1256,Eastern Panjabi,6,227
papa1238,Papantla Totonac,2,89
para1311,Paraguayan Guaraní,2,184
plat1254,Plateau Malagasy,1,1653
port1283,Portuguese,2,445
pure1242,Purepecha,1,2340
roma1327,Romanian,1,348
russ1263,Russian,1,185
saba1265,Sa'ban,2,1002
sanm1295,San Miguel El Grande Mixtec,2,2279
seda1262,Sedang,2,1287
sele1250,Selepet,1,759
sene1264,Seneca,4,427
sgaw1245,S'gaw Karen,1,246
shua1257,Shuar,2,1256
sinh1246,Sinhala,6,51
siri1273,Sirionó,2,182
soma1255,Somali,5,211
sout2961,Southern Tiwa,2,1532
sout2982,Southeastern Pomo,2,439
sout2991,South Bolivian Quechua,1,4156
squa1248,Squamish,2,50
stan1288,Spanish,1,1202
stan1290,French,4,124
stan1293,English,4,22
stan1295,German,2,368
stan1306,Standard Malay,1,54
stra1244,Northern Straits Salish,2,490
sund1252,Sundanese,1,493
swah1253,Swahili,1,200
taba1266,Tabasco Chontal,2,3
taga1270,Tagalog,1,93
tamn1235,Tamnim Citak,1,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,4,408
tele1256,Telefol,2,2130
telu1262,Telugu,4,440
tewa1260,Rio Grande Tewa,5,1687
thai1261,Thai,4,3
ticu1245,Ticuna,2,150
tigr1270,Tigre,3,2112
toho1245,Tohono O'odham,2,640
tolo1259,Tolowa-Chetco,4,81
tosk1239,Northern Tosk Albanian,1,88
tuni1252,Tunica,1,40
tzel1254,Tzeltal,1,2091
unam1242,Unami,5,415
viet1252,Vietnamese,2,8
waim1255,Waimaha,2,167
wapi1253,Wapishana,3,130
wayu1243,Wayuu,3,37
west2369,Western Farsi,2,2174
west2650,Western Cham,1,35
wich1260,Wichita,2,390
wikm1247,Wik-Mungkan,2,32
wuch1236,Wu Chinese,2,205
yaku1245,Sakha,2,875
yane1238,Yanesha',2,2474
yuch1247,Yuchi,8,247
yuec1235,Yue Chinese,2,-3
zulu1248,Zulu,1,537
zuni1245,Zuni,2,2210
0,Eastern Mari,0,45
