,language,nasal,elevation
adze1240,Adzera,3,207
ainu1240,Hokkaido Ainu,2,216
akan1250,Akan,7,166
alab1237,Alabama,2,89
alaw1244,Alawa,5,147
aleu1260,Aleut,6,82
amah1246,Amahuaca,6,429
amha1245,Amharic,6,3440
anta1253,Antakarinya,5,178
apin1244,Apinayé,14,229
asha1243,Asháninka,3,497
atay1247,Atayal,3,1882
awiy1238,Awiyaana,4,1917
awng1244,Awngi,4,2024
basq1248,Basque,3,362
bata1289,Batak Toba,3,948
beem1239,Beembe,13,358
beng1280,Bengali,12,8
bouy1240,Bouyei,4,774
bret1244,Breton,7,143
bulg1262,Bulgarian,10,98
buru1296,Burushaski,5,3309
cent1973,Central Pashto,3,1057
cent1989,Central Khmer,4,26
cent2050,Central Kanuri,4,314
cent2144,Central Mazahua,14,2941
chac1249,Cha'palaa,4,122
chac1251,Chácobo,2,185
cham1312,Chamorro,6,69
chip1261,Chipewyan,10,258
chiq1250,Chiquihuitlán Mazatec,7,1897
chuk1273,Chukchi,3,0
chuv1255,Chuvash,5,95
copa1236,Copainalá Zoque,8,526
dagb1246,Dagbani,5,181
east2328,Eastern Mari,4,45
east2542,Eastern Ojibwa,6,213
egyp1253,Egyptian Arabic,4,6
even1260,Even,4,0
ewee1241,Ewe,13,114
finn1318,Finnish,5,66
gaaa1244,Ga,11,94
gads1258,Gadsup,2,1311
gali1262,Galibi Carib,3,6
garo1247,Garo,6,114
gbay1287,Gbaya-Bossangoa,11,476
gily1242,Nivkh,4,365
hakk1236,Hakka Chinese,2,365
halh1238,Halh Mongolian,2,1305
haus1257,Hausa,2,600
hawa1245,Hawaiian,2,2020
hebr1245,Modern Hebrew,3,515
hind1269,Hindi,15,416
hopi1249,Hopi,8,1713
hung1274,Hungarian,6,110
hupa1239,Hupa,3,123
iaai1238,Iaai,10,21
icel1247,Icelandic,4,0
igna1246,Ignaciano,4,159
iraq1241,Iraqw,4,1767
iris1253,Irish,20,88
isla1278,Island Carib,7,758
iton1250,Itonama,2,169
iumi1238,Iu Mien,10,1299
jaqa1244,Jaqaru,4,2766
java1254,Javanese,4,112
kaba1278,Kabardian,2,1234
kala1399,Kalaallisut,8,0
karo1304,Karok,6,676
kash1277,Kashmiri,16,1623
kett1243,Ket,4,176
khan1273,Kazym-Berezover-Suryskarer Khanty,5,54
khar1287,Kharia,9,376
khas1269,Khasi,4,38
kirg1245,Kirghiz,3,3699
komi1268,Komi-Zyrian,3,125
kore1280,Korean,3,154
kota1263,Kota (India),4,1456
koyr1242,Koyraboro Senni Songhai,10,261
kumi1248,Tipai,4,297
kuni1267,Kunimaipa,3,1857
kunj1245,Kunjen,5,162
kuru1302,Kurukh,14,284
kwak1269,Kwak'wala,6,112
kwom1262,Kwoma,4,31
lahu1253,Lahu,3,1476
lakk1238,Lakkia,17,767
lakk1252,Lak,2,2018
lako1247,Lakota,5,834
libe1247,Liberia Kpelle,16,285
lith1251,Lithuanian,4,54
lugb1240,Lugbara,5,1225
luis1253,Luiseno,3,742
luok1236,Luo (Kenya and Tanzania),4,1467
luva1239,Luvale,4,1078
malt1254,Maltese,4,44
mand1415,Mandarin Chinese,5,88
maor1246,Maori,3,451
mapu1245,Mapudungun,5,1538
mara1386,Maranunggu,6,23
marg1265,Marghi Central,4,426
masa1300,Masai,4,1187
maun1240,Mawng,5,28
mezq1235,Mezquital Otomi,10,2391
mode1248,Modern Greek,2,190
moro1292,Moroccan Arabic,7,352
mund1320,Mundari,4,50
naas1242,Naasioi,2,1855
nava1243,Navajo,12,2140
nene1249,Tundra Nenets,5,0
nezp1238,Nez Perce,4,1041
ngas1240,Ngas,4,1130
nobi1240,Nobiin,6,277
nort2697,North Azerbaijani,2,276
nort2745,Northern Yukaghir,4,0
nort2938,Northern Haida,6,80
nort2952,Northeast Maidu,2,1271
norw1259,Norwegian Bokmål,5,20
nucl1235,Eastern Armenian,2,1912
nucl1301,Turkish,2,1138
nucl1302,Georgian,2,1338
nucl1310,Burmese,11,711
nucl1347,Wolof,6,53
nucl1417,Igbo,14,8
nucl1632,Sentani,2,74
nucl1643,Japanese,4,127
nung1290,Wubuy,6,6
nuuc1236,Nuu-chah-nulth,4,614
nyan1301,Nyangumarta,6,260
nyis1236,Nyishi-Hill Miri,3,996
ocai1244,Ocaina,10,114
onei1249,Oneida,5,375
paez1247,Páez,7,3472
panj1256,Eastern Panjabi,17,227
papa1238,Papantla Totonac,2,89
para1311,Paraguayan Guaraní,11,184
plat1254,Plateau Malagasy,2,1653
port1283,Portuguese,10,445
pure1242,Purepecha,3,2340
roma1327,Romanian,2,348
russ1263,Russian,4,185
saba1265,Sa'ban,12,1002
sanm1295,San Miguel El Grande Mixtec,9,2279
seda1262,Sedang,12,1287
sele1250,Selepet,3,759
sene1264,Seneca,6,427
sgaw1245,S'gaw Karen,4,246
shua1257,Shuar,7,1256
sinh1246,Sinhala,9,51
siri1273,Sirionó,10,182
soma1255,Somali,3,211
sout2961,Southern Tiwa,8,1532
sout2982,Southeastern Pomo,2,439
sout2991,South Bolivian Quechua,3,4156
squa1248,Squamish,2,50
stan1288,Spanish,3,1202
stan1290,French,8,124
stan1293,English,3,22
stan1295,German,3,368
stan1306,Standard Malay,4,54
stra1244,Northern Straits Salish,2,490
sund1252,Sundanese,4,493
swah1253,Swahili,6,200
taba1266,Tabasco Chontal,8,3
taga1270,Tagalog,3,93
tamn1235,Tamnim Citak,2,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,4,408
tele1256,Telefol,3,2130
telu1262,Telugu,5,440
tewa1260,Rio Grande Tewa,11,1687
thai1261,Thai,3,3
ticu1245,Ticuna,9,150
tigr1270,Tigre,4,2112
toho1245,Tohono O'odham,3,640
tolo1259,Tolowa-Chetco,10,81
tosk1239,Northern Tosk Albanian,3,88
tuni1252,Tunica,2,40
tzel1254,Tzeltal,2,2091
unam1242,Unami,10,415
viet1252,Vietnamese,4,8
waim1255,Waimaha,6,167
wapi1253,Wapishana,6,130
wayu1243,Wayuu,11,37
west2369,Western Farsi,2,2174
west2650,Western Cham,4,35
wich1260,Wichita,2,390
wikm1247,Wik-Mungkan,4,32
wuch1236,Wu Chinese,8,205
yaku1245,Sakha,9,875
yane1238,Yanesha',4,2474
yuch1247,Yuchi,14,247
yuec1235,Yue Chinese,5,-3
zulu1248,Zulu,5,537
zuni1245,Zuni,4,2210
