,language,periodicGlottalSource,elevation
adze1240,Adzera,17,207
ainu1240,Hokkaido Ainu,10,216
akan1250,Akan,26,166
alab1237,Alabama,12,89
alaw1244,Alawa,22,147
aleu1260,Aleut,19,82
amah1246,Amahuaca,13,429
amha1245,Amharic,32,3440
anta1253,Antakarinya,18,178
apin1244,Apinayé,42,229
asha1243,Asháninka,11,497
atay1247,Atayal,18,1882
awiy1238,Awiyaana,13,1917
awng1244,Awngi,24,2024
basq1248,Basque,16,362
bata1289,Batak Toba,16,948
beem1239,Beembe,27,358
beng1280,Bengali,40,8
bouy1240,Bouyei,19,774
bret1244,Breton,34,143
bulg1262,Bulgarian,34,98
buru1296,Burushaski,28,3309
cent1973,Central Pashto,26,1057
cent1989,Central Khmer,31,26
cent2050,Central Kanuri,20,314
cent2144,Central Mazahua,32,2941
chac1249,Cha'palaa,17,122
chac1251,Chácobo,11,185
cham1312,Chamorro,24,69
chip1261,Chipewyan,27,258
chiq1250,Chiquihuitlán Mazatec,24,1897
chuk1273,Chukchi,14,0
chuv1255,Chuvash,28,95
copa1236,Copainalá Zoque,20,526
dagb1246,Dagbani,27,181
east2328,Eastern Mari,21,45
east2542,Eastern Ojibwa,14,213
egyp1253,Egyptian Arabic,41,6
even1260,Even,31,0
ewee1241,Ewe,33,114
finn1318,Finnish,30,66
gaaa1244,Ga,33,94
gads1258,Gadsup,11,1311
gali1262,Galibi Carib,22,6
garo1247,Garo,19,114
gbay1287,Gbaya-Bossangoa,35,476
gily1242,Nivkh,27,365
hakk1236,Hakka Chinese,15,365
halh1238,Halh Mongolian,25,1305
haus1257,Hausa,27,600
hawa1245,Hawaiian,14,2020
hebr1245,Modern Hebrew,12,515
hind1269,Hindi,64,416
hopi1249,Hopi,28,1713
hung1274,Hungarian,45,110
hupa1239,Hupa,13,123
iaai1238,Iaai,34,21
icel1247,Icelandic,24,0
igna1246,Ignaciano,15,159
iraq1241,Iraqw,27,1767
iris1253,Irish,48,88
isla1278,Island Carib,22,758
iton1250,Itonama,14,169
iumi1238,Iu Mien,23,1299
jaqa1244,Jaqaru,15,2766
java1254,Javanese,17,112
kaba1278,Kabardian,27,1234
kala1399,Kalaallisut,19,0
karo1304,Karok,18,676
kash1277,Kashmiri,42,1623
kett1243,Ket,24,176
khan1273,Kazym-Berezover-Suryskarer Khanty,25,54
khar1287,Kharia,30,376
khas1269,Khasi,18,38
kirg1245,Kirghiz,24,3699
komi1268,Komi-Zyrian,24,125
kore1280,Korean,24,154
kota1263,Kota (India),27,1456
koyr1242,Koyraboro Senni Songhai,37,261
kumi1248,Tipai,20,297
kuni1267,Kunimaipa,16,1857
kunj1245,Kunjen,16,162
kuru1302,Kurukh,48,284
kwak1269,Kwak'wala,30,112
kwom1262,Kwoma,21,31
lahu1253,Lahu,21,1476
lakk1238,Lakkia,32,767
lakk1252,Lak,22,2018
lako1247,Lakota,16,834
libe1247,Liberia Kpelle,39,285
lith1251,Lithuanian,33,54
lugb1240,Lugbara,30,1225
luis1253,Luiseno,20,742
luok1236,Luo (Kenya and Tanzania),22,1467
luva1239,Luvale,24,1078
malt1254,Maltese,35,44
mand1415,Mandarin Chinese,22,88
maor1246,Maori,15,451
mapu1245,Mapudungun,17,1538
mara1386,Maranunggu,16,23
marg1265,Marghi Central,29,426
masa1300,Masai,32,1187
maun1240,Mawng,18,28
mezq1235,Mezquital Otomi,30,2391
mode1248,Modern Greek,18,190
moro1292,Moroccan Arabic,47,352
mund1320,Mundari,24,50
naas1242,Naasioi,14,1855
nava1243,Navajo,27,2140
nene1249,Tundra Nenets,19,0
nezp1238,Nez Perce,20,1041
ngas1240,Ngas,31,1130
nobi1240,Nobiin,30,277
nort2697,North Azerbaijani,19,276
nort2745,Northern Yukaghir,26,0
nort2938,Northern Haida,16,80
nort2952,Northeast Maidu,13,1271
norw1259,Norwegian Bokmål,35,20
nucl1235,Eastern Armenian,17,1912
nucl1301,Turkish,30,1138
nucl1302,Georgian,15,1338
nucl1310,Burmese,28,711
nucl1347,Wolof,31,53
nucl1417,Igbo,43,8
nucl1632,Sentani,12,74
nucl1643,Japanese,22,127
nung1290,Wubuy,18,6
nuuc1236,Nuu-chah-nulth,18,614
nyan1301,Nyangumarta,20,260
nyis1236,Nyishi-Hill Miri,17,996
ocai1244,Ocaina,24,114
onei1249,Oneida,16,375
paez1247,Páez,26,3472
panj1256,Eastern Panjabi,46,227
papa1238,Papantla Totonac,11,89
para1311,Paraguayan Guaraní,25,184
plat1254,Plateau Malagasy,23,1653
port1283,Portuguese,31,445
pure1242,Purepecha,16,2340
roma1327,Romanian,22,348
russ1263,Russian,24,185
saba1265,Sa'ban,29,1002
sanm1295,San Miguel El Grande Mixtec,20,2279
seda1262,Sedang,35,1287
sele1250,Selepet,16,759
sene1264,Seneca,22,427
sgaw1245,S'gaw Karen,23,246
shua1257,Shuar,14,1256
sinh1246,Sinhala,39,51
siri1273,Sirionó,20,182
soma1255,Somali,40,211
sout2961,Southern Tiwa,21,1532
sout2982,Southeastern Pomo,19,439
sout2991,South Bolivian Quechua,17,4156
squa1248,Squamish,12,50
stan1288,Spanish,17,1202
stan1290,French,34,124
stan1293,English,28,22
stan1295,German,28,368
stan1306,Standard Malay,18,54
stra1244,Northern Straits Salish,18,490
sund1252,Sundanese,19,493
swah1253,Swahili,23,200
taba1266,Tabasco Chontal,22,3
taga1270,Tagalog,20,93
tamn1235,Tamnim Citak,10,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,31,408
tele1256,Telefol,17,2130
telu1262,Telugu,50,440
tewa1260,Rio Grande Tewa,31,1687
thai1261,Thai,28,3
ticu1245,Ticuna,21,150
tigr1270,Tigre,31,2112
toho1245,Tohono O'odham,16,640
tolo1259,Tolowa-Chetco,23,81
tosk1239,Northern Tosk Albanian,24,88
tuni1252,Tunica,16,40
tzel1254,Tzeltal,15,2091
unam1242,Unami,26,415
viet1252,Vietnamese,27,8
waim1255,Waimaha,18,167
wapi1253,Wapishana,21,130
wayu1243,Wayuu,28,37
west2369,Western Farsi,20,2174
west2650,Western Cham,19,35
wich1260,Wichita,14,390
wikm1247,Wik-Mungkan,18,32
wuch1236,Wu Chinese,22,205
yaku1245,Sakha,37,875
yane1238,Yanesha',17,2474
yuch1247,Yuchi,39,247
yuec1235,Yue Chinese,14,-3
zulu1248,Zulu,19,537
zuni1245,Zuni,20,2210
