,language,retractedTongueRoot,elevation
cent1989,Central Khmer,1,26
egyp1253,Egyptian Arabic,9,6
even1260,Even,4,0
iumi1238,Iu Mien,1,1299
lakk1252,Lak,3,2018
moro1292,Moroccan Arabic,16,352
nuuc1236,Nuu-chah-nulth,1,614
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,7,408
0,Korean,0,154
1,Ket,0,176
2,Kabardian,0,1234
3,Georgian,0,1338
4,Burushaski,0,3309
5,Kurukh,0,284
6,Telugu,0,440
7,Kota (India),0,1456
8,Mundari,0,50
9,Kharia,0,376
10,Khasi,0,38
11,Sedang,0,1287
12,Vietnamese,0,8
13,Mandarin Chinese,0,88
14,Wu Chinese,0,205
15,Hakka Chinese,0,365
16,Yue Chinese,0,-3
17,Nyishi-Hill Miri,0,996
18,Burmese,0,711
19,Lahu,0,1476
20,Garo,0,114
21,S'gaw Karen,0,246
22,Lakkia,0,767
23,Thai,0,3
24,Bouyei,0,774
25,Western Cham,0,35
26,Atayal,0,1882
27,Plateau Malagasy,0,1653
28,Standard Malay,0,54
29,Batak Toba,0,948
30,Sa'ban,0,1002
31,Sundanese,0,493
32,Javanese,0,112
33,Tagalog,0,93
34,Chamorro,0,69
35,Iaai,0,21
37,Adzera,0,207
38,Maori,0,451
39,Hawaiian,0,2020
40,Antakarinya,0,178
41,Nyangumarta,0,260
42,Kunjen,0,162
43,Maranunggu,0,23
44,Mawng,0,28
45,Wubuy,0,6
46,Alawa,0,147
47,Wik-Mungkan,0,32
48,Sentani,0,74
49,Kwoma,0,31
50,Tamnim Citak,0,19
51,Telefol,0,2130
52,Gadsup,0,1311
53,Awiyaana,0,1917
54,Kunimaipa,0,1857
55,Selepet,0,759
56,Naasioi,0,1855
57,Aleut,0,82
58,Kalaallisut,0,0
59,Chipewyan,0,258
60,Tolowa-Chetco,0,81
61,Hupa,0,123
62,Navajo,0,2140
63,Northern Haida,0,80
64,Squamish,0,50
65,Northern Straits Salish,0,490
66,Kwak'wala,0,112
67,Eastern Ojibwa,0,213
68,Unami,0,415
69,Wichita,0,390
70,Lakota,0,834
71,Seneca,0,427
72,Oneida,0,375
73,Yuchi,0,247
74,Alabama,0,89
75,Tunica,0,40
76,Nez Perce,0,1041
77,Northeast Maidu,0,1271
78,Copainalá Zoque,0,526
79,Papantla Totonac,0,89
80,Tabasco Chontal,0,3
81,Tzeltal,0,2091
82,Purepecha,0,2340
83,Karok,0,676
84,Southeastern Pomo,0,439
85,Tipai,0,297
86,Zuni,0,2210
87,Southern Tiwa,0,1532
88,Rio Grande Tewa,0,1687
89,Luiseno,0,742
90,Hopi,0,1713
91,Tohono O'odham,0,640
92,Mezquital Otomi,0,2391
93,Central Mazahua,0,2941
94,Chiquihuitlán Mazatec,0,1897
95,San Miguel El Grande Mixtec,0,2279
96,Cha'palaa,0,122
97,Páez,0,3472
98,Itonama,0,169
99,South Bolivian Quechua,0,4156
100,Jaqaru,0,2766
101,Mapudungun,0,1538
102,Island Carib,0,758
103,Wapishana,0,130
104,Wayuu,0,37
105,Asháninka,0,497
106,Ignaciano,0,159
107,Yanesha',0,2474
108,Shuar,0,1256
109,Waimaha,0,167
110,Ticuna,0,150
111,Galibi Carib,0,6
112,Ocaina,0,114
113,Sirionó,0,182
114,Paraguayan Guaraní,0,184
115,Amahuaca,0,429
116,Chácobo,0,185
117,Apinayé,0,229
118,Hausa,0,600
119,Ngas,0,1130
120,Marghi Central,0,426
121,Somali,0,211
122,Awngi,0,2024
123,Iraqw,0,1767
124,Tigre,0,2112
125,Amharic,0,3440
126,Maltese,0,44
127,Modern Hebrew,0,515
129,Liberia Kpelle,0,285
130,Wolof,0,53
131,Dagbani,0,181
132,Akan,0,166
133,Ga,0,94
134,Ewe,0,114
135,Igbo,0,8
136,Beembe,0,358
137,Swahili,0,200
138,Luvale,0,1078
139,Zulu,0,537
140,Gbaya-Bossangoa,0,476
141,Koyraboro Senni Songhai,0,261
142,Central Kanuri,0,314
143,Lugbara,0,1225
144,Nobiin,0,277
145,Luo (Kenya and Tanzania),0,1467
146,Masai,0,1187
148,Irish,0,88
149,Breton,0,143
150,Icelandic,0,0
151,Norwegian Bokmål,0,20
152,English,0,22
153,German,0,368
154,French,0,124
155,Portuguese,0,445
156,Spanish,0,1202
157,Romanian,0,348
158,Russian,0,185
159,Bulgarian,0,98
160,Lithuanian,0,54
161,Northern Tosk Albanian,0,88
162,Modern Greek,0,190
163,Eastern Armenian,0,1912
164,Western Farsi,0,2174
165,Central Pashto,0,1057
166,Kashmiri,0,1623
167,Eastern Panjabi,0,227
168,Hindi,0,416
169,Bengali,0,8
170,Sinhala,0,51
171,Basque,0,362
172,Finnish,0,66
173,Eastern Mari,0,45
174,Komi-Zyrian,0,125
175,Hungarian,0,110
176,Kazym-Berezover-Suryskarer Khanty,0,54
177,Tundra Nenets,0,0
178,Turkish,0,1138
179,North Azerbaijani,0,276
180,Kirghiz,0,3699
181,Chuvash,0,95
182,Sakha,0,875
183,Halh Mongolian,0,1305
184,Northern Yukaghir,0,0
185,Nivkh,0,365
186,Chukchi,0,0
187,Hokkaido Ainu,0,216
188,Japanese,0,127
