,language,short,elevation
atay1247,Atayal,1,1882
chuk1273,Chukchi,1,0
chuv1255,Chuvash,1,95
hebr1245,Modern Hebrew,1,515
hopi1249,Hopi,6,1713
icel1247,Icelandic,1,0
kash1277,Kashmiri,1,1623
khan1273,Kazym-Berezover-Suryskarer Khanty,4,54
lakk1238,Lakkia,9,767
lako1247,Lakota,1,834
moro1292,Moroccan Arabic,1,352
nene1249,Tundra Nenets,3,0
nucl1302,Georgian,1,1338
paez1247,Páez,2,3472
port1283,Portuguese,3,445
0,Korean,0,154
1,Ket,0,176
2,Lak,0,2018
3,Kabardian,0,1234
4,Burushaski,0,3309
5,Kurukh,0,284
6,Telugu,0,440
7,Kota (India),0,1456
8,Mundari,0,50
9,Kharia,0,376
10,Khasi,0,38
11,Sedang,0,1287
12,Central Khmer,0,26
13,Vietnamese,0,8
14,Mandarin Chinese,0,88
15,Wu Chinese,0,205
16,Hakka Chinese,0,365
17,Yue Chinese,0,-3
18,Iu Mien,0,1299
19,Nyishi-Hill Miri,0,996
20,Burmese,0,711
21,Lahu,0,1476
22,Garo,0,114
23,S'gaw Karen,0,246
24,Thai,0,3
25,Bouyei,0,774
26,Western Cham,0,35
27,Plateau Malagasy,0,1653
28,Standard Malay,0,54
29,Batak Toba,0,948
30,Sa'ban,0,1002
31,Sundanese,0,493
32,Javanese,0,112
33,Tagalog,0,93
34,Chamorro,0,69
35,Iaai,0,21
37,Adzera,0,207
38,Maori,0,451
39,Hawaiian,0,2020
40,Antakarinya,0,178
41,Nyangumarta,0,260
42,Kunjen,0,162
43,Maranunggu,0,23
44,Mawng,0,28
45,Wubuy,0,6
46,Alawa,0,147
47,Wik-Mungkan,0,32
48,Sentani,0,74
49,Kwoma,0,31
50,Tamnim Citak,0,19
51,Telefol,0,2130
52,Gadsup,0,1311
53,Awiyaana,0,1917
54,Kunimaipa,0,1857
55,Selepet,0,759
56,Naasioi,0,1855
57,Aleut,0,82
58,Kalaallisut,0,0
59,Chipewyan,0,258
60,Tolowa-Chetco,0,81
61,Hupa,0,123
62,Navajo,0,2140
63,Northern Haida,0,80
64,Squamish,0,50
65,Northern Straits Salish,0,490
66,Nuu-chah-nulth,0,614
67,Kwak'wala,0,112
68,Eastern Ojibwa,0,213
69,Unami,0,415
70,Wichita,0,390
71,Seneca,0,427
72,Oneida,0,375
73,Yuchi,0,247
74,Alabama,0,89
75,Tunica,0,40
76,Nez Perce,0,1041
77,Northeast Maidu,0,1271
78,Copainalá Zoque,0,526
79,Papantla Totonac,0,89
80,Tabasco Chontal,0,3
81,Tzeltal,0,2091
82,Purepecha,0,2340
83,Karok,0,676
84,Southeastern Pomo,0,439
85,Tipai,0,297
86,Zuni,0,2210
87,Southern Tiwa,0,1532
88,Rio Grande Tewa,0,1687
89,Luiseno,0,742
90,Tohono O'odham,0,640
91,Mezquital Otomi,0,2391
92,Central Mazahua,0,2941
93,Chiquihuitlán Mazatec,0,1897
94,San Miguel El Grande Mixtec,0,2279
95,Cha'palaa,0,122
96,Itonama,0,169
97,South Bolivian Quechua,0,4156
98,Jaqaru,0,2766
99,Mapudungun,0,1538
100,Island Carib,0,758
101,Wapishana,0,130
102,Wayuu,0,37
103,Asháninka,0,497
104,Ignaciano,0,159
105,Yanesha',0,2474
106,Shuar,0,1256
107,Waimaha,0,167
108,Ticuna,0,150
109,Galibi Carib,0,6
110,Ocaina,0,114
111,Sirionó,0,182
112,Paraguayan Guaraní,0,184
113,Amahuaca,0,429
114,Chácobo,0,185
115,Apinayé,0,229
116,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,0,408
117,Hausa,0,600
118,Ngas,0,1130
119,Marghi Central,0,426
120,Somali,0,211
121,Awngi,0,2024
122,Iraqw,0,1767
123,Tigre,0,2112
124,Amharic,0,3440
125,Egyptian Arabic,0,6
126,Maltese,0,44
128,Liberia Kpelle,0,285
129,Wolof,0,53
130,Dagbani,0,181
131,Akan,0,166
132,Ga,0,94
133,Ewe,0,114
134,Igbo,0,8
135,Beembe,0,358
136,Swahili,0,200
137,Luvale,0,1078
138,Zulu,0,537
139,Gbaya-Bossangoa,0,476
140,Koyraboro Senni Songhai,0,261
141,Central Kanuri,0,314
142,Lugbara,0,1225
143,Nobiin,0,277
144,Luo (Kenya and Tanzania),0,1467
145,Masai,0,1187
147,Irish,0,88
148,Breton,0,143
149,Norwegian Bokmål,0,20
150,English,0,22
151,German,0,368
152,French,0,124
153,Spanish,0,1202
154,Romanian,0,348
155,Russian,0,185
156,Bulgarian,0,98
157,Lithuanian,0,54
158,Northern Tosk Albanian,0,88
159,Modern Greek,0,190
160,Eastern Armenian,0,1912
161,Western Farsi,0,2174
162,Central Pashto,0,1057
163,Eastern Panjabi,0,227
164,Hindi,0,416
165,Bengali,0,8
166,Sinhala,0,51
167,Basque,0,362
168,Finnish,0,66
169,Eastern Mari,0,45
170,Komi-Zyrian,0,125
171,Hungarian,0,110
172,Turkish,0,1138
173,North Azerbaijani,0,276
174,Kirghiz,0,3699
175,Sakha,0,875
176,Halh Mongolian,0,1305
177,Even,0,0
178,Northern Yukaghir,0,0
179,Nivkh,0,365
180,Hokkaido Ainu,0,216
181,Japanese,0,127
