,language,strident,elevation
adze1240,Adzera,3,207
ainu1240,Hokkaido Ainu,2,216
akan1250,Akan,1,166
alab1237,Alabama,2,89
aleu1260,Aleut,3,82
amah1246,Amahuaca,2,429
amha1245,Amharic,16,3440
apin1244,Apinayé,3,229
asha1243,Asháninka,4,497
atay1247,Atayal,3,1882
awng1244,Awngi,7,2024
basq1248,Basque,6,362
bata1289,Batak Toba,2,948
beem1239,Beembe,3,358
beng1280,Bengali,5,8
bouy1240,Bouyei,1,774
bret1244,Breton,4,143
bulg1262,Bulgarian,11,98
buru1296,Burushaski,12,3309
cent1973,Central Pashto,10,1057
cent1989,Central Khmer,3,26
cent2050,Central Kanuri,5,314
cent2144,Central Mazahua,12,2941
chac1249,Cha'palaa,4,122
chac1251,Chácobo,5,185
cham1312,Chamorro,4,69
chip1261,Chipewyan,9,258
chiq1250,Chiquihuitlán Mazatec,8,1897
chuk1273,Chukchi,2,0
chuv1255,Chuvash,6,95
copa1236,Copainalá Zoque,4,526
dagb1246,Dagbani,6,181
east2328,Eastern Mari,7,45
east2542,Eastern Ojibwa,6,213
egyp1253,Egyptian Arabic,11,6
even1260,Even,4,0
ewee1241,Ewe,4,114
finn1318,Finnish,3,66
gaaa1244,Ga,8,94
gali1262,Galibi Carib,1,6
garo1247,Garo,3,114
gbay1287,Gbaya-Bossangoa,2,476
gily1242,Nivkh,4,365
hakk1236,Hakka Chinese,4,365
halh1238,Halh Mongolian,6,1305
haus1257,Hausa,6,600
hawa1245,Hawaiian,1,2020
hebr1245,Modern Hebrew,7,515
hind1269,Hindi,15,416
hopi1249,Hopi,3,1713
hung1274,Hungarian,15,110
hupa1239,Hupa,9,123
iaai1238,Iaai,3,21
icel1247,Icelandic,1,0
igna1246,Ignaciano,4,159
iraq1241,Iraqw,4,1767
iris1253,Irish,4,88
isla1278,Island Carib,2,758
iton1250,Itonama,3,169
iumi1238,Iu Mien,4,1299
jaqa1244,Jaqaru,11,2766
java1254,Javanese,2,112
kaba1278,Kabardian,8,1234
kala1399,Kalaallisut,5,0
karo1304,Karok,7,676
kash1277,Kashmiri,8,1623
kett1243,Ket,2,176
khan1273,Kazym-Berezover-Suryskarer Khanty,3,54
khar1287,Kharia,5,376
khas1269,Khasi,3,38
kirg1245,Kirghiz,5,3699
komi1268,Komi-Zyrian,7,125
kore1280,Korean,5,154
kota1263,Kota (India),3,1456
koyr1242,Koyraboro Senni Songhai,4,261
kumi1248,Tipai,3,297
kuni1267,Kunimaipa,2,1857
kuru1302,Kurukh,8,284
kwak1269,Kwak'wala,4,112
kwom1262,Kwoma,4,31
lahu1253,Lahu,4,1476
lakk1238,Lakkia,2,767
lakk1252,Lak,20,2018
lako1247,Lakota,9,834
libe1247,Liberia Kpelle,3,285
lith1251,Lithuanian,12,54
lugb1240,Lugbara,4,1225
luis1253,Luiseno,4,742
luok1236,Luo (Kenya and Tanzania),4,1467
luva1239,Luvale,6,1078
malt1254,Maltese,14,44
mand1415,Mandarin Chinese,15,88
mapu1245,Mapudungun,3,1538
mara1386,Maranunggu,2,23
marg1265,Marghi Central,8,426
masa1300,Masai,3,1187
mezq1235,Mezquital Otomi,6,2391
mode1248,Modern Greek,4,190
moro1292,Moroccan Arabic,12,352
mund1320,Mundari,5,50
nava1243,Navajo,10,2140
nene1249,Tundra Nenets,4,0
nezp1238,Nez Perce,1,1041
ngas1240,Ngas,6,1130
nobi1240,Nobiin,7,277
nort2697,North Azerbaijani,6,276
nort2745,Northern Yukaghir,1,0
nort2938,Northern Haida,4,80
nort2952,Northeast Maidu,1,1271
norw1259,Norwegian Bokmål,2,20
nucl1235,Eastern Armenian,10,1912
nucl1301,Turkish,6,1138
nucl1302,Georgian,10,1338
nucl1310,Burmese,7,711
nucl1347,Wolof,1,53
nucl1417,Igbo,6,8
nucl1643,Japanese,9,127
nuuc1236,Nuu-chah-nulth,6,614
nyis1236,Nyishi-Hill Miri,1,996
ocai1244,Ocaina,7,114
onei1249,Oneida,2,375
paez1247,Páez,5,3472
panj1256,Eastern Panjabi,10,227
papa1238,Papantla Totonac,4,89
para1311,Paraguayan Guaraní,3,184
plat1254,Plateau Malagasy,6,1653
port1283,Portuguese,4,445
pure1242,Purepecha,7,2340
roma1327,Romanian,7,348
russ1263,Russian,8,185
saba1265,Sa'ban,5,1002
sanm1295,San Miguel El Grande Mixtec,4,2279
seda1262,Sedang,4,1287
sele1250,Selepet,1,759
sene1264,Seneca,2,427
sgaw1245,S'gaw Karen,4,246
shua1257,Shuar,4,1256
sinh1246,Sinhala,3,51
siri1273,Sirionó,5,182
soma1255,Somali,3,211
sout2961,Southern Tiwa,2,1532
sout2982,Southeastern Pomo,4,439
sout2991,South Bolivian Quechua,5,4156
squa1248,Squamish,6,50
stan1288,Spanish,2,1202
stan1290,French,4,124
stan1293,English,6,22
stan1295,German,5,368
stan1306,Standard Malay,3,54
stra1244,Northern Straits Salish,8,490
sund1252,Sundanese,3,493
swah1253,Swahili,5,200
taba1266,Tabasco Chontal,6,3
taga1270,Tagalog,2,93
tamn1235,Tamnim Citak,3,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,10,408
tele1256,Telefol,1,2130
telu1262,Telugu,8,440
tewa1260,Rio Grande Tewa,7,1687
thai1261,Thai,1,3
ticu1245,Ticuna,3,150
tigr1270,Tigre,16,2112
toho1245,Tohono O'odham,4,640
tolo1259,Tolowa-Chetco,8,81
tosk1239,Northern Tosk Albanian,8,88
tuni1252,Tunica,3,40
tzel1254,Tzeltal,6,2091
unam1242,Unami,4,415
viet1252,Vietnamese,2,8
waim1255,Waimaha,1,167
wapi1253,Wapishana,4,130
wayu1243,Wayuu,7,37
west2369,Western Farsi,6,2174
west2650,Western Cham,2,35
wich1260,Wichita,7,390
wuch1236,Wu Chinese,5,205
yaku1245,Sakha,9,875
yane1238,Yanesha',7,2474
yuch1247,Yuchi,12,247
yuec1235,Yue Chinese,3,-3
zulu1248,Zulu,6,537
zuni1245,Zuni,12,2210
0,Maori,0,451
1,Antakarinya,0,178
2,Nyangumarta,0,260
3,Kunjen,0,162
4,Mawng,0,28
5,Wubuy,0,6
6,Alawa,0,147
7,Wik-Mungkan,0,32
8,Sentani,0,74
9,Gadsup,0,1311
10,Awiyaana,0,1917
11,Naasioi,0,1855
