,language,syllabic,elevation
adze1240,Adzera,7,207
ainu1240,Hokkaido Ainu,5,216
akan1250,Akan,18,166
alab1237,Alabama,6,89
alaw1244,Alawa,5,147
aleu1260,Aleut,6,82
amah1246,Amahuaca,8,429
amha1245,Amharic,7,3440
anta1253,Antakarinya,6,178
apin1244,Apinayé,35,229
asha1243,Asháninka,4,497
atay1247,Atayal,8,1882
awiy1238,Awiyaana,6,1917
awng1244,Awngi,7,2024
basq1248,Basque,5,362
bata1289,Batak Toba,5,948
beem1239,Beembe,20,358
beng1280,Bengali,15,8
bouy1240,Bouyei,8,774
bret1244,Breton,17,143
bulg1262,Bulgarian,12,98
buru1296,Burushaski,12,3309
cent1973,Central Pashto,7,1057
cent1989,Central Khmer,21,26
cent2050,Central Kanuri,6,314
cent2144,Central Mazahua,15,2941
chac1249,Cha'palaa,4,122
chac1251,Chácobo,4,185
cham1312,Chamorro,6,69
chip1261,Chipewyan,18,258
chiq1250,Chiquihuitlán Mazatec,8,1897
chuk1273,Chukchi,7,0
chuv1255,Chuvash,9,95
copa1236,Copainalá Zoque,6,526
dagb1246,Dagbani,11,181
east2328,Eastern Mari,9,45
east2542,Eastern Ojibwa,11,213
egyp1253,Egyptian Arabic,9,6
even1260,Even,18,0
ewee1241,Ewe,16,114
finn1318,Finnish,16,66
gaaa1244,Ga,16,94
gads1258,Gadsup,6,1311
gali1262,Galibi Carib,12,6
garo1247,Garo,5,114
gbay1287,Gbaya-Bossangoa,12,476
gily1242,Nivkh,10,365
hakk1236,Hakka Chinese,9,365
halh1238,Halh Mongolian,14,1305
haus1257,Hausa,10,600
hawa1245,Hawaiian,10,2020
hebr1245,Modern Hebrew,6,515
hind1269,Hindi,19,416
hopi1249,Hopi,18,1713
hung1274,Hungarian,15,110
hupa1239,Hupa,7,123
iaai1238,Iaai,19,21
icel1247,Icelandic,16,0
igna1246,Ignaciano,4,159
iraq1241,Iraqw,12,1767
iris1253,Irish,20,88
isla1278,Island Carib,12,758
iton1250,Itonama,6,169
iumi1238,Iu Mien,10,1299
jaqa1244,Jaqaru,6,2766
java1254,Javanese,8,112
kaba1278,Kabardian,7,1234
kala1399,Kalaallisut,6,0
karo1304,Karok,11,676
kash1277,Kashmiri,29,1623
kett1243,Ket,14,176
khan1273,Kazym-Berezover-Suryskarer Khanty,13,54
khar1287,Kharia,10,376
khas1269,Khasi,7,38
kirg1245,Kirghiz,16,3699
komi1268,Komi-Zyrian,7,125
kore1280,Korean,18,154
kota1263,Kota (India),11,1456
koyr1242,Koyraboro Senni Songhai,15,261
kumi1248,Tipai,9,297
kuni1267,Kunimaipa,5,1857
kunj1245,Kunjen,5,162
kuru1302,Kurukh,22,284
kwak1269,Kwak'wala,12,112
kwom1262,Kwoma,7,31
lahu1253,Lahu,9,1476
lakk1238,Lakkia,22,767
lakk1252,Lak,9,2018
lako1247,Lakota,9,834
libe1247,Liberia Kpelle,27,285
lith1251,Lithuanian,11,54
lugb1240,Lugbara,12,1225
