,language,tense,elevation
adze1240,Adzera,7,207
ainu1240,Hokkaido Ainu,4,216
akan1250,Akan,9,166
alab1237,Alabama,5,89
alaw1244,Alawa,2,147
aleu1260,Aleut,8,82
amah1246,Amahuaca,6,429
amha1245,Amharic,7,3440
anta1253,Antakarinya,5,178
apin1244,Apinayé,20,229
asha1243,Asháninka,5,497
atay1247,Atayal,6,1882
awiy1238,Awiyaana,5,1917
awng1244,Awngi,5,2024
basq1248,Basque,1,362
bata1289,Batak Toba,5,948
beem1239,Beembe,10,358
beng1280,Bengali,6,8
bouy1240,Bouyei,4,774
bret1244,Breton,12,143
bulg1262,Bulgarian,7,98
buru1296,Burushaski,7,3309
cent1973,Central Pashto,4,1057
cent1989,Central Khmer,8,26
cent2050,Central Kanuri,5,314
cent2144,Central Mazahua,14,2941
chac1249,Cha'palaa,3,122
chac1251,Chácobo,4,185
cham1312,Chamorro,6,69
chip1261,Chipewyan,11,258
chiq1250,Chiquihuitlán Mazatec,5,1897
chuk1273,Chukchi,5,0
chuv1255,Chuvash,8,95
copa1236,Copainalá Zoque,6,526
dagb1246,Dagbani,8,181
east2328,Eastern Mari,5,45
east2542,Eastern Ojibwa,4,213
egyp1253,Egyptian Arabic,8,6
even1260,Even,9,0
ewee1241,Ewe,10,114
finn1318,Finnish,12,66
gaaa1244,Ga,9,94
gads1258,Gadsup,5,1311
gali1262,Galibi Carib,8,6
garo1247,Garo,4,114
gbay1287,Gbaya-Bossangoa,8,476
gily1242,Nivkh,7,365
hakk1236,Hakka Chinese,4,365
halh1238,Halh Mongolian,6,1305
haus1257,Hausa,5,600
hawa1245,Hawaiian,8,2020
hebr1245,Modern Hebrew,2,515
hind1269,Hindi,12,416
hopi1249,Hopi,16,1713
hung1274,Hungarian,14,110
hupa1239,Hupa,2,123
iaai1238,Iaai,12,21
icel1247,Icelandic,11,0
igna1246,Ignaciano,4,159
iraq1241,Iraqw,7,1767
iris1253,Irish,12,88
isla1278,Island Carib,7,758
iton1250,Itonama,7,169
iumi1238,Iu Mien,8,1299
jaqa1244,Jaqaru,6,2766
java1254,Javanese,6,112
kaba1278,Kabardian,5,1234
kala1399,Kalaallisut,2,0
karo1304,Karok,6,676
kash1277,Kashmiri,23,1623
kett1243,Ket,5,176
khan1273,Kazym-Berezover-Suryskarer Khanty,6,54
khar1287,Kharia,9,376
khas1269,Khasi,4,38
kirg1245,Kirghiz,7,3699
komi1268,Komi-Zyrian,4,125
kore1280,Korean,16,154
kota1263,Kota (India),5,1456
koyr1242,Koyraboro Senni Songhai,13,261
kumi1248,Tipai,4,297
kuni1267,Kunimaipa,3,1857
kunj1245,Kunjen,2,162
kuru1302,Kurukh,12,284
kwak1269,Kwak'wala,8,112
kwom1262,Kwoma,6,31
lahu1253,Lahu,8,1476
lakk1238,Lakkia,17,767
lakk1252,Lak,6,2018
lako1247,Lakota,7,834
libe1247,Liberia Kpelle,4,285
lith1251,Lithuanian,5,54
lugb1240,Lugbara,8,1225
luis1253,Luiseno,3,742
luok1236,Luo (Kenya and Tanzania),4,1467
luva1239,Luvale,10,1078
malt1254,Maltese,8,44
mand1415,Mandarin Chinese,11,88
maor1246,Maori,6,451
mapu1245,Mapudungun,5,1538
mara1386,Maranunggu,3,23
marg1265,Marghi Central,4,426
masa1300,Masai,12,1187
maun1240,Mawng,4,28
mezq1235,Mezquital Otomi,13,2391
mode1248,Modern Greek,3,190
moro1292,Moroccan Arabic,6,352
mund1320,Mundari,2,50
naas1242,Naasioi,6,1855
nava1243,Navajo,7,2140
nene1249,Tundra Nenets,6,0
nezp1238,Nez Perce,6,1041
ngas1240,Ngas,7,1130
nobi1240,Nobiin,8,277
nort2697,North Azerbaijani,3,276
nort2745,Northern Yukaghir,4,0
nort2938,Northern Haida,5,80
nort2952,Northeast Maidu,5,1271
norw1259,Norwegian Bokmål,8,20
nucl1235,Eastern Armenian,4,1912
nucl1301,Turkish,9,1138
nucl1302,Georgian,1,1338
nucl1310,Burmese,9,711
nucl1347,Wolof,10,53
nucl1417,Igbo,10,8
nucl1632,Sentani,5,74
nucl1643,Japanese,7,127
nung1290,Wubuy,2,6
nuuc1236,Nuu-chah-nulth,8,614
nyan1301,Nyangumarta,5,260
nyis1236,Nyishi-Hill Miri,6,996
ocai1244,Ocaina,5,114
onei1249,Oneida,6,375
paez1247,Páez,7,3472
panj1256,Eastern Panjabi,6,227
papa1238,Papantla Totonac,6,89
para1311,Paraguayan Guaraní,10,184
plat1254,Plateau Malagasy,3,1653
port1283,Portuguese,13,445
pure1242,Purepecha,6,2340
roma1327,Romanian,7,348
russ1263,Russian,3,185
saba1265,Sa'ban,5,1002
sanm1295,San Miguel El Grande Mixtec,8,2279
seda1262,Sedang,12,1287
sele1250,Selepet,5,759
sene1264,Seneca,8,427
sgaw1245,S'gaw Karen,6,246
shua1257,Shuar,8,1256
sinh1246,Sinhala,5,51
siri1273,Sirionó,10,182
soma1255,Somali,6,211
sout2961,Southern Tiwa,10,1532
sout2982,Southeastern Pomo,2,439
sout2991,South Bolivian Quechua,2,4156
squa1248,Squamish,6,50
stan1288,Spanish,4,1202
stan1290,French,10,124
stan1293,English,5,22
stan1295,German,7,368
stan1306,Standard Malay,3,54
stra1244,Northern Straits Salish,3,490
sund1252,Sundanese,6,493
swah1253,Swahili,6,200
taba1266,Tabasco Chontal,6,3
taga1270,Tagalog,8,93
tamn1235,Tamnim Citak,4,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,4,408
tele1256,Telefol,6,2130
telu1262,Telugu,9,440
tewa1260,Rio Grande Tewa,11,1687
thai1261,Thai,11,3
ticu1245,Ticuna,7,150
tigr1270,Tigre,5,2112
toho1245,Tohono O'odham,8,640
tolo1259,Tolowa-Chetco,10,81
tosk1239,Northern Tosk Albanian,4,88
tuni1252,Tunica,6,40
tzel1254,Tzeltal,2,2091
unam1242,Unami,9,415
viet1252,Vietnamese,5,8
waim1255,Waimaha,10,167
wapi1253,Wapishana,10,130
wayu1243,Wayuu,8,37
west2369,Western Farsi,6,2174
west2650,Western Cham,7,35
wich1260,Wichita,6,390
wikm1247,Wik-Mungkan,4,32
wuch1236,Wu Chinese,6,205
yaku1245,Sakha,10,875
yane1238,Yanesha',6,2474
yuch1247,Yuchi,12,247
yuec1235,Yue Chinese,4,-3
zulu1248,Zulu,4,537
zuni1245,Zuni,8,2210
