Glottocode,language,consonantal,elevation
adze1240,Adzera,15,207
ainu1240,Hokkaido Ainu,9,216
akan1250,Akan,19,166
alab1237,Alabama,12,89
alaw1244,Alawa,20,147
aleu1260,Aleut,25,82
amah1246,Amahuaca,11,429
amha1245,Amharic,48,3440
anta1253,Antakarinya,15,178
apin1244,Apinayé,13,229
asha1243,Asháninka,14,497
atay1247,Atayal,17,1882
awiy1238,Awiyaana,9,1917
awng1244,Awngi,26,2024
basq1248,Basque,23,362
bata1289,Batak Toba,13,948
beem1239,Beembe,16,358
beng1280,Bengali,33,8
bouy1240,Bouyei,22,774
bret1244,Breton,21,143
bulg1262,Bulgarian,36,98
buru1296,Burushaski,35,3309
cent1973,Central Pashto,28,1057
cent1989,Central Khmer,18,26
cent2050,Central Kanuri,22,314
cent2144,Central Mazahua,38,2941
chac1249,Cha'palaa,21,122
chac1251,Chácobo,14,185
cham1312,Chamorro,27,69
chip1261,Chipewyan,37,258
chiq1250,Chiquihuitlán Mazatec,24,1897
chuk1273,Chukchi,13,0
chuv1255,Chuvash,26,95
copa1236,Copainalá Zoque,20,526
dagb1246,Dagbani,22,181
east2328,Eastern Mari,24,45
east2542,Eastern Ojibwa,16,213
egyp1253,Egyptian Arabic,52,6
even1260,Even,17,0
ewee1241,Ewe,26,114
finn1318,Finnish,24,66
gaaa1244,Ga,27,94
gads1258,Gadsup,8,1311
gali1262,Galibi Carib,13,6
garo1247,Garo,19,114
gbay1287,Gbaya-Bossangoa,28,476
gily1242,Nivkh,30,365
hakk1236,Hakka Chinese,17,365
halh1238,Halh Mongolian,20,1305
haus1257,Hausa,28,600
hawa1245,Hawaiian,7,2020
hebr1245,Modern Hebrew,22,515
hind1269,Hindi,66,416
hopi1249,Hopi,26,1713
hung1274,Hungarian,45,110
hupa1239,Hupa,31,123
iaai1238,Iaai,29,21
icel1247,Icelandic,19,0
igna1246,Ignaciano,18,159
iraq1241,Iraqw,30,1767
iris1253,Irish,41,88
isla1278,Island Carib,13,758
iton1250,Itonama,16,169
iumi1238,Iu Mien,30,1299
jaqa1244,Jaqaru,34,2766
java1254,Javanese,19,112
