Glottocode,language,dorsal,elevation
adze1240,Adzera,12,207
ainu1240,Hokkaido Ainu,8,216
akan1250,Akan,26,166
alab1237,Alabama,9,89
alaw1244,Alawa,14,147
aleu1260,Aleut,18,82
amah1246,Amahuaca,12,429
amha1245,Amharic,20,3440
anta1253,Antakarinya,10,178
apin1244,Apinayé,38,229
asha1243,Asháninka,9,497
atay1247,Atayal,16,1882
awiy1238,Awiyaana,9,1917
awng1244,Awngi,19,2024
basq1248,Basque,12,362
bata1289,Batak Toba,11,948
beem1239,Beembe,24,358
beng1280,Bengali,25,8
bouy1240,Bouyei,16,774
bret1244,Breton,28,143
bulg1262,Bulgarian,32,98
buru1296,Burushaski,22,3309
cent1973,Central Pashto,13,1057
cent1989,Central Khmer,27,26
cent2050,Central Kanuri,13,314
cent2144,Central Mazahua,32,2941
chac1249,Cha'palaa,13,122
chac1251,Chácobo,8,185
cham1312,Chamorro,14,69
chip1261,Chipewyan,29,258
chiq1250,Chiquihuitlán Mazatec,13,1897
chuk1273,Chukchi,14,0
chuv1255,Chuvash,20,95
copa1236,Copainalá Zoque,15,526
dagb1246,Dagbani,19,181
east2328,Eastern Mari,19,45
east2542,Eastern Ojibwa,13,213
egyp1253,Egyptian Arabic,27,6
even1260,Even,23,0
ewee1241,Ewe,25,114
finn1318,Finnish,21,66
gaaa1244,Ga,22,94
gads1258,Gadsup,8,1311
gali1262,Galibi Carib,17,6
garo1247,Garo,10,114
gbay1287,Gbaya-Bossangoa,21,476
gily1242,Nivkh,27,365
hakk1236,Hakka Chinese,12,365
halh1238,Halh Mongolian,18,1305
haus1257,Hausa,23,600
hawa1245,Hawaiian,12,2020
hebr1245,Modern Hebrew,12,515
hind1269,Hindi,37,416
hopi1249,Hopi,32,1713
hung1274,Hungarian,28,110
hupa1239,Hupa,21,123
iaai1238,Iaai,28,21
icel1247,Icelandic,23,0
igna1246,Ignaciano,9,159
iraq1241,Iraqw,26,1767
iris1253,Irish,58,88
isla1278,Island Carib,17,758
iton1250,Itonama,11,169
iumi1238,Iu Mien,22,1299
jaqa1244,Jaqaru,21,2766
java1254,Javanese,14,112
kaba1278,Kabardian,33,1234
kala1399,Kalaallisut,19,0
karo1304,Karok,16,676
kash1277,Kashmiri,38,1623
kett1243,Ket,24,176
khan1273,Kazym-Berezover-Suryskarer Khanty,21,54
khar1287,Kharia,18,376
khas1269,Khasi,13,38
kirg1245,Kirghiz,21,3699
komi1268,Komi-Zyrian,19,125
kore1280,Korean,24,154
kota1263,Kota (India),15,1456
koyr1242,Koyraboro Senni Songhai,26,261
kumi1248,Tipai,17,297
kuni1267,Kunimaipa,9,1857
kunj1245,Kunjen,14,162
kuru1302,Kurukh,33,284
kwak1269,Kwak'wala,30,112
kwom1262,Kwoma,14,31
lahu1253,Lahu,18,1476
lakk1238,Lakkia,36,767
lakk1252,Lak,35,2018
lako1247,Lakota,17,834
libe1247,Liberia Kpelle,29,285
lith1251,Lithuanian,33,54
lugb1240,Lugbara,20,1225
luis1253,Luiseno,20,742
luok1236,Luo (Kenya and Tanzania),15,1467
luva1239,Luvale,16,1078
malt1254,Maltese,20,44
mand1415,Mandarin Chinese,24,88
maor1246,Maori,13,451
mapu1245,Mapudungun,12,1538
mara1386,Maranunggu,11,23
marg1265,Marghi Central,18,426
masa1300,Masai,27,1187
maun1240,Mawng,10,28
mezq1235,Mezquital Otomi,28,2391
mode1248,Modern Greek,10,190
moro1292,Moroccan Arabic,29,352
mund1320,Mundari,12,50
naas1242,Naasioi,11,1855
nava1243,Navajo,26,2140
nene1249,Tundra Nenets,23,0
nezp1238,Nez Perce,20,1041
ngas1240,Ngas,21,1130
nobi1240,Nobiin,19,277
nort2697,North Azerbaijani,16,276
nort2745,Northern Yukaghir,23,0
nort2938,Northern Haida,29,80
nort2952,Northeast Maidu,12,1271
norw1259,Norwegian Bokmål,24,20
nucl1235,Eastern Armenian,13,1912
nucl1301,Turkish,22,1138
nucl1302,Georgian,14,1338
nucl1310,Burmese,23,711
nucl1347,Wolof,25,53
nucl1417,Igbo,36,8
nucl1632,Sentani,10,74
nucl1643,Japanese,18,127
nung1290,Wubuy,11,6
nuuc1236,Nuu-chah-nulth,27,614
nyan1301,Nyangumarta,13,260
nyis1236,Nyishi-Hill Miri,14,996
ocai1244,Ocaina,17,114
onei1249,Oneida,15,375
paez1247,Páez,21,3472
panj1256,Eastern Panjabi,30,227
papa1238,Papantla Totonac,12,89
para1311,Paraguayan Guaraní,22,184
