Glottocode,language,front,elevation
adze1240,Adzera,3,207
ainu1240,Hokkaido Ainu,3,216
akan1250,Akan,14,166
alab1237,Alabama,3,89
alaw1244,Alawa,8,147
aleu1260,Aleut,4,82
amah1246,Amahuaca,3,429
amha1245,Amharic,5,3440
anta1253,Antakarinya,3,178
apin1244,Apinayé,11,229
asha1243,Asháninka,5,497
atay1247,Atayal,4,1882
awiy1238,Awiyaana,3,1917
awng1244,Awngi,4,2024
basq1248,Basque,6,362
bata1289,Batak Toba,3,948
beem1239,Beembe,10,358
beng1280,Bengali,9,8
bouy1240,Bouyei,6,774
bret1244,Breton,14,143
bulg1262,Bulgarian,20,98
buru1296,Burushaski,5,3309
cent1973,Central Pashto,3,1057
cent1989,Central Khmer,8,26
cent2050,Central Kanuri,4,314
cent2144,Central Mazahua,11,2941
chac1249,Cha'palaa,7,122
chac1251,Chácobo,2,185
cham1312,Chamorro,5,69
chip1261,Chipewyan,10,258
chiq1250,Chiquihuitlán Mazatec,6,1897
chuk1273,Chukchi,5,0
chuv1255,Chuvash,10,95
copa1236,Copainalá Zoque,6,526
dagb1246,Dagbani,6,181
east2328,Eastern Mari,10,45
east2542,Eastern Ojibwa,5,213
egyp1253,Egyptian Arabic,6,6
even1260,Even,10,0
ewee1241,Ewe,8,114
finn1318,Finnish,11,66
gaaa1244,Ga,8,94
gads1258,Gadsup,3,1311
gali1262,Galibi Carib,5,6
garo1247,Garo,2,114
gbay1287,Gbaya-Bossangoa,6,476
gily1242,Nivkh,10,365
hakk1236,Hakka Chinese,6,365
halh1238,Halh Mongolian,5,1305
haus1257,Hausa,10,600
hawa1245,Hawaiian,4,2020
hebr1245,Modern Hebrew,3,515
hind1269,Hindi,10,416
hopi1249,Hopi,11,1713
hung1274,Hungarian,17,110
hupa1239,Hupa,7,123
iaai1238,Iaai,13,21
icel1247,Icelandic,12,0
igna1246,Ignaciano,4,159
iraq1241,Iraqw,5,1767
iris1253,Irish,26,88
isla1278,Island Carib,6,758
iton1250,Itonama,4,169
iumi1238,Iu Mien,10,1299
jaqa1244,Jaqaru,8,2766
java1254,Javanese,5,112
kaba1278,Kabardian,13,1234
kala1399,Kalaallisut,3,0
karo1304,Karok,6,676
kash1277,Kashmiri,13,1623
kett1243,Ket,11,176
khan1273,Kazym-Berezover-Suryskarer Khanty,8,54
khar1287,Kharia,6,376
khas1269,Khasi,4,38
kirg1245,Kirghiz,9,3699
komi1268,Komi-Zyrian,11,125
kore1280,Korean,9,154
kota1263,Kota (India),5,1456
koyr1242,Koyraboro Senni Songhai,11,261
kumi1248,Tipai,4,297
kuni1267,Kunimaipa,2,1857
kunj1245,Kunjen,6,162
kuru1302,Kurukh,10,284
kwak1269,Kwak'wala,9,112
kwom1262,Kwoma,5,31
lahu1253,Lahu,4,1476
lakk1238,Lakkia,16,767
lakk1252,Lak,6,2018
lako1247,Lakota,4,834
libe1247,Liberia Kpelle,9,285
lith1251,Lithuanian,23,54
lugb1240,Lugbara,7,1225
luis1253,Luiseno,5,742
luok1236,Luo (Kenya and Tanzania),6,1467
luva1239,Luvale,6,1078
malt1254,Maltese,6,44
mand1415,Mandarin Chinese,7,88
maor1246,Maori,4,451
mapu1245,Mapudungun,5,1538
mara1386,Maranunggu,4,23
marg1265,Marghi Central,8,426
masa1300,Masai,12,1187
maun1240,Mawng,3,28
mezq1235,Mezquital Otomi,8,2391
mode1248,Modern Greek,3,190
moro1292,Moroccan Arabic,4,352
mund1320,Mundari,3,50
naas1242,Naasioi,4,1855
nava1243,Navajo,10,2140
nene1249,Tundra Nenets,14,0
nezp1238,Nez Perce,6,1041
ngas1240,Ngas,9,1130
nobi1240,Nobiin,8,277
nort2697,North Azerbaijani,7,276
nort2745,Northern Yukaghir,8,0
nort2938,Northern Haida,7,80
nort2952,Northeast Maidu,5,1271
norw1259,Norwegian Bokmål,12,20
nucl1235,Eastern Armenian,3,1912
nucl1301,Turkish,12,1138
nucl1302,Georgian,3,1338
nucl1310,Burmese,9,711
nucl1347,Wolof,12,53
nucl1417,Igbo,14,8
nucl1632,Sentani,4,74
nucl1643,Japanese,6,127
nung1290,Wubuy,5,6
nuuc1236,Nuu-chah-nulth,6,614
nyan1301,Nyangumarta,4,260
nyis1236,Nyishi-Hill Miri,4,996
ocai1244,Ocaina,7,114
onei1249,Oneida,5,375
paez1247,Páez,13,3472
panj1256,Eastern Panjabi,10,227
papa1238,Papantla Totonac,3,89
para1311,Paraguayan Guaraní,6,184
plat1254,Plateau Malagasy,3,1653
port1283,Portuguese,10,445
pure1242,Purepecha,4,2340
roma1327,Romanian,4,348
russ1263,Russian,17,185
saba1265,Sa'ban,6,1002
sanm1295,San Miguel El Grande Mixtec,5,2279
seda1262,Sedang,10,1287
sele1250,Selepet,3,759
sene1264,Seneca,9,427
sgaw1245,S'gaw Karen,7,246
shua1257,Shuar,4,1256
sinh1246,Sinhala,13,51
siri1273,Sirionó,7,182
soma1255,Somali,11,211
sout2961,Southern Tiwa,5,1532
sout2982,Southeastern Pomo,5,439
sout2991,South Bolivian Quechua,5,4156
squa1248,Squamish,3,50
stan1288,Spanish,5,1202
stan1290,French,15,124
stan1293,English,5,22
stan1295,German,10,368
stan1306,Standard Malay,5,54
stra1244,Northern Straits Salish,3,490
sund1252,Sundanese,4,493
swah1253,Swahili,5,200
taba1266,Tabasco Chontal,5,3
taga1270,Tagalog,5,93
tamn1235,Tamnim Citak,3,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,2,408
tele1256,Telefol,4,2130
telu1262,Telugu,10,440
tewa1260,Rio Grande Tewa,12,1687
thai1261,Thai,9,3
ticu1245,Ticuna,4,150
tigr1270,Tigre,4,2112
toho1245,Tohono O'odham,4,640
tolo1259,Tolowa-Chetco,7,81
tosk1239,Northern Tosk Albanian,7,88
tuni1252,Tunica,4,40
tzel1254,Tzeltal,3,2091
unam1242,Unami,7,415
viet1252,Vietnamese,6,8
waim1255,Waimaha,5,167
