Glottocode,language,labial,elevation
adze1240,Adzera,6,207
ainu1240,Hokkaido Ainu,5,216
akan1250,Akan,17,166
alab1237,Alabama,7,89
alaw1244,Alawa,4,147
aleu1260,Aleut,10,82
amah1246,Amahuaca,5,429
amha1245,Amharic,15,3440
anta1253,Antakarinya,5,178
apin1244,Apinayé,13,229
asha1243,Asháninka,5,497
atay1247,Atayal,7,1882
awiy1238,Awiyaana,6,1917
awng1244,Awngi,12,2024
basq1248,Basque,6,362
bata1289,Batak Toba,6,948
beem1239,Beembe,16,358
beng1280,Bengali,15,8
bouy1240,Bouyei,8,774
bret1244,Breton,17,143
bulg1262,Bulgarian,14,98
buru1296,Burushaski,11,3309
cent1973,Central Pashto,8,1057
cent1989,Central Khmer,13,26
cent2050,Central Kanuri,8,314
cent2144,Central Mazahua,18,2941
chac1249,Cha'palaa,6,122
chac1251,Chácobo,5,185
cham1312,Chamorro,11,69
chip1261,Chipewyan,12,258
chiq1250,Chiquihuitlán Mazatec,6,1897
chuk1273,Chukchi,5,0
chuv1255,Chuvash,12,95
copa1236,Copainalá Zoque,8,526
dagb1246,Dagbani,12,181
east2328,Eastern Mari,9,45
east2542,Eastern Ojibwa,6,213
egyp1253,Egyptian Arabic,13,6
even1260,Even,11,0
ewee1241,Ewe,17,114
finn1318,Finnish,15,66
gaaa1244,Ga,17,94
gads1258,Gadsup,5,1311
gali1262,Galibi Carib,11,6
garo1247,Garo,7,114
gbay1287,Gbaya-Bossangoa,18,476
gily1242,Nivkh,11,365
hakk1236,Hakka Chinese,8,365
halh1238,Halh Mongolian,13,1305
haus1257,Hausa,13,600
hawa1245,Hawaiian,7,2020
hebr1245,Modern Hebrew,7,515
hind1269,Hindi,24,416
hopi1249,Hopi,16,1713
hung1274,Hungarian,20,110
hupa1239,Hupa,9,123
iaai1238,Iaai,20,21
icel1247,Icelandic,14,0
igna1246,Ignaciano,7,159
iraq1241,Iraqw,16,1767
iris1253,Irish,18,88
isla1278,Island Carib,8,758
iton1250,Itonama,6,169
iumi1238,Iu Mien,12,1299
jaqa1244,Jaqaru,5,2766
