Glottocode,language,sonorant,elevation
adze1240,Adzera,13,207
ainu1240,Hokkaido Ainu,10,216
akan1250,Akan,21,166
alab1237,Alabama,11,89
alaw1244,Alawa,17,147
aleu1260,Aleut,18,82
amah1246,Amahuaca,13,429
amha1245,Amharic,19,3440
anta1253,Antakarinya,18,178
apin1244,Apinayé,36,229
asha1243,Asháninka,10,497
atay1247,Atayal,15,1882
awiy1238,Awiyaana,13,1917
awng1244,Awngi,15,2024
basq1248,Basque,12,362
bata1289,Batak Toba,12,948
beem1239,Beembe,26,358
beng1280,Bengali,30,8
bouy1240,Bouyei,15,774
bret1244,Breton,27,143
bulg1262,Bulgarian,21,98
buru1296,Burushaski,19,3309
cent1973,Central Pashto,15,1057
cent1989,Central Khmer,29,26
cent2050,Central Kanuri,15,314
cent2144,Central Mazahua,30,2941
chac1249,Cha'palaa,13,122
chac1251,Chácobo,9,185
cham1312,Chamorro,17,69
chip1261,Chipewyan,24,258
chiq1250,Chiquihuitlán Mazatec,15,1897
chuk1273,Chukchi,12,0
chuv1255,Chuvash,23,95
copa1236,Copainalá Zoque,17,526
dagb1246,Dagbani,19,181
east2328,Eastern Mari,17,45
east2542,Eastern Ojibwa,14,213
egyp1253,Egyptian Arabic,21,6
even1260,Even,25,0
ewee1241,Ewe,24,114
finn1318,Finnish,26,66
gaaa1244,Ga,25,94
gads1258,Gadsup,9,1311
gali1262,Galibi Carib,18,6
garo1247,Garo,15,114
gbay1287,Gbaya-Bossangoa,23,476
gily1242,Nivkh,20,365
hakk1236,Hakka Chinese,12,365
halh1238,Halh Mongolian,20,1305
haus1257,Hausa,18,600
hawa1245,Hawaiian,14,2020
hebr1245,Modern Hebrew,11,515
hind1269,Hindi,39,416
hopi1249,Hopi,31,1713
hung1274,Hungarian,28,110
hupa1239,Hupa,13,123
iaai1238,Iaai,33,21
icel1247,Icelandic,26,0
igna1246,Ignaciano,12,159
iraq1241,Iraqw,20,1767
iris1253,Irish,45,88
isla1278,Island Carib,19,758
iton1250,Itonama,12,169
iumi1238,Iu Mien,23,1299
jaqa1244,Jaqaru,15,2766
java1254,Javanese,17,112
kaba1278,Kabardian,12,1234
kala1399,Kalaallisut,15,0
karo1304,Karok,18,676
kash1277,Kashmiri,35,1623
kett1243,Ket,20,176
khan1273,Kazym-Berezover-Suryskarer Khanty,24,54
khar1287,Kharia,19,376
khas1269,Khasi,15,38
kirg1245,Kirghiz,22,3699
komi1268,Komi-Zyrian,14,125
kore1280,Korean,24,154
kota1263,Kota (India),20,1456
koyr1242,Koyraboro Senni Songhai,28,261
kumi1248,Tipai,19,297
kuni1267,Kunimaipa,11,1857
kunj1245,Kunjen,15,162
kuru1302,Kurukh,35,284
kwak1269,Kwak'wala,22,112
kwom1262,Kwoma,14,31
lahu1253,Lahu,15,1476
lakk1238,Lakkia,35,767
lakk1252,Lak,15,2018
lako1247,Lakota,13,834
libe1247,Liberia Kpelle,25,285
lith1251,Lithuanian,20,54
lugb1240,Lugbara,21,1225
luis1253,Luiseno,18,742
luok1236,Luo (Kenya and Tanzania),17,1467
luva1239,Luvale,18,1078
malt1254,Maltese,22,44
mand1415,Mandarin Chinese,21,88
maor1246,Maori,15,451
mapu1245,Mapudungun,17,1538
mara1386,Maranunggu,16,23
