,language,anterior,elevation
abip1241,Abipon,4,65.0
acat1239,Acatepec Me'phaa,7,504.0
ache1246,Aché,3,158.0
achu1247,Achumawi,5,1258.0
adze1240,Adzera,7,207.0
afad1236,Afade,9,293.0
aghe1239,Aghem,8,1047.0
ahte1237,Ahtena,14,0.0
aika1237,Aikanã,6,520.0
ainu1240,Hokkaido Ainu,4,216.0
akan1250,Akan,5,166.0
akaw1239,Akawaio,6,970.0
alab1237,Alabama,5,89.0
alam1246,Alamblak,5,77.0
alaw1244,Alawa,6,147.0
aleu1260,Aleut,7,82.0
alla1248,Alladian,7,14.0
amah1246,Amahuaca,5,429.0
amas1236,Ama (Sudan),9,697.0
amel1241,Amele,5,161.0
amha1245,Amharic,9,3440.0
amoo1242,Amo,8,784.0
ando1256,Andoque,3,181.0
anga1290,Angaataha,3,1709.0
anta1253,Antakarinya,5,178.0
aona1235,Ao Naga,5,605.0
apin1244,Apinayé,3,229.0
apro1235,Aproumu Aizi,6,24.0
apuc1241,Apucikwar,4,58.0
arab1268,Arabela,4,182.0
arch1244,Archi,29,1822.0
asha1243,Asháninka,6,497.0
atay1247,Atayal,6,1882.0
avar1256,Avar,17,646.0
awng1244,Awngi,8,2024.0
baat1238,Baatonum,7,379.0
baka1277,Bakairí,7,428.0
bamb1269,Bambara,7,386.0
bard1255,Bardi,5,46.0
bash1264,Bashkir,9,231.0
basq1248,Basque,8,362.0
bata1289,Batak Toba,5,948.0
bats1242,Bats,12,1048.0
beem1239,Beembe,7,358.0
beja1238,Beja,6,348.0
bell1243,Bella Coola,9,852.0
beng1280,Bengali,9,8.0
bero1242,Berom,7,1221.0
bert1248,Berta,9,897.0
biss1248,Bissa,7,263.0
bodo1269,Bodo-Mech,7,114.0
bord1248,Border Kuna,6,460.0
boro1282,Bororo,4,180.0
bouy1240,Bouyei,8,774.0
brah1256,Brahui,11,1328.0
bret1244,Breton,6,143.0
brib1243,Bribri,7,706.0
bulg1262,Bulgarian,16,98.0
bura1267,Burarra,4,36.0
buru1296,Burushaski,10,3309.0
cacu1241,Kakua,3,155.0
cadd1256,Caddo,7,377.0
came1252,Donga Mambila,5,781.0
cams1241,Camsá,7,2387.0
carn1240,Car Nicobarese,6,30.0
cayu1262,Cayubaba,5,141.0
ceba1235,Cebaara Senoufo,10,390.0
cent1973,Central Pashto,8,1057.0
cent1989,Central Khmer,6,26.0
cent2004,Central Bai,8,3046.0
cent2050,Central Kanuri,7,314.0
cent2128,Central Siberian Yupik,7,0.0
cent2144,Central Mazahua,15,2941.0
chac1249,Cha'palaa,9,122.0
cham1312,Chamorro,7,69.0
cher1273,Cherokee,4,1159.0
chip1261,Chipewyan,20,258.0
chiq1250,Chiquihuitlán Mazatec,9,1897.0
chua1250,Chuave,5,2050.0
chua1256,Chuanqiandian Cluster Miao,13,1077.0
chuk1273,Chukchi,5,0.0
chuv1255,Chuvash,9,95.0
cofa1242,Cofán,7,342.0
copa1236,Copainalá Zoque,6,526.0
cube1242,Cubeo,5,192.0
dadi1250,Dadibi,5,1267.0
dagb1246,Dagbani,6,181.0
daha1245,Dahalo,24,20.0
dalo1238,Daloa Bété,6,234.0
dang1274,Dangaleat,5,459.0
dann1241,Dan,6,324.0
darf1239,Dar Fur Daju,7,609.0
daur1238,Dagur,5,167.0
dawr1236,Dawro,11,1936.0
dera1245,Dera (Indonesia),3,332.0
dera1248,Dera (Nigeria),7,195.0
dhuw1249,Dhuwal,7,99.0
dier1241,Dieri,8,19.0
dizi1235,Dizin,9,2094.0
doya1240,Doyayo,8,309.0
dyir1250,Dyirbal,4,858.0
east1436,Eastern Pahari,12,3212.0
east2328,Eastern Mari,10,45.0
east2347,Eastern Tamang,10,1864.0
east2379,Eastern Arrernte,11,720.0
east2516,East Kewa,6,1942.0
east2542,Eastern Ojibwa,6,213.0
efik1245,Efik,4,25.0
egyp1253,Egyptian Arabic,11,6.0
ejag1239,Ejagham,7,220.0
ekar1243,Ekari,3,1658.0
enap1235,Panare,5,52.0
epen1239,Epena,6,22.0
even1260,Even,6,0.0
ewee1241,Ewe,8,114.0
ewon1239,Ewondo,10,593.0
eyak1241,Eyak,13,0.0
fasu1242,Fasu,4,217.0
fefe1239,Fe'fe',5,1444.0
fiji1243,Fijian,8,151.0
finn1318,Finnish,6,66.0
fuln1247,Fulniô,6,391.0
furr1244,Fur,6,874.0
fwai1237,Fwâi,5,126.0
gaaa1244,Ga,7,94.0
gaam1241,Gaam,9,898.0
gads1258,Gadsup,3,1311.0
gali1262,Galibi Carib,5,6.0
gara1269,Garrwa,5,205.0
gbag1258,Gbagyi,7,261.0
gbay1287,Gbaya-Bossangoa,10,476.0
gily1242,Nivkh,10,365.0
gras1249,Grass Koiari,5,767.0
guah1255,Guahibo,8,88.0
guam1248,Guambiano,6,1725.0
guer1243,Guerrero Amuzgo,9,378.0
hadz1240,Hadza,25,1277.0
haka1240,Haka Chin,17,896.0
hakk1236,Hakka Chinese,7,365.0
halh1238,Halh Mongolian,9,1305.0
hame1242,Hamer-Banna,9,1012.0
haus1257,Hausa,9,600.0
hawa1245,Hawaiian,2,2020.0
hind1269,Hindi,11,416.0
hixk1239,Hixkaryána,6,341.0
hopi1249,Hopi,4,1713.0
huas1242,Huastec,8,69.0
hung1274,Hungarian,9,110.0
hupa1239,Hupa,11,123.0
iaai1238,Iaai,6,21.0
iban1264,Iban,6,121.0
igna1246,Ignaciano,7,159.0
ikkk1242,Ik,14,1739.0
indo1317,Indonesian Bajau,8,37.0
iran1263,Irántxe-Münkü,7,403.0
iraq1241,Iraqw,11,1767.0
irar1238,Irarutu,5,65.0
iris1253,Irish,19,88.0
isla1278,Island Carib,6,758.0
isok1239,Isoko,11,16.0
itel1242,West Itelmen,11,124.0
iton1250,Itonama,8,169.0
iumi1238,Iu Mien,11,1299.0
ivat1242,Itbayat,6,97.0
iwam1256,Iwam,4,26.0
izon1238,Izon,7,5.0
japr1238,Japrería,3,859.0
jaqa1244,Jaqaru,10,2766.0
java1254,Javanese,10,112.0
jebe1250,Jebero,6,242.0
jola1263,Jola-Fonyi,6,31.0
juho1239,South-Eastern Ju,42,1161.0
kaba1278,Kabardian,13,1234.0
kach1280,Southern Jinghpaw,9,147.0
kafa1242,Kafa,6,1743.0
kain1272,Kaingang,3,662.0
kala1377,Kala Lagaw Ya,9,137.0
kala1399,Kalaallisut,6,0.0
kalk1246,Kalkutung,7,435.0
kama1365,Kamang,6,839.0
karo1304,Karok,5,676.0
kash1277,Kashmiri,10,1623.0
katc1249,Katcha-Kadugli-Miri,9,473.0
kawa1283,Kawaiisu,8,1560.0
kekc1242,Kekchí,7,28.0
kera1255,Kera,8,328.0
kett1243,Ket,9,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,5,54.0
khar1287,Kharia,8,376.0
khas1269,Khasi,6,38.0
khmu1256,Khmu,7,953.0
kiow1266,Kiowa,10,450.0
kirg1245,Kirghiz,8,3699.0
klam1254,Klamath-Modoc,10,1299.0
klao1243,Klao,3,66.0
koho1244,Koho,8,871.0
kohu1244,Kohumono,7,23.0
komi1268,Komi-Zyrian,7,125.0
komo1258,Komo (Sudan),9,767.0
konk1267,Maharashtrian Konkani,8,723.0
kore1280,Korean,7,154.0
kory1246,Koryak,4,0.0
kota1263,Kota (India),7,1456.0
koya1251,Koya,6,111.0
koyr1242,Koyraboro Senni Songhai,7,261.0
kpan1246,Kpan,8,139.0
kuku1273,Kuku-Yalanji,4,236.0
kumi1248,Tipai,11,297.0
kuna1268,Kunama,6,1058.0
kuni1267,Kunimaipa,6,1857.0
kups1238,Kupsabiny,6,2719.0
kuru1302,Kurukh,6,284.0
kwai1243,Kwaio,5,564.0
kwak1269,Kwak'wala,15,112.0
kwom1262,Kwoma,5,31.0
lahu1253,Lahu,5,1476.0
lakk1238,Lakkia,9,767.0
lakk1252,Lak,16,2018.0
lako1247,Lakota,8,834.0
lave1249,Brao,7,581.0
lele1264,Lelemi,7,519.0
lena1238,Lenakel,5,219.0
libe1247,Liberia Kpelle,7,285.0
lish1246,Lishán Didán,7,1635.0
lith1251,Lithuanian,16,54.0
lowe1415,Lower Grand Valley Dani,4,2969.0
lugb1240,Lugbara,10,1225.0
luis1253,Luiseno,4,742.0
luok1236,Luo (Kenya and Tanzania),8,1467.0
lush1252,Northern Lushootseed,9,92.0
lusi1240,Lusi,6,92.0
luuu1242,Lü,6,1101.0
maba1277,Maba (Chad),7,509.0
manc1252,Manchu,6,187.0
mand1415,Mandarin Chinese,9,88.0
mapu1245,Mapudungun,8,1538.0
mara1404,Maranao,5,969.0
marg1265,Marghi Central,12,426.0
masa1300,Masai,7,1187.0
maun1240,Mawng,5,28.0
maxa1247,Maxakalí,2,294.0
mbaa1245,Mba,6,456.0
mbab1239,Mbabaram,6,341.0
mbum1254,Mbum,9,830.0
mind1253,Min Dong Chinese,7,6.0
minn1241,Min Nan Chinese,8,35.0
mode1248,Modern Greek,11,190.0
mogh1245,Mogholi,7,942.0
morb1239,Mor (Bomberai Peninsula),5,27.0
moro1285,Moro,7,745.0
movi1243,Movima,6,146.0
muin1242,Muinane,7,177.0
mull1237,Mullukmulluk,5,40.0
mund1320,Mundari,8,50.0
murl1244,Murle,7,452.0
murr1258,Murriny Patha,8,0.0
naas1242,Naasioi,3,1855.0
nama1264,Nama (Namibia),20,1170.0
nana1257,Nanai,6,34.0
nara1262,Nara,6,788.0
natu1246,Natügu,11,0.0
nava1243,Navajo,14,2140.0
naxi1245,Naxi,19,3607.0
ndut1239,Ndut,8,35.0
nene1249,Tundra Nenets,14,0.0
newa1246,Kathmandu Valley Newari,13,288.0
nezp1238,Nez Perce,10,1041.0
ngan1291,Nganasan,7,0.0
ngar1284,Ngarinyin,5,511.0
ngas1240,Ngas,8,1130.0
ngiz1242,Ngizim,12,360.0
niel1243,Niellim,8,358.0
nina1238,Ninam,5,575.0
niva1238,Nivaclé,9,209.0
nobi1240,Nobiin,6,277.0
noon1243,Noone,5,1277.0
nort1550,Taos Northern Tiwa,9,2143.0
nort2641,Northern Kurdish,10,697.0
nort2690,Northern Uzbek,7,52.0
nort2697,North Azerbaijani,7,276.0
nort2735,Northern Dong,5,512.0
nort2745,Northern Yukaghir,7,0.0
nort2815,Northeastern Dinka,8,401.0
nort2819,Northern Bobo Madaré,7,467.0
nort2938,Northern Haida,11,80.0
nort2952,Northeast Maidu,6,1271.0
nort2957,Northern Puebla Nahuatl,6,1496.0
norw1259,Norwegian Bokmål,6,20.0
nucl1235,Eastern Armenian,11,1912.0
nucl1240,Mumuye,7,543.0
nucl1301,Turkish,7,1138.0
nucl1302,Georgian,11,1338.0
nucl1310,Burmese,12,711.0
nucl1339,Temein,8,842.0
nucl1347,Wolof,8,53.0
nucl1417,Igbo,11,8.0
nucl1454,Yawa,7,852.0
nucl1620,Wahgi,8,2160.0
nucl1632,Sentani,3,74.0
nucl1633,Nimboran,5,61.0
nucl1643,Japanese,6,127.0
nucl1649,Southern-Coastal Tsimshian,12,278.0
nung1283,Nung (Viet Nam),6,703.0
nung1290,Wubuy,8,6.0
nuuc1236,Nuu-chah-nulth,10,614.0
nyah1250,Nyahkur,9,556.0
nyan1313,Nyang'i,7,1369.0
nyis1236,Nyishi-Hill Miri,6,996.0
ocai1244,Ocaina,9,114.0
ogbi1239,Ogbia,9,21.0
ormu1247,Ormuri,9,2281.0
paco1243,Pacoh,7,757.0
paez1247,Páez,11,3472.0
paiw1248,Paiwan,7,608.0
papa1238,Papantla Totonac,6,89.0
para1301,South Wa,8,1866.0
para1311,Paraguayan Guaraní,8,184.0
pech1241,Pech,6,411.0
peve1243,Peve,14,328.0
pira1253,Pirahã,2,75.0
plat1254,Plateau Malagasy,9,1653.0
pohn1238,Pohnpeian,5,537.0
popt1235,Popti',8,2060.0
pure1242,Purepecha,10,2340.0
pwon1235,Pwo Northern Karen,7,1113.0
qaqe1238,Qaqet,6,941.0
