,language,approximant,elevation
abip1241,Abipon,9,65.0
acat1239,Acatepec Me'phaa,14,504.0
ache1246,Aché,11,158.0
achu1247,Achumawi,10,1258.0
adze1240,Adzera,10,207.0
afad1236,Afade,13,293.0
aghe1239,Aghem,13,1047.0
ahte1237,Ahtena,7,0.0
aika1237,Aikanã,13,520.0
ainu1240,Hokkaido Ainu,8,216.0
akan1250,Akan,17,166.0
akaw1239,Akawaio,13,970.0
alab1237,Alabama,6,89.0
alam1246,Alamblak,10,77.0
alaw1244,Alawa,11,147.0
aleu1260,Aleut,7,82.0
alla1248,Alladian,16,14.0
amah1246,Amahuaca,11,429.0
amas1236,Ama (Sudan),12,697.0
amel1241,Amele,7,161.0
amha1245,Amharic,11,3440.0
amoo1242,Amo,14,784.0
ando1256,Andoque,16,181.0
anga1290,Angaataha,12,1709.0
anta1253,Antakarinya,10,178.0
aona1235,Ao Naga,10,605.0
apin1244,Apinayé,18,229.0
apro1235,Aproumu Aizi,12,24.0
apuc1241,Apucikwar,12,58.0
arab1268,Arabela,10,182.0
arch1244,Archi,14,1822.0
asha1243,Asháninka,6,497.0
atay1247,Atayal,11,1882.0
avar1256,Avar,9,646.0
awng1244,Awngi,11,2024.0
baat1238,Baatonum,16,379.0
baka1277,Bakairí,16,428.0
bamb1269,Bambara,18,386.0
bard1255,Bardi,14,46.0
bash1264,Bashkir,15,231.0
basq1248,Basque,9,362.0
bata1289,Batak Toba,9,948.0
bats1242,Bats,13,1048.0
beem1239,Beembe,11,358.0
beja1238,Beja,9,348.0
bell1243,Bella Coola,6,852.0
beng1280,Bengali,17,8.0
bero1242,Berom,11,1221.0
bert1248,Berta,9,897.0
biss1248,Bissa,10,263.0
bodo1269,Bodo-Mech,9,114.0
bord1248,Border Kuna,9,460.0
boro1282,Bororo,10,180.0
bouy1240,Bouyei,15,774.0
brah1256,Brahui,12,1328.0
bret1244,Breton,24,143.0
brib1243,Bribri,12,706.0
bulg1262,Bulgarian,11,98.0
bura1267,Burarra,11,36.0
buru1296,Burushaski,9,3309.0
cacu1241,Kakua,12,155.0
cadd1256,Caddo,5,377.0
came1252,Donga Mambila,9,781.0
cams1241,Camsá,11,2387.0
carn1240,Car Nicobarese,14,30.0
cayu1262,Cayubaba,19,141.0
ceba1235,Cebaara Senoufo,15,390.0
cent1973,Central Pashto,12,1057.0
cent1989,Central Khmer,25,26.0
cent2004,Central Bai,13,3046.0
cent2050,Central Kanuri,11,314.0
cent2128,Central Siberian Yupik,9,0.0
cent2144,Central Mazahua,22,2941.0
chac1249,Cha'palaa,9,122.0
cham1312,Chamorro,10,69.0
cher1273,Cherokee,9,1159.0
chip1261,Chipewyan,18,258.0
chiq1250,Chiquihuitlán Mazatec,11,1897.0
chua1250,Chuave,8,2050.0
chua1256,Chuanqiandian Cluster Miao,13,1077.0
chuk1273,Chukchi,9,0.0
chuv1255,Chuvash,13,95.0
cofa1242,Cofán,9,342.0
copa1236,Copainalá Zoque,9,526.0
cube1242,Cubeo,13,192.0
dadi1250,Dadibi,13,1267.0
dagb1246,Dagbani,9,181.0
daha1245,Dahalo,9,20.0
dalo1238,Daloa Bété,17,234.0
dang1274,Dangaleat,11,459.0
dann1241,Dan,23,324.0
darf1239,Dar Fur Daju,11,609.0
daur1238,Dagur,11,167.0
dawr1236,Dawro,9,1936.0
dera1245,Dera (Indonesia),8,332.0
dera1248,Dera (Nigeria),16,195.0
dhuw1249,Dhuwal,10,99.0
dier1241,Dieri,12,19.0
dizi1235,Dizin,10,2094.0
doya1240,Doyayo,16,309.0
dyir1250,Dyirbal,8,858.0
east1436,Eastern Pahari,14,3212.0
east2328,Eastern Mari,12,45.0
east2347,Eastern Tamang,14,1864.0
east2379,Eastern Arrernte,12,720.0
east2516,East Kewa,9,1942.0
east2542,Eastern Ojibwa,12,213.0
efik1245,Efik,9,25.0
egyp1253,Egyptian Arabic,12,6.0
ejag1239,Ejagham,10,220.0
ekar1243,Ekari,7,1658.0
enap1235,Panare,16,52.0
epen1239,Epena,18,22.0
even1260,Even,14,0.0
ewee1241,Ewe,18,114.0
ewon1239,Ewondo,11,593.0
eyak1241,Eyak,16,0.0
fasu1242,Fasu,13,217.0
fefe1239,Fe'fe',9,1444.0
fiji1243,Fijian,15,151.0
finn1318,Finnish,11,66.0
fuln1247,Fulniô,14,391.0
furr1244,Fur,15,874.0
fwai1237,Fwâi,18,126.0
gaaa1244,Ga,17,94.0
gaam1241,Gaam,13,898.0
gads1258,Gadsup,7,1311.0
gali1262,Galibi Carib,9,6.0
gara1269,Garrwa,10,205.0
gbag1258,Gbagyi,10,261.0
gbay1287,Gbaya-Bossangoa,17,476.0
gily1242,Nivkh,12,365.0
gras1249,Grass Koiari,6,767.0
guah1255,Guahibo,15,88.0
guam1248,Guambiano,11,1725.0
guer1243,Guerrero Amuzgo,17,378.0
hadz1240,Hadza,8,1277.0
haka1240,Haka Chin,12,896.0
hakk1236,Hakka Chinese,8,365.0
halh1238,Halh Mongolian,16,1305.0
hame1242,Hamer-Banna,14,1012.0
haus1257,Hausa,13,600.0
hawa1245,Hawaiian,7,2020.0
hind1269,Hindi,27,416.0
hixk1239,Hixkaryána,9,341.0
hopi1249,Hopi,9,1713.0
huas1242,Huastec,8,69.0
hung1274,Hungarian,18,110.0
hupa1239,Hupa,10,123.0
iaai1238,Iaai,20,21.0
iban1264,Iban,10,121.0
igna1246,Ignaciano,8,159.0
ikkk1242,Ik,17,1739.0
indo1317,Indonesian Bajau,10,37.0
iran1263,Irántxe-Münkü,22,403.0
iraq1241,Iraqw,16,1767.0
irar1238,Irarutu,9,65.0
iris1253,Irish,36,88.0
isla1278,Island Carib,15,758.0
isok1239,Isoko,15,16.0
itel1242,West Itelmen,7,124.0
iton1250,Itonama,10,169.0
iumi1238,Iu Mien,13,1299.0
ivat1242,Itbayat,8,97.0
iwam1256,Iwam,9,26.0
izon1238,Izon,22,5.0
japr1238,Japrería,14,859.0
jaqa1244,Jaqaru,8,2766.0
java1254,Javanese,12,112.0
jebe1250,Jebero,11,242.0
jola1263,Jola-Fonyi,14,31.0
juho1239,South-Eastern Ju,49,1161.0
kaba1278,Kabardian,10,1234.0
kach1280,Southern Jinghpaw,9,147.0
kafa1242,Kafa,9,1743.0
kain1272,Kaingang,17,662.0
kala1377,Kala Lagaw Ya,10,137.0
kala1399,Kalaallisut,4,0.0
kalk1246,Kalkutung,11,435.0
kama1365,Kamang,16,839.0
karo1304,Karok,14,676.0
kash1277,Kashmiri,32,1623.0
katc1249,Katcha-Kadugli-Miri,9,473.0
kawa1283,Kawaiisu,10,1560.0
kekc1242,Kekchí,8,28.0
kera1255,Kera,10,328.0
kett1243,Ket,9,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,19,54.0
khar1287,Kharia,10,376.0
khas1269,Khasi,12,38.0
khmu1256,Khmu,24,953.0
kiow1266,Kiowa,21,450.0
kirg1245,Kirghiz,11,3699.0
klam1254,Klamath-Modoc,12,1299.0
klao1243,Klao,17,66.0
koho1244,Koho,13,871.0
kohu1244,Kohumono,13,23.0
komi1268,Komi-Zyrian,11,125.0
komo1258,Komo (Sudan),12,767.0
konk1267,Maharashtrian Konkani,23,723.0
kore1280,Korean,14,154.0
kory1246,Koryak,9,0.0
kota1263,Kota (India),10,1456.0
koya1251,Koya,9,111.0
koyr1242,Koyraboro Senni Songhai,13,261.0
kpan1246,Kpan,13,139.0
kuku1273,Kuku-Yalanji,8,236.0
kumi1248,Tipai,15,297.0
kuna1268,Kunama,11,1058.0
kuni1267,Kunimaipa,8,1857.0
kups1238,Kupsabiny,17,2719.0
kuru1302,Kurukh,16,284.0
kwai1243,Kwaio,7,564.0
kwak1269,Kwak'wala,12,112.0
kwom1262,Kwoma,10,31.0
lahu1253,Lahu,12,1476.0
lakk1238,Lakkia,29,767.0
lakk1252,Lak,13,2018.0
lako1247,Lakota,11,834.0
lave1249,Brao,13,581.0
lele1264,Lelemi,15,519.0
lena1238,Lenakel,10,219.0
libe1247,Liberia Kpelle,15,285.0
lish1246,Lishán Didán,19,1635.0
lith1251,Lithuanian,21,54.0
lowe1415,Lower Grand Valley Dani,15,2969.0
lugb1240,Lugbara,16,1225.0
luis1253,Luiseno,9,742.0
luok1236,Luo (Kenya and Tanzania),13,1467.0
lush1252,Northern Lushootseed,6,92.0
lusi1240,Lusi,8,92.0
luuu1242,Lü,11,1101.0
maba1277,Maba (Chad),11,509.0
manc1252,Manchu,10,187.0
mand1415,Mandarin Chinese,11,88.0
mapu1245,Mapudungun,11,1538.0
mara1404,Maranao,6,969.0
marg1265,Marghi Central,8,426.0
masa1300,Masai,14,1187.0
maun1240,Mawng,11,28.0
maxa1247,Maxakalí,10,294.0
mbaa1245,Mba,10,456.0
mbab1239,Mbabaram,9,341.0
mbum1254,Mbum,12,830.0
mind1253,Min Dong Chinese,8,6.0
minn1241,Min Nan Chinese,6,35.0
mode1248,Modern Greek,8,190.0
mogh1245,Mogholi,9,942.0
morb1239,Mor (Bomberai Peninsula),8,27.0
moro1285,Moro,12,745.0
movi1243,Movima,9,146.0
muin1242,Muinane,8,177.0
