,language,back,elevation
abip1241,Abipon,4,65.0
acat1239,Acatepec Me'phaa,5,504.0
ache1246,Aché,4,158.0
achu1247,Achumawi,5,1258.0
adze1240,Adzera,4,207.0
afad1236,Afade,6,293.0
aghe1239,Aghem,6,1047.0
ahte1237,Ahtena,8,0.0
aika1237,Aikanã,3,520.0
ainu1240,Hokkaido Ainu,3,216.0
akan1250,Akan,6,166.0
akaw1239,Akawaio,3,970.0
alab1237,Alabama,2,89.0
alam1246,Alamblak,3,77.0
alaw1244,Alawa,2,147.0
aleu1260,Aleut,6,82.0
alla1248,Alladian,5,14.0
amah1246,Amahuaca,5,429.0
amas1236,Ama (Sudan),4,697.0
amel1241,Amele,3,161.0
amha1245,Amharic,3,3440.0
amoo1242,Amo,5,784.0
ando1256,Andoque,5,181.0
anga1290,Angaataha,3,1709.0
anta1253,Antakarinya,2,178.0
aona1235,Ao Naga,4,605.0
apin1244,Apinayé,10,229.0
apro1235,Aproumu Aizi,5,24.0
apuc1241,Apucikwar,4,58.0
arab1268,Arabela,3,182.0
arch1244,Archi,29,1822.0
asha1243,Asháninka,1,497.0
atay1247,Atayal,6,1882.0
avar1256,Avar,9,646.0
awng1244,Awngi,7,2024.0
baat1238,Baatonum,6,379.0
baka1277,Bakairí,5,428.0
bamb1269,Bambara,7,386.0
bard1255,Bardi,4,46.0
bash1264,Bashkir,8,231.0
basq1248,Basque,3,362.0
bata1289,Batak Toba,4,948.0
bats1242,Bats,12,1048.0
beem1239,Beembe,4,358.0
beja1238,Beja,3,348.0
bell1243,Bella Coola,8,852.0
beng1280,Bengali,6,8.0
bero1242,Berom,4,1221.0
bert1248,Berta,3,897.0
biss1248,Bissa,4,263.0
bodo1269,Bodo-Mech,2,114.0
bord1248,Border Kuna,3,460.0
boro1282,Bororo,3,180.0
bouy1240,Bouyei,4,774.0
brah1256,Brahui,4,1328.0
bret1244,Breton,8,143.0
brib1243,Bribri,5,706.0
bulg1262,Bulgarian,2,98.0
bura1267,Burarra,3,36.0
buru1296,Burushaski,7,3309.0
cacu1241,Kakua,4,155.0
cadd1256,Caddo,2,377.0
came1252,Donga Mambila,4,781.0
cams1241,Camsá,3,2387.0
carn1240,Car Nicobarese,6,30.0
cayu1262,Cayubaba,7,141.0
ceba1235,Cebaara Senoufo,6,390.0
cent1973,Central Pashto,6,1057.0
cent1989,Central Khmer,10,26.0
cent2004,Central Bai,5,3046.0
cent2050,Central Kanuri,3,314.0
cent2128,Central Siberian Yupik,7,0.0
cent2144,Central Mazahua,8,2941.0
chac1249,Cha'palaa,3,122.0
cham1312,Chamorro,4,69.0
cher1273,Cherokee,3,1159.0
chip1261,Chipewyan,5,258.0
chiq1250,Chiquihuitlán Mazatec,2,1897.0
chua1250,Chuave,3,2050.0
chua1256,Chuanqiandian Cluster Miao,8,1077.0
chuk1273,Chukchi,4,0.0
chuv1255,Chuvash,6,95.0
cofa1242,Cofán,3,342.0
copa1236,Copainalá Zoque,3,526.0
cube1242,Cubeo,4,192.0
dadi1250,Dadibi,5,1267.0
dagb1246,Dagbani,3,181.0
daha1245,Dahalo,5,20.0
dalo1238,Daloa Bété,6,234.0
dang1274,Dangaleat,4,459.0
dann1241,Dan,8,324.0
darf1239,Dar Fur Daju,4,609.0
daur1238,Dagur,3,167.0
dawr1236,Dawro,3,1936.0
dera1245,Dera (Indonesia),3,332.0
dera1248,Dera (Nigeria),6,195.0
dhuw1249,Dhuwal,2,99.0
dier1241,Dieri,2,19.0
dizi1235,Dizin,3,2094.0
doya1240,Doyayo,6,309.0
dyir1250,Dyirbal,2,858.0
east1436,Eastern Pahari,4,3212.0
east2328,Eastern Mari,3,45.0
east2347,Eastern Tamang,5,1864.0
east2379,Eastern Arrernte,3,720.0
east2516,East Kewa,3,1942.0
east2542,Eastern Ojibwa,3,213.0
efik1245,Efik,4,25.0
egyp1253,Egyptian Arabic,9,6.0
ejag1239,Ejagham,4,220.0
ekar1243,Ekari,3,1658.0
enap1235,Panare,7,52.0
epen1239,Epena,4,22.0
even1260,Even,5,0.0
ewee1241,Ewe,9,114.0
ewon1239,Ewondo,4,593.0
eyak1241,Eyak,12,0.0
fasu1242,Fasu,5,217.0
fefe1239,Fe'fe',6,1444.0
fiji1243,Fijian,4,151.0
finn1318,Finnish,2,66.0
fuln1247,Fulniô,5,391.0
furr1244,Fur,5,874.0
fwai1237,Fwâi,5,126.0
gaaa1244,Ga,6,94.0
gaam1241,Gaam,4,898.0
gads1258,Gadsup,2,1311.0
gali1262,Galibi Carib,4,6.0
gara1269,Garrwa,2,205.0
gbag1258,Gbagyi,3,261.0
gbay1287,Gbaya-Bossangoa,6,476.0
gily1242,Nivkh,8,365.0
gras1249,Grass Koiari,2,767.0
guah1255,Guahibo,4,88.0
guam1248,Guambiano,2,1725.0
guer1243,Guerrero Amuzgo,6,378.0
hadz1240,Hadza,3,1277.0
haka1240,Haka Chin,6,896.0
hakk1236,Hakka Chinese,3,365.0
halh1238,Halh Mongolian,3,1305.0
hame1242,Hamer-Banna,7,1012.0
haus1257,Hausa,3,600.0
hawa1245,Hawaiian,3,2020.0
hind1269,Hindi,11,416.0
hixk1239,Hixkaryána,4,341.0
hopi1249,Hopi,5,1713.0
huas1242,Huastec,2,69.0
hung1274,Hungarian,6,110.0
hupa1239,Hupa,5,123.0
iaai1238,Iaai,8,21.0
iban1264,Iban,3,121.0
igna1246,Ignaciano,2,159.0
ikkk1242,Ik,6,1739.0
indo1317,Indonesian Bajau,3,37.0
iran1263,Irántxe-Münkü,6,403.0
iraq1241,Iraqw,10,1767.0
irar1238,Irarutu,4,65.0
iris1253,Irish,11,88.0
isla1278,Island Carib,5,758.0
isok1239,Isoko,4,16.0
itel1242,West Itelmen,5,124.0
iton1250,Itonama,3,169.0
iumi1238,Iu Mien,5,1299.0
ivat1242,Itbayat,2,97.0
iwam1256,Iwam,3,26.0
izon1238,Izon,9,5.0
japr1238,Japrería,4,859.0
jaqa1244,Jaqaru,5,2766.0
java1254,Javanese,4,112.0
jebe1250,Jebero,2,242.0
jola1263,Jola-Fonyi,5,31.0
juho1239,South-Eastern Ju,12,1161.0
kaba1278,Kabardian,13,1234.0
kach1280,Southern Jinghpaw,3,147.0
kafa1242,Kafa,3,1743.0
kain1272,Kaingang,5,662.0
kala1377,Kala Lagaw Ya,3,137.0
kala1399,Kalaallisut,4,0.0
kalk1246,Kalkutung,2,435.0
kama1365,Kamang,4,839.0
karo1304,Karok,3,676.0
kash1277,Kashmiri,10,1623.0
katc1249,Katcha-Kadugli-Miri,3,473.0
kawa1283,Kawaiisu,4,1560.0
kekc1242,Kekchí,5,28.0
kera1255,Kera,3,328.0
kett1243,Ket,3,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,6,54.0
khar1287,Kharia,3,376.0
khas1269,Khasi,4,38.0
khmu1256,Khmu,7,953.0
kiow1266,Kiowa,6,450.0
kirg1245,Kirghiz,5,3699.0
klam1254,Klamath-Modoc,7,1299.0
klao1243,Klao,8,66.0
koho1244,Koho,7,871.0
kohu1244,Kohumono,5,23.0
komi1268,Komi-Zyrian,3,125.0
komo1258,Komo (Sudan),4,767.0
konk1267,Maharashtrian Konkani,7,723.0
kore1280,Korean,5,154.0
kory1246,Koryak,3,0.0
kota1263,Kota (India),2,1456.0
koya1251,Koya,2,111.0
koyr1242,Koyraboro Senni Songhai,5,261.0
kpan1246,Kpan,5,139.0
kuku1273,Kuku-Yalanji,2,236.0
kumi1248,Tipai,6,297.0
kuna1268,Kunama,4,1058.0
kuni1267,Kunimaipa,3,1857.0
kups1238,Kupsabiny,4,2719.0
kuru1302,Kurukh,6,284.0
kwai1243,Kwaio,3,564.0
kwak1269,Kwak'wala,12,112.0
kwom1262,Kwoma,3,31.0
