,language,consonantal,elevation
abip1241,Abipon,12,65.0
acat1239,Acatepec Me'phaa,17,504.0
ache1246,Aché,11,158.0
achu1247,Achumawi,14,1258.0
adze1240,Adzera,15,207.0
afad1236,Afade,24,293.0
aghe1239,Aghem,23,1047.0
ahte1237,Ahtena,26,0.0
aika1237,Aikanã,19,520.0
ainu1240,Hokkaido Ainu,8,216.0
akan1250,Akan,18,166.0
akaw1239,Akawaio,11,970.0
alab1237,Alabama,11,89.0
alam1246,Alamblak,16,77.0
alaw1244,Alawa,19,147.0
aleu1260,Aleut,19,82.0
alla1248,Alladian,21,14.0
amah1246,Amahuaca,11,429.0
amas1236,Ama (Sudan),16,697.0
amel1241,Amele,13,161.0
amha1245,Amharic,26,3440.0
amoo1242,Amo,22,784.0
ando1256,Andoque,10,181.0
anga1290,Angaataha,10,1709.0
anta1253,Antakarinya,15,178.0
aona1235,Ao Naga,12,605.0
apin1244,Apinayé,13,229.0
apro1235,Aproumu Aizi,22,24.0
apuc1241,Apucikwar,13,58.0
arab1268,Arabela,8,182.0
arch1244,Archi,78,1822.0
asha1243,Asháninka,13,497.0
atay1247,Atayal,17,1882.0
avar1256,Avar,41,646.0
awng1244,Awngi,26,2024.0
baat1238,Baatonum,15,379.0
baka1277,Bakairí,14,428.0
bamb1269,Bambara,18,386.0
bard1255,Bardi,15,46.0
bash1264,Bashkir,24,231.0
basq1248,Basque,23,362.0
bata1289,Batak Toba,13,948.0
bats1242,Bats,33,1048.0
beem1239,Beembe,15,358.0
beja1238,Beja,18,348.0
bell1243,Bella Coola,25,852.0
beng1280,Bengali,28,8.0
bero1242,Berom,19,1221.0
bert1248,Berta,21,897.0
biss1248,Bissa,16,263.0
bodo1269,Bodo-Mech,13,114.0
bord1248,Border Kuna,14,460.0
boro1282,Bororo,11,180.0
bouy1240,Bouyei,20,774.0
brah1256,Brahui,23,1328.0
bret1244,Breton,22,143.0
brib1243,Bribri,16,706.0
bulg1262,Bulgarian,35,98.0
bura1267,Burarra,14,36.0
buru1296,Burushaski,35,3309.0
cacu1241,Kakua,9,155.0
cadd1256,Caddo,17,377.0
came1252,Donga Mambila,16,781.0
cams1241,Camsá,20,2387.0
carn1240,Car Nicobarese,13,30.0
cayu1262,Cayubaba,14,141.0
ceba1235,Cebaara Senoufo,22,390.0
cent1973,Central Pashto,28,1057.0
cent1989,Central Khmer,18,26.0
cent2004,Central Bai,17,3046.0
cent2050,Central Kanuri,20,314.0
cent2128,Central Siberian Yupik,28,0.0
cent2144,Central Mazahua,38,2941.0
chac1249,Cha'palaa,21,122.0
cham1312,Chamorro,17,69.0
cher1273,Cherokee,8,1159.0
chip1261,Chipewyan,36,258.0
chiq1250,Chiquihuitlán Mazatec,23,1897.0
chua1250,Chuave,10,2050.0
chua1256,Chuanqiandian Cluster Miao,44,1077.0
chuk1273,Chukchi,13,0.0
chuv1255,Chuvash,19,95.0
cofa1242,Cofán,26,342.0
copa1236,Copainalá Zoque,13,526.0
cube1242,Cubeo,11,192.0
dadi1250,Dadibi,10,1267.0
dagb1246,Dagbani,21,181.0
daha1245,Dahalo,51,20.0
dalo1238,Daloa Bété,21,234.0
dang1274,Dangaleat,19,459.0
dann1241,Dan,17,324.0
darf1239,Dar Fur Daju,21,609.0
daur1238,Dagur,20,167.0
dawr1236,Dawro,21,1936.0
dera1245,Dera (Indonesia),9,332.0
dera1248,Dera (Nigeria),20,195.0
dhuw1249,Dhuwal,18,99.0
dier1241,Dieri,20,19.0
dizi1235,Dizin,21,2094.0
doya1240,Doyayo,19,309.0
dyir1250,Dyirbal,11,858.0
east1436,Eastern Pahari,26,3212.0
east2328,Eastern Mari,24,45.0
east2347,Eastern Tamang,16,1864.0
east2379,Eastern Arrernte,24,720.0
east2516,East Kewa,13,1942.0
east2542,Eastern Ojibwa,16,213.0
efik1245,Efik,11,25.0
egyp1253,Egyptian Arabic,24,6.0
ejag1239,Ejagham,18,220.0
ekar1243,Ekari,8,1658.0
enap1235,Panare,10,52.0
epen1239,Epena,14,22.0
even1260,Even,15,0.0
ewee1241,Ewe,24,114.0
ewon1239,Ewondo,24,593.0
eyak1241,Eyak,29,0.0
fasu1242,Fasu,8,217.0
fefe1239,Fe'fe',15,1444.0
fiji1243,Fijian,17,151.0
finn1318,Finnish,15,66.0
fuln1247,Fulniô,17,391.0
furr1244,Fur,16,874.0
fwai1237,Fwâi,17,126.0
gaaa1244,Ga,25,94.0
gaam1241,Gaam,21,898.0
gads1258,Gadsup,8,1311.0
gali1262,Galibi Carib,13,6.0
gara1269,Garrwa,17,205.0
gbag1258,Gbagyi,17,261.0
gbay1287,Gbaya-Bossangoa,28,476.0
gily1242,Nivkh,25,365.0
gras1249,Grass Koiari,10,767.0
guah1255,Guahibo,15,88.0
guam1248,Guambiano,16,1725.0
guer1243,Guerrero Amuzgo,22,378.0
hadz1240,Hadza,54,1277.0
haka1240,Haka Chin,40,896.0
hakk1236,Hakka Chinese,14,365.0
halh1238,Halh Mongolian,20,1305.0
hame1242,Hamer-Banna,22,1012.0
haus1257,Hausa,27,600.0
hawa1245,Hawaiian,6,2020.0
hind1269,Hindi,37,416.0
hixk1239,Hixkaryána,15,341.0
hopi1249,Hopi,17,1713.0
huas1242,Huastec,18,69.0
hung1274,Hungarian,23,110.0
hupa1239,Hupa,24,123.0
iaai1238,Iaai,32,21.0
iban1264,Iban,16,121.0
igna1246,Ignaciano,18,159.0
ikkk1242,Ik,28,1739.0
indo1317,Indonesian Bajau,23,37.0
iran1263,Irántxe-Münkü,17,403.0
iraq1241,Iraqw,30,1767.0
irar1238,Irarutu,11,65.0
iris1253,Irish,42,88.0
isla1278,Island Carib,13,758.0
isok1239,Isoko,24,16.0
itel1242,West Itelmen,27,124.0
iton1250,Itonama,16,169.0
iumi1238,Iu Mien,28,1299.0
ivat1242,Itbayat,16,97.0
iwam1256,Iwam,8,26.0
izon1238,Izon,17,5.0
japr1238,Japrería,10,859.0
jaqa1244,Jaqaru,34,2766.0
java1254,Javanese,14,112.0
jebe1250,Jebero,16,242.0
jola1263,Jola-Fonyi,16,31.0
juho1239,South-Eastern Ju,92,1161.0
kaba1278,Kabardian,46,1234.0
kach1280,Southern Jinghpaw,22,147.0
kafa1242,Kafa,19,1743.0
kain1272,Kaingang,10,662.0
kala1377,Kala Lagaw Ya,16,137.0
kala1399,Kalaallisut,19,0.0
kalk1246,Kalkutung,18,435.0
kama1365,Kamang,13,839.0
karo1304,Karok,13,676.0
kash1277,Kashmiri,24,1623.0
katc1249,Katcha-Kadugli-Miri,20,473.0
kawa1283,Kawaiisu,21,1560.0
kekc1242,Kekchí,19,28.0
kera1255,Kera,21,328.0
kett1243,Ket,17,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,17,54.0
khar1287,Kharia,28,376.0
