,language,constrictedGlottis,elevation
acat1239,Acatepec Me'phaa,1,504
achu1247,Achumawi,1,1258
adze1240,Adzera,1,207
afad1236,Afade,5,293
aghe1239,Aghem,1,1047
ahte1237,Ahtena,5,0
aika1237,Aikanã,1,520
amah1246,Amahuaca,1,429
amel1241,Amele,1,161
amha1245,Amharic,5,3440
ando1256,Andoque,1,181
anga1290,Angaataha,1,1709
aona1235,Ao Naga,1,605
apin1244,Apinayé,1,229
arch1244,Archi,16,1822
atay1247,Atayal,1,1882
avar1256,Avar,9,646
bash1264,Bashkir,1,231
bats1242,Bats,7,1048
beja1238,Beja,1,348
bell1243,Bella Coola,8,852
bert1248,Berta,4,897
bouy1240,Bouyei,1,774
brah1256,Brahui,1,1328
cacu1241,Kakua,1,155
cadd1256,Caddo,5,377
ceba1235,Cebaara Senoufo,1,390
cent1989,Central Khmer,1,26
cent2050,Central Kanuri,1,314
cent2144,Central Mazahua,11,2941
chac1249,Cha'palaa,1,122
cham1312,Chamorro,1,69
cher1273,Cherokee,1,1159
chip1261,Chipewyan,7,258
chiq1250,Chiquihuitlán Mazatec,1,1897
chuk1273,Chukchi,1,0
cofa1242,Cofán,1,342
copa1236,Copainalá Zoque,1,526
daha1245,Dahalo,8,20
dawr1236,Dawro,4,1936
dera1248,Dera (Nigeria),2,195
dhuw1249,Dhuwal,1,99
dizi1235,Dizin,4,2094
east2542,Eastern Ojibwa,1,213
egyp1253,Egyptian Arabic,1,6
enap1235,Panare,1,52
epen1239,Epena,1,22
eyak1241,Eyak,6,0
fefe1239,Fe'fe',1,1444
fiji1243,Fijian,1,151
fuln1247,Fulniô,1,391
fwai1237,Fwâi,1,126
gaam1241,Gaam,1,898
gads1258,Gadsup,1,1311
gali1262,Galibi Carib,1,6
gbay1287,Gbaya-Bossangoa,3,476
guer1243,Guerrero Amuzgo,1,378
hadz1240,Hadza,6,1277
haka1240,Haka Chin,3,896
hame1242,Hamer-Banna,1,1012
haus1257,Hausa,6,600
hawa1245,Hawaiian,1,2020
hind1269,Hindi,1,416
hopi1249,Hopi,1,1713
huas1242,Huastec,6,69
hupa1239,Hupa,6,123
iban1264,Iban,1,121
igna1246,Ignaciano,1,159
ikkk1242,Ik,2,1739
indo1317,Indonesian Bajau,1,37
iran1263,Irántxe-Münkü,1,403
iraq1241,Iraqw,2,1767
itel1242,West Itelmen,6,124
iton1250,Itonama,4,169
iumi1238,Iu Mien,1,1299
japr1238,Japrería,1,859
jaqa1244,Jaqaru,8,2766
java1254,Javanese,1,112
jebe1250,Jebero,3,242
juho1239,South-Eastern Ju,10,1161
kaba1278,Kabardian,12,1234
kach1280,Southern Jinghpaw,1,147
kafa1242,Kafa,5,1743
kain1272,Kaingang,1,662
karo1304,Karok,1,676
kawa1283,Kawaiisu,1,1560
kekc1242,Kekchí,7,28
kera1255,Kera,3,328
kett1243,Ket,1,176
khas1269,Khasi,1,38
khmu1256,Khmu,3,953
kiow1266,Kiowa,5,450
klam1254,Klamath-Modoc,11,1299
koho1244,Koho,1,871
komo1258,Komo (Sudan),5,767
kore1280,Korean,5,154
kory1246,Koryak,1,0
kumi1248,Tipai,1,297
kuru1302,Kurukh,1,284
kwai1243,Kwaio,1,564
kwak1269,Kwak'wala,13,112
kwom1262,Kwoma,1,31
lahu1253,Lahu,1,1476
lakk1238,Lakkia,2,767
lakk1252,Lak,11,2018
lako1247,Lakota,7,834
lave1249,Brao,1,581
lish1246,Lishán Didán,1,1635
lowe1415,Lower Grand Valley Dani,1,2969
lugb1240,Lugbara,5,1225
luis1253,Luiseno,1,742
