,language,continuant,elevation
abip1241,Abipon,12,65.0
acat1239,Acatepec Me'phaa,18,504.0
ache1246,Aché,12,158.0
achu1247,Achumawi,15,1258.0
adze1240,Adzera,13,207.0
afad1236,Afade,18,293.0
aghe1239,Aghem,17,1047.0
ahte1237,Ahtena,15,0.0
aika1237,Aikanã,18,520.0
ainu1240,Hokkaido Ainu,10,216.0
akan1250,Akan,21,166.0
akaw1239,Akawaio,15,970.0
alab1237,Alabama,10,89.0
alam1246,Alamblak,14,77.0
alaw1244,Alawa,11,147.0
aleu1260,Aleut,17,82.0
alla1248,Alladian,23,14.0
amah1246,Amahuaca,15,429.0
amas1236,Ama (Sudan),13,697.0
amel1241,Amele,11,161.0
amha1245,Amharic,19,3440.0
amoo1242,Amo,20,784.0
ando1256,Andoque,18,181.0
anga1290,Angaataha,12,1709.0
anta1253,Antakarinya,10,178.0
aona1235,Ao Naga,12,605.0
apin1244,Apinayé,21,229.0
apro1235,Aproumu Aizi,18,24.0
apuc1241,Apucikwar,12,58.0
arab1268,Arabela,13,182.0
arch1244,Archi,46,1822.0
asha1243,Asháninka,10,497.0
atay1247,Atayal,17,1882.0
avar1256,Avar,23,646.0
awng1244,Awngi,15,2024.0
baat1238,Baatonum,20,379.0
baka1277,Bakairí,21,428.0
bamb1269,Bambara,23,386.0
bard1255,Bardi,14,46.0
bash1264,Bashkir,25,231.0
basq1248,Basque,14,362.0
bata1289,Batak Toba,11,948.0
bats1242,Bats,24,1048.0
beem1239,Beembe,15,358.0
beja1238,Beja,13,348.0
bell1243,Bella Coola,13,852.0
beng1280,Bengali,20,8.0
bero1242,Berom,16,1221.0
bert1248,Berta,15,897.0
biss1248,Bissa,14,263.0
bodo1269,Bodo-Mech,12,114.0
bord1248,Border Kuna,10,460.0
boro1282,Bororo,10,180.0
bouy1240,Bouyei,19,774.0
brah1256,Brahui,20,1328.0
bret1244,Breton,33,143.0
brib1243,Bribri,16,706.0
bulg1262,Bulgarian,22,98.0
bura1267,Burarra,11,36.0
buru1296,Burushaski,18,3309.0
cacu1241,Kakua,14,155.0
cadd1256,Caddo,8,377.0
came1252,Donga Mambila,12,781.0
cams1241,Camsá,16,2387.0
carn1240,Car Nicobarese,17,30.0
cayu1262,Cayubaba,23,141.0
ceba1235,Cebaara Senoufo,21,390.0
cent1973,Central Pashto,23,1057.0
cent1989,Central Khmer,27,26.0
cent2004,Central Bai,18,3046.0
cent2050,Central Kanuri,17,314.0
cent2128,Central Siberian Yupik,22,0.0
cent2144,Central Mazahua,30,2941.0
chac1249,Cha'palaa,13,122.0
cham1312,Chamorro,13,69.0
cher1273,Cherokee,11,1159.0
chip1261,Chipewyan,28,258.0
chiq1250,Chiquihuitlán Mazatec,17,1897.0
chua1250,Chuave,10,2050.0
chua1256,Chuanqiandian Cluster Miao,21,1077.0
chuk1273,Chukchi,13,0.0
chuv1255,Chuvash,20,95.0
cofa1242,Cofán,16,342.0
copa1236,Copainalá Zoque,11,526.0
cube1242,Cubeo,16,192.0
dadi1250,Dadibi,15,1267.0
dagb1246,Dagbani,14,181.0
daha1245,Dahalo,19,20.0
dalo1238,Daloa Bété,21,234.0
dang1274,Dangaleat,13,459.0
dann1241,Dan,27,324.0
darf1239,Dar Fur Daju,15,609.0
daur1238,Dagur,16,167.0
dawr1236,Dawro,14,1936.0
dera1245,Dera (Indonesia),8,332.0
dera1248,Dera (Nigeria),18,195.0
dhuw1249,Dhuwal,10,99.0
dier1241,Dieri,12,19.0
dizi1235,Dizin,17,2094.0
doya1240,Doyayo,21,309.0
dyir1250,Dyirbal,8,858.0
east1436,Eastern Pahari,16,3212.0
east2328,Eastern Mari,22,45.0
east2347,Eastern Tamang,16,1864.0
east2379,Eastern Arrernte,12,720.0
east2516,East Kewa,12,1942.0
east2542,Eastern Ojibwa,16,213.0
efik1245,Efik,11,25.0
egyp1253,Egyptian Arabic,23,6.0
ejag1239,Ejagham,13,220.0
ekar1243,Ekari,7,1658.0
enap1235,Panare,16,52.0
epen1239,Epena,20,22.0
even1260,Even,15,0.0
ewee1241,Ewe,26,114.0
ewon1239,Ewondo,15,593.0
eyak1241,Eyak,23,0.0
fasu1242,Fasu,16,217.0
fefe1239,Fe'fe',14,1444.0
fiji1243,Fijian,19,151.0
finn1318,Finnish,16,66.0
fuln1247,Fulniô,15,391.0
furr1244,Fur,19,874.0
fwai1237,Fwâi,23,126.0
gaaa1244,Ga,24,94.0
gaam1241,Gaam,20,898.0
gads1258,Gadsup,8,1311.0
gali1262,Galibi Carib,12,6.0
gara1269,Garrwa,10,205.0
gbag1258,Gbagyi,15,261.0
gbay1287,Gbaya-Bossangoa,22,476.0
gily1242,Nivkh,21,365.0
gras1249,Grass Koiari,9,767.0
guah1255,Guahibo,20,88.0
guam1248,Guambiano,14,1725.0
guer1243,Guerrero Amuzgo,21,378.0
hadz1240,Hadza,13,1277.0
haka1240,Haka Chin,25,896.0
hakk1236,Hakka Chinese,11,365.0
halh1238,Halh Mongolian,21,1305.0
hame1242,Hamer-Banna,18,1012.0
haus1257,Hausa,19,600.0
hawa1245,Hawaiian,8,2020.0
hind1269,Hindi,35,416.0
hixk1239,Hixkaryána,13,341.0
hopi1249,Hopi,14,1713.0
huas1242,Huastec,12,69.0
hung1274,Hungarian,25,110.0
hupa1239,Hupa,16,123.0
iaai1238,Iaai,30,21.0
iban1264,Iban,12,121.0
igna1246,Ignaciano,13,159.0
ikkk1242,Ik,23,1739.0
indo1317,Indonesian Bajau,12,37.0
iran1263,Irántxe-Münkü,26,403.0
iraq1241,Iraqw,25,1767.0
irar1238,Irarutu,12,65.0
iris1253,Irish,45,88.0
isla1278,Island Carib,18,758.0
isok1239,Isoko,23,16.0
itel1242,West Itelmen,17,124.0
iton1250,Itonama,12,169.0
iumi1238,Iu Mien,17,1299.0
ivat1242,Itbayat,11,97.0
iwam1256,Iwam,11,26.0
izon1238,Izon,26,5.0
japr1238,Japrería,16,859.0
jaqa1244,Jaqaru,11,2766.0
java1254,Javanese,14,112.0
jebe1250,Jebero,13,242.0
jola1263,Jola-Fonyi,17,31.0
juho1239,South-Eastern Ju,55,1161.0
kaba1278,Kabardian,33,1234.0
kach1280,Southern Jinghpaw,12,147.0
kafa1242,Kafa,12,1743.0
kain1272,Kaingang,19,662.0
kala1377,Kala Lagaw Ya,12,137.0
kala1399,Kalaallisut,14,0.0
kalk1246,Kalkutung,11,435.0
kama1365,Kamang,19,839.0
karo1304,Karok,20,676.0
kash1277,Kashmiri,35,1623.0
katc1249,Katcha-Kadugli-Miri,11,473.0
kawa1283,Kawaiisu,19,1560.0
kekc1242,Kekchí,11,28.0
kera1255,Kera,15,328.0
kett1243,Ket,13,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,22,54.0
khar1287,Kharia,12,376.0
khas1269,Khasi,15,38.0
khmu1256,Khmu,26,953.0
kiow1266,Kiowa,24,450.0
kirg1245,Kirghiz,17,3699.0
klam1254,Klamath-Modoc,15,1299.0
klao1243,Klao,19,66.0
koho1244,Koho,15,871.0
kohu1244,Kohumono,19,23.0
komi1268,Komi-Zyrian,18,125.0
komo1258,Komo (Sudan),16,767.0
konk1267,Maharashtrian Konkani,26,723.0
kore1280,Korean,17,154.0
kory1246,Koryak,12,0.0
kota1263,Kota (India),12,1456.0
koya1251,Koya,11,111.0
koyr1242,Koyraboro Senni Songhai,16,261.0
kpan1246,Kpan,21,139.0
kuku1273,Kuku-Yalanji,8,236.0
kumi1248,Tipai,22,297.0
kuna1268,Kunama,15,1058.0
kuni1267,Kunimaipa,10,1857.0
kups1238,Kupsabiny,18,2719.0
kuru1302,Kurukh,19,284.0
kwai1243,Kwaio,11,564.0
kwak1269,Kwak'wala,19,112.0
kwom1262,Kwoma,16,31.0
lahu1253,Lahu,17,1476.0
lakk1238,Lakkia,33,767.0
lakk1252,Lak,31,2018.0
lako1247,Lakota,21,834.0
lave1249,Brao,16,581.0
lele1264,Lelemi,19,519.0
lena1238,Lenakel,13,219.0
libe1247,Liberia Kpelle,20,285.0
lish1246,Lishán Didán,28,1635.0
lith1251,Lithuanian,31,54.0
lowe1415,Lower Grand Valley Dani,17,2969.0
lugb1240,Lugbara,21,1225.0
luis1253,Luiseno,15,742.0
luok1236,Luo (Kenya and Tanzania),17,1467.0
lush1252,Northern Lushootseed,13,92.0
