Glottocode,language,coronal,elevation
abip1241,Abipon,6,65
acat1239,Acatepec Me'phaa,10,504
ache1246,Aché,5,158
achu1247,Achumawi,7,1258
adze1240,Adzera,7,207
afad1236,Afade,12,293
aghe1239,Aghem,11,1047
ahte1237,Ahtena,14,0
aika1237,Aikanã,12,520
ainu1240,Hokkaido Ainu,5,216
akan1250,Akan,12,166
akaw1239,Akawaio,6,970
alab1237,Alabama,6,89
alam1246,Alamblak,9,77
alaw1244,Alawa,14,147
aleu1260,Aleut,9,82
alla1248,Alladian,12,14
amah1246,Amahuaca,6,429
amas1236,Ama (Sudan),11,697
amel1241,Amele,6,161
amha1245,Amharic,15,3440
amoo1242,Amo,12,784
ando1256,Andoque,5,181
anga1290,Angaataha,5,1709
anta1253,Antakarinya,11,178
aona1235,Ao Naga,7,605
apin1244,Apinayé,7,229
apro1235,Aproumu Aizi,11,24
apuc1241,Apucikwar,8,58
arab1268,Arabela,5,182
arch1244,Archi,40,1822
asha1243,Asháninka,9,497
atay1247,Atayal,7,1882
avar1256,Avar,24,646
awng1244,Awngi,12,2024
baat1238,Baatonum,7,379
baka1277,Bakairí,9,428
bamb1269,Bambara,11,386
bard1255,Bardi,11,46
bash1264,Bashkir,12,231
basq1248,Basque,16,362
bata1289,Batak Toba,6,948
bats1242,Bats,17,1048
beem1239,Beembe,7,358
beja1238,Beja,10,348
bell1243,Bella Coola,12,852
beng1280,Bengali,18,8
bero1242,Berom,9,1221
bert1248,Berta,11,897
biss1248,Bissa,8,263
bodo1269,Bodo-Mech,7,114
bord1248,Border Kuna,7,460
boro1282,Bororo,6,180
bouy1240,Bouyei,11,774
brah1256,Brahui,13,1328
bret1244,Breton,12,143
brib1243,Bribri,10,706
bulg1262,Bulgarian,20,98
bura1267,Burarra,10,36
buru1296,Burushaski,22,3309
cacu1241,Kakua,4,155
cadd1256,Caddo,10,377
came1252,Donga Mambila,8,781
cams1241,Camsá,13,2387
carn1240,Car Nicobarese,8,30
cayu1262,Cayubaba,9,141
ceba1235,Cebaara Senoufo,11,390
cent1973,Central Pashto,19,1057
cent1989,Central Khmer,10,26
cent2004,Central Bai,8,3046
cent2050,Central Kanuri,12,314
cent2128,Central Siberian Yupik,9,0
cent2144,Central Mazahua,23,2941
chac1249,Cha'palaa,13,122
cham1312,Chamorro,9,69
cher1273,Cherokee,5,1159
chip1261,Chipewyan,24,258
chiq1250,Chiquihuitlán Mazatec,15,1897
chua1250,Chuave,5,2050
chua1256,Chuanqiandian Cluster Miao,27,1077
chuk1273,Chukchi,6,0
chuv1255,Chuvash,12,95
cofa1242,Cofán,15,342
copa1236,Copainalá Zoque,6,526
cube1242,Cubeo,6,192
dadi1250,Dadibi,5,1267
dagb1246,Dagbani,10,181
daha1245,Dahalo,29,20
dalo1238,Daloa Bété,9,234
dang1274,Dangaleat,12,459
dann1241,Dan,7,324
darf1239,Dar Fur Daju,13,609
daur1238,Dagur,12,167
dawr1236,Dawro,14,1936
dera1245,Dera (Indonesia),3,332
dera1248,Dera (Nigeria),12,195
dhuw1249,Dhuwal,13,99
dier1241,Dieri,16,19
dizi1235,Dizin,14,2094
doya1240,Doyayo,8,309
dyir1250,Dyirbal,7,858
east1436,Eastern Pahari,16,3212
east2328,Eastern Mari,15,45
east2347,Eastern Tamang,10,1864
east2379,Eastern Arrernte,18,720
east2516,East Kewa,8,1942
east2542,Eastern Ojibwa,10,213
efik1245,Efik,5,25
egyp1253,Egyptian Arabic,13,6
ejag1239,Ejagham,8,220
ekar1243,Ekari,3,1658
enap1235,Panare,6,52
epen1239,Epena,7,22
even1260,Even,9,0
ewee1241,Ewe,10,114
ewon1239,Ewondo,11,593
eyak1241,Eyak,17,0
fasu1242,Fasu,4,217
fefe1239,Fe'fe',7,1444
fiji1243,Fijian,8,151
finn1318,Finnish,7,66
fuln1247,Fulniô,11,391
furr1244,Fur,9,874
fwai1237,Fwâi,8,126
gaaa1244,Ga,14,94
gaam1241,Gaam,13,898
gads1258,Gadsup,3,1311
gali1262,Galibi Carib,5,6
gara1269,Garrwa,13,205
gbag1258,Gbagyi,7,261
gbay1287,Gbaya-Bossangoa,10,476
gily1242,Nivkh,11,365
gras1249,Grass Koiari,5,767
guah1255,Guahibo,8,88
guam1248,Guambiano,12,1725
guer1243,Guerrero Amuzgo,13,378
hadz1240,Hadza,24,1277
haka1240,Haka Chin,18,896
hakk1236,Hakka Chinese,7,365
halh1238,Halh Mongolian,12,1305
hame1242,Hamer-Banna,13,1012
haus1257,Hausa,13,600
hawa1245,Hawaiian,2,2020
hind1269,Hindi,22,416
hixk1239,Hixkaryána,10,341
hopi1249,Hopi,6,1713
huas1242,Huastec,11,69
hung1274,Hungarian,16,110
hupa1239,Hupa,17,123
iaai1238,Iaai,18,21
iban1264,Iban,9,121
igna1246,Ignaciano,10,159
ikkk1242,Ik,18,1739
indo1317,Indonesian Bajau,13,37
iran1263,Irántxe-Münkü,8,403
iraq1241,Iraqw,12,1767
irar1238,Irarutu,6,65
iris1253,Irish,25,88
isla1278,Island Carib,7,758
isok1239,Isoko,12,16
itel1242,West Itelmen,13,124
iton1250,Itonama,10,169
iumi1238,Iu Mien,16,1299
ivat1242,Itbayat,9,97
iwam1256,Iwam,4,26
izon1238,Izon,7,5
japr1238,Japrería,5,859
jaqa1244,Jaqaru,22,2766
java1254,Javanese,8,112
jebe1250,Jebero,11,242
jola1263,Jola-Fonyi,9,31
juho1239,South-Eastern Ju,27,1161
kaba1278,Kabardian,18,1234
kach1280,Southern Jinghpaw,13,147
kafa1242,Kafa,10,1743
kain1272,Kaingang,5,662
kala1377,Kala Lagaw Ya,10,137
kala1399,Kalaallisut,8,0
kalk1246,Kalkutung,14,435
kama1365,Kamang,6,839
karo1304,Karok,7,676
kash1277,Kashmiri,17,1623
katc1249,Katcha-Kadugli-Miri,12,473
kawa1283,Kawaiisu,11,1560
kekc1242,Kekchí,10,28
kera1255,Kera,11,328
kett1243,Ket,11,176
khan1273,Kazym-Berezover-Suryskarer Khanty,12,54
khar1287,Kharia,18,376
khas1269,Khasi,10,38
khmu1256,Khmu,10,953
kiow1266,Kiowa,10,450
kirg1245,Kirghiz,10,3699
klam1254,Klamath-Modoc,13,1299
klao1243,Klao,5,66
koho1244,Koho,13,871
kohu1244,Kohumono,10,23
komi1268,Komi-Zyrian,19,125
komo1258,Komo (Sudan),10,767
konk1267,Maharashtrian Konkani,11,723
kore1280,Korean,10,154
kory1246,Koryak,7,0
kota1263,Kota (India),15,1456
koya1251,Koya,11,111
koyr1242,Koyraboro Senni Songhai,7,261
kpan1246,Kpan,10,139
kuku1273,Kuku-Yalanji,7,236
kumi1248,Tipai,14,297
kuna1268,Kunama,10,1058
kuni1267,Kunimaipa,7,1857
kups1238,Kupsabiny,8,2719
kuru1302,Kurukh,11,284
kwai1243,Kwaio,5,564
kwak1269,Kwak'wala,19,112
