,language,delayedRelease,elevation
abip1241,Abipon,4,65
acat1239,Acatepec Me'phaa,7,504
ache1246,Aché,3,158
achu1247,Achumawi,6,1258
adze1240,Adzera,5,207
afad1236,Afade,7,293
aghe1239,Aghem,9,1047
ahte1237,Ahtena,11,0
aika1237,Aikanã,9,520
ainu1240,Hokkaido Ainu,3,216
akan1250,Akan,8,166
akaw1239,Akawaio,2,970
alab1237,Alabama,5,89
alam1246,Alamblak,6,77
aleu1260,Aleut,11,82
alla1248,Alladian,7,14
amah1246,Amahuaca,5,429
amas1236,Ama (Sudan),1,697
amel1241,Amele,4,161
amha1245,Amharic,11,3440
amoo1242,Amo,9,784
ando1256,Andoque,4,181
anga1290,Angaataha,1,1709
aona1235,Ao Naga,4,605
apin1244,Apinayé,4,229
apro1235,Aproumu Aizi,6,24
apuc1241,Apucikwar,2,58
arab1268,Arabela,3,182
arch1244,Archi,52,1822
asha1243,Asháninka,6,497
atay1247,Atayal,7,1882
avar1256,Avar,26,646
awng1244,Awngi,8,2024
baat1238,Baatonum,4,379
baka1277,Bakairí,5,428
bamb1269,Bambara,7,386
bash1264,Bashkir,12,231
basq1248,Basque,8,362
bata1289,Batak Toba,3,948
bats1242,Bats,17,1048
beem1239,Beembe,8,358
beja1238,Beja,5,348
bell1243,Bella Coola,9,852
beng1280,Bengali,7,8
bero1242,Berom,5,1221
bert1248,Berta,7,897
biss1248,Bissa,4,263
bodo1269,Bodo-Mech,3,114
bord1248,Border Kuna,2,460
boro1282,Bororo,2,180
bouy1240,Bouyei,4,774
brah1256,Brahui,10,1328
bret1244,Breton,9,143
brib1243,Bribri,6,706
bulg1262,Bulgarian,15,98
buru1296,Burushaski,17,3309
cacu1241,Kakua,3,155
cadd1256,Caddo,7,377
came1252,Donga Mambila,6,781
cams1241,Camsá,8,2387
carn1240,Car Nicobarese,4,30
cayu1262,Cayubaba,6,141
ceba1235,Cebaara Senoufo,6,390
cent1973,Central Pashto,15,1057
cent1989,Central Khmer,2,26
cent2004,Central Bai,8,3046
cent2050,Central Kanuri,8,314
cent2128,Central Siberian Yupik,13,0
cent2144,Central Mazahua,14,2941
chac1249,Cha'palaa,6,122
cham1312,Chamorro,5,69
cher1273,Cherokee,3,1159
chip1261,Chipewyan,21,258
chiq1250,Chiquihuitlán Mazatec,12,1897
chua1250,Chuave,2,2050
chua1256,Chuanqiandian Cluster Miao,20,1077
chuk1273,Chukchi,5,0
chuv1255,Chuvash,9,95
cofa1242,Cofán,10,342
copa1236,Copainalá Zoque,3,526
cube1242,Cubeo,4,192
dadi1250,Dadibi,2,1267
dagb1246,Dagbani,7,181
daha1245,Dahalo,19,20
dalo1238,Daloa Bété,4,234
dang1274,Dangaleat,2,459
dann1241,Dan,4,324
darf1239,Dar Fur Daju,4,609
daur1238,Dagur,9,167
dawr1236,Dawro,9,1936
dera1248,Dera (Nigeria),2,195
dizi1235,Dizin,11,2094
doya1240,Doyayo,5,309
east1436,Eastern Pahari,6,3212
east2328,Eastern Mari,12,45
east2347,Eastern Tamang,6,1864
east2516,East Kewa,3,1942
east2542,Eastern Ojibwa,6,213
efik1245,Efik,2,25
egyp1253,Egyptian Arabic,12,6
ejag1239,Ejagham,3,220
enap1235,Panare,2,52
epen1239,Epena,3,22
even1260,Even,3,0
ewee1241,Ewe,10,114
ewon1239,Ewondo,10,593
eyak1241,Eyak,13,0
fasu1242,Fasu,3,217
fefe1239,Fe'fe',7,1444
fiji1243,Fijian,4,151
finn1318,Finnish,5,66
fuln1247,Fulniô,5,391
furr1244,Fur,5,874
fwai1237,Fwâi,7,126
gaaa1244,Ga,11,94
gaam1241,Gaam,7,898
gads1258,Gadsup,1,1311
gali1262,Galibi Carib,3,6
gbag1258,Gbagyi,5,261
gbay1287,Gbaya-Bossangoa,5,476
gily1242,Nivkh,9,365
gras1249,Grass Koiari,3,767
guah1255,Guahibo,6,88
guam1248,Guambiano,6,1725
guer1243,Guerrero Amuzgo,6,378
hadz1240,Hadza,19,1277
haka1240,Haka Chin,13,896
hakk1236,Hakka Chinese,5,365
halh1238,Halh Mongolian,9,1305
hame1242,Hamer-Banna,5,1012
haus1257,Hausa,8,600
hawa1245,Hawaiian,1,2020
hind1269,Hindi,12,416
hixk1239,Hixkaryána,5,341
hopi1249,Hopi,5,1713
huas1242,Huastec,8,69
hung1274,Hungarian,13,110
hupa1239,Hupa,12,123
iaai1238,Iaai,12,21
iban1264,Iban,4,121
igna1246,Ignaciano,7,159
ikkk1242,Ik,11,1739
indo1317,Indonesian Bajau,7,37
iran1263,Irántxe-Münkü,4,403
iraq1241,Iraqw,10,1767
irar1238,Irarutu,3,65
iris1253,Irish,11,88
isla1278,Island Carib,4,758
isok1239,Isoko,8,16
itel1242,West Itelmen,12,124
iton1250,Itonama,4,169
iumi1238,Iu Mien,7,1299
ivat1242,Itbayat,5,97
iwam1256,Iwam,2,26
izon1238,Izon,4,5
japr1238,Japrería,3,859
jaqa1244,Jaqaru,12,2766
java1254,Javanese,4,112
jebe1250,Jebero,3,242
jola1263,Jola-Fonyi,3,31
juho1239,South-Eastern Ju,30,1161
kaba1278,Kabardian,28,1234
kach1280,Southern Jinghpaw,8,147
kafa1242,Kafa,6,1743
kain1272,Kaingang,2,662
kala1377,Kala Lagaw Ya,2,137
kala1399,Kalaallisut,11,0
kama1365,Kamang,3,839
karo1304,Karok,7,676
kash1277,Kashmiri,9,1623
