Glottocode,language,distributed,elevation
abip1241,Abipon,2,65
acat1239,Acatepec Me'phaa,6,504
ache1246,Aché,2,158
achu1247,Achumawi,2,1258
afad1236,Afade,4,293
aghe1239,Aghem,3,1047
aika1237,Aikanã,6,520
ainu1240,Hokkaido Ainu,1,216
akan1250,Akan,7,166
alab1237,Alabama,2,89
alam1246,Alamblak,4,77
alaw1244,Alawa,3,147
aleu1260,Aleut,3,82
alla1248,Alladian,5,14
amah1246,Amahuaca,2,429
amas1236,Ama (Sudan),4,697
amel1241,Amele,1,161
amha1245,Amharic,6,3440
amoo1242,Amo,4,784
ando1256,Andoque,5,181
anga1290,Angaataha,2,1709
anta1253,Antakarinya,2,178
aona1235,Ao Naga,1,605
apin1244,Apinayé,3,229
apro1235,Aproumu Aizi,5,24
apuc1241,Apucikwar,4,58
arab1268,Arabela,1,182
arch1244,Archi,11,1822
asha1243,Asháninka,3,497
atay1247,Atayal,1,1882
avar1256,Avar,7,646
awng1244,Awngi,3,2024
baka1277,Bakairí,2,428
bamb1269,Bambara,4,386
bard1255,Bardi,2,46
bash1264,Bashkir,4,231
basq1248,Basque,6,362
bata1289,Batak Toba,1,948
bats1242,Bats,13,1048
beja1238,Beja,6,348
bell1243,Bella Coola,6,852
beng1280,Bengali,10,8
bero1242,Berom,2,1221
bert1248,Berta,3,897
biss1248,Bissa,1,263
bord1248,Border Kuna,1,460
boro1282,Bororo,2,180
bouy1240,Bouyei,4,774
brah1256,Brahui,5,1328
bret1244,Breton,9,143
brib1243,Bribri,3,706
bulg1262,Bulgarian,16,98
bura1267,Burarra,2,36
buru1296,Burushaski,4,3309
cacu1241,Kakua,1,155
cadd1256,Caddo,3,377
came1252,Donga Mambila,3,781
cams1241,Camsá,4,2387
carn1240,Car Nicobarese,3,30
cayu1262,Cayubaba,5,141
ceba1235,Cebaara Senoufo,1,390
cent1973,Central Pashto,11,1057
cent1989,Central Khmer,3,26
cent2004,Central Bai,5,3046
cent2050,Central Kanuri,4,314
cent2128,Central Siberian Yupik,2,0
cent2144,Central Mazahua,8,2941
chac1249,Cha'palaa,4,122
cham1312,Chamorro,1,69
cher1273,Cherokee,1,1159
chip1261,Chipewyan,9,258
chiq1250,Chiquihuitlán Mazatec,4,1897
chua1256,Chuanqiandian Cluster Miao,19,1077
chuv1255,Chuvash,4,95
cofa1242,Cofán,9,342
cube1242,Cubeo,2,192
dagb1246,Dagbani,4,181
daha1245,Dahalo,14,20
dalo1238,Daloa Bété,3,234
dang1274,Dangaleat,7,459
darf1239,Dar Fur Daju,5,609
daur1238,Dagur,3,167
dawr1236,Dawro,3,1936
dera1248,Dera (Nigeria),5,195
dhuw1249,Dhuwal,3,99
dier1241,Dieri,6,19
dizi1235,Dizin,5,2094
dyir1250,Dyirbal,2,858
east1436,Eastern Pahari,5,3212
east2328,Eastern Mari,6,45
east2347,Eastern Tamang,8,1864
east2379,Eastern Arrernte,6,720
east2516,East Kewa,2,1942
east2542,Eastern Ojibwa,4,213
efik1245,Efik,1,25
egyp1253,Egyptian Arabic,12,6
ejag1239,Ejagham,1,220
enap1235,Panare,1,52
epen1239,Epena,1,22
even1260,Even,3,0
ewee1241,Ewe,6,114
ewon1239,Ewondo,1,593
eyak1241,Eyak,4,0
fefe1239,Fe'fe',2,1444
fiji1243,Fijian,4,151
finn1318,Finnish,5,66
fuln1247,Fulniô,5,391
furr1244,Fur,3,874
fwai1237,Fwâi,3,126
gaaa1244,Ga,8,94
gaam1241,Gaam,8,898
gara1269,Garrwa,4,205
gbay1287,Gbaya-Bossangoa,2,476
gily1242,Nivkh,1,365
gras1249,Grass Koiari,1,767
guah1255,Guahibo,1,88
guam1248,Guambiano,4,1725
guer1243,Guerrero Amuzgo,3,378
hadz1240,Hadza,21,1277
haka1240,Haka Chin,3,896
