,language,dorsal,elevation
abip1241,Abipon,12,65.0
acat1239,Acatepec Me'phaa,14,504.0
ache1246,Aché,12,158.0
achu1247,Achumawi,12,1258.0
adze1240,Adzera,12,207.0
afad1236,Afade,18,293.0
aghe1239,Aghem,19,1047.0
ahte1237,Ahtena,17,0.0
aika1237,Aikanã,14,520.0
ainu1240,Hokkaido Ainu,8,216.0
akan1250,Akan,25,166.0
akaw1239,Akawaio,14,970.0
alab1237,Alabama,6,89.0
alam1246,Alamblak,12,77.0
alaw1244,Alawa,9,147.0
aleu1260,Aleut,15,82.0
alla1248,Alladian,21,14.0
amah1246,Amahuaca,12,429.0
amas1236,Ama (Sudan),14,697.0
amel1241,Amele,10,161.0
amha1245,Amharic,16,3440.0
amoo1242,Amo,18,784.0
ando1256,Andoque,16,181.0
anga1290,Angaataha,14,1709.0
anta1253,Antakarinya,7,178.0
aona1235,Ao Naga,11,605.0
apin1244,Apinayé,20,229.0
apro1235,Aproumu Aizi,19,24.0
apuc1241,Apucikwar,14,58.0
arab1268,Arabela,10,182.0
arch1244,Archi,44,1822.0
asha1243,Asháninka,6,497.0
atay1247,Atayal,15,1882.0
avar1256,Avar,19,646.0
awng1244,Awngi,19,2024.0
baat1238,Baatonum,18,379.0
baka1277,Bakairí,16,428.0
bamb1269,Bambara,20,386.0
bard1255,Bardi,11,46.0
bash1264,Bashkir,19,231.0
basq1248,Basque,12,362.0
bata1289,Batak Toba,11,948.0
bats1242,Bats,20,1048.0
beem1239,Beembe,11,358.0
beja1238,Beja,11,348.0
bell1243,Bella Coola,17,852.0
beng1280,Bengali,20,8.0
bero1242,Berom,16,1221.0
bert1248,Berta,11,897.0
biss1248,Bissa,12,263.0
bodo1269,Bodo-Mech,10,114.0
bord1248,Border Kuna,11,460.0
boro1282,Bororo,11,180.0
bouy1240,Bouyei,19,774.0
brah1256,Brahui,13,1328.0
bret1244,Breton,31,143.0
brib1243,Bribri,15,706.0
bulg1262,Bulgarian,26,98.0
bura1267,Burarra,11,36.0
buru1296,Burushaski,15,3309.0
cacu1241,Kakua,14,155.0
cadd1256,Caddo,8,377.0
came1252,Donga Mambila,11,781.0
cams1241,Camsá,13,2387.0
carn1240,Car Nicobarese,13,30.0
cayu1262,Cayubaba,19,141.0
ceba1235,Cebaara Senoufo,24,390.0
cent1973,Central Pashto,13,1057.0
cent1989,Central Khmer,29,26.0
cent2004,Central Bai,16,3046.0
cent2050,Central Kanuri,11,314.0
cent2128,Central Siberian Yupik,21,0.0
cent2144,Central Mazahua,32,2941.0
chac1249,Cha'palaa,9,122.0
cham1312,Chamorro,12,69.0
cher1273,Cherokee,9,1159.0
chip1261,Chipewyan,26,258.0
chiq1250,Chiquihuitlán Mazatec,12,1897.0
chua1250,Chuave,9,2050.0
chua1256,Chuanqiandian Cluster Miao,20,1077.0
chuk1273,Chukchi,14,0.0
chuv1255,Chuvash,15,95.0
cofa1242,Cofán,17,342.0
copa1236,Copainalá Zoque,11,526.0
cube1242,Cubeo,14,192.0
dadi1250,Dadibi,14,1267.0
dagb1246,Dagbani,14,181.0
daha1245,Dahalo,17,20.0
dalo1238,Daloa Bété,25,234.0
dang1274,Dangaleat,16,459.0
dann1241,Dan,26,324.0
darf1239,Dar Fur Daju,16,609.0
daur1238,Dagur,13,167.0
dawr1236,Dawro,10,1936.0
dera1245,Dera (Indonesia),11,332.0
dera1248,Dera (Nigeria),21,195.0
dhuw1249,Dhuwal,7,99.0
dier1241,Dieri,10,19.0
dizi1235,Dizin,11,2094.0
doya1240,Doyayo,19,309.0
dyir1250,Dyirbal,9,858.0
east1436,Eastern Pahari,17,3212.0
east2328,Eastern Mari,18,45.0
east2347,Eastern Tamang,15,1864.0
east2379,Eastern Arrernte,9,720.0
east2516,East Kewa,11,1942.0
east2542,Eastern Ojibwa,13,213.0
efik1245,Efik,13,25.0
egyp1253,Egyptian Arabic,17,6.0
ejag1239,Ejagham,15,220.0
ekar1243,Ekari,9,1658.0
enap1235,Panare,16,52.0
epen1239,Epena,18,22.0
even1260,Even,15,0.0
ewee1241,Ewe,24,114.0
ewon1239,Ewondo,18,593.0
eyak1241,Eyak,25,0.0
fasu1242,Fasu,13,217.0
fefe1239,Fe'fe',12,1444.0
fiji1243,Fijian,16,151.0
finn1318,Finnish,12,66.0
fuln1247,Fulniô,19,391.0
furr1244,Fur,17,874.0
fwai1237,Fwâi,20,126.0
gaaa1244,Ga,21,94.0
gaam1241,Gaam,17,898.0
gads1258,Gadsup,8,1311.0
gali1262,Galibi Carib,11,6.0
gara1269,Garrwa,9,205.0
gbag1258,Gbagyi,12,261.0
gbay1287,Gbaya-Bossangoa,23,476.0
gily1242,Nivkh,18,365.0
gras1249,Grass Koiari,7,767.0
guah1255,Guahibo,15,88.0
guam1248,Guambiano,11,1725.0
guer1243,Guerrero Amuzgo,18,378.0
hadz1240,Hadza,17,1277.0
haka1240,Haka Chin,33,896.0
hakk1236,Hakka Chinese,10,365.0
halh1238,Halh Mongolian,16,1305.0
hame1242,Hamer-Banna,20,1012.0
haus1257,Hausa,19,600.0
hawa1245,Hawaiian,7,2020.0
hind1269,Hindi,29,416.0
hixk1239,Hixkaryána,8,341.0
hopi1249,Hopi,17,1713.0
huas1242,Huastec,10,69.0
hung1274,Hungarian,21,110.0
hupa1239,Hupa,17,123.0
iaai1238,Iaai,26,21.0
iban1264,Iban,12,121.0
igna1246,Ignaciano,8,159.0
ikkk1242,Ik,22,1739.0
indo1317,Indonesian Bajau,13,37.0
iran1263,Irántxe-Münkü,23,403.0
iraq1241,Iraqw,26,1767.0
irar1238,Irarutu,11,65.0
iris1253,Irish,57,88.0
isla1278,Island Carib,15,758.0
isok1239,Isoko,16,16.0
itel1242,West Itelmen,17,124.0
iton1250,Itonama,11,169.0
iumi1238,Iu Mien,22,1299.0
ivat1242,Itbayat,9,97.0
iwam1256,Iwam,10,26.0
izon1238,Izon,25,5.0
japr1238,Japrería,14,859.0
jaqa1244,Jaqaru,18,2766.0
java1254,Javanese,13,112.0
jebe1250,Jebero,12,242.0
jola1263,Jola-Fonyi,18,31.0
juho1239,South-Eastern Ju,64,1161.0
kaba1278,Kabardian,31,1234.0
kach1280,Southern Jinghpaw,11,147.0
kafa1242,Kafa,10,1743.0
kain1272,Kaingang,18,662.0
kala1377,Kala Lagaw Ya,11,137.0
kala1399,Kalaallisut,11,0.0
kalk1246,Kalkutung,10,435.0
kama1365,Kamang,16,839.0
karo1304,Karok,14,676.0
kash1277,Kashmiri,37,1623.0
