,language,front,elevation
abip1241,Abipon,4,65.0
acat1239,Acatepec Me'phaa,5,504.0
ache1246,Aché,4,158.0
achu1247,Achumawi,3,1258.0
adze1240,Adzera,3,207.0
afad1236,Afade,6,293.0
aghe1239,Aghem,6,1047.0
ahte1237,Ahtena,4,0.0
aika1237,Aikanã,6,520.0
ainu1240,Hokkaido Ainu,3,216.0
akan1250,Akan,15,166.0
akaw1239,Akawaio,3,970.0
alab1237,Alabama,2,89.0
alam1246,Alamblak,3,77.0
alaw1244,Alawa,3,147.0
aleu1260,Aleut,3,82.0
alla1248,Alladian,10,14.0
amah1246,Amahuaca,3,429.0
amas1236,Ama (Sudan),6,697.0
amel1241,Amele,4,161.0
amha1245,Amharic,4,3440.0
amoo1242,Amo,6,784.0
ando1256,Andoque,4,181.0
anga1290,Angaataha,4,1709.0
anta1253,Antakarinya,2,178.0
aona1235,Ao Naga,4,605.0
apin1244,Apinayé,6,229.0
apro1235,Aproumu Aizi,8,24.0
apuc1241,Apucikwar,6,58.0
arab1268,Arabela,3,182.0
arch1244,Archi,5,1822.0
asha1243,Asháninka,3,497.0
atay1247,Atayal,4,1882.0
avar1256,Avar,3,646.0
awng1244,Awngi,4,2024.0
baat1238,Baatonum,6,379.0
baka1277,Bakairí,6,428.0
bamb1269,Bambara,8,386.0
bard1255,Bardi,3,46.0
bash1264,Bashkir,6,231.0
basq1248,Basque,6,362.0
bata1289,Batak Toba,3,948.0
bats1242,Bats,5,1048.0
beem1239,Beembe,4,358.0
beja1238,Beja,3,348.0
bell1243,Bella Coola,5,852.0
beng1280,Bengali,7,8.0
bero1242,Berom,6,1221.0
bert1248,Berta,3,897.0
biss1248,Bissa,4,263.0
bodo1269,Bodo-Mech,3,114.0
bord1248,Border Kuna,3,460.0
boro1282,Bororo,3,180.0
bouy1240,Bouyei,6,774.0
brah1256,Brahui,4,1328.0
bret1244,Breton,13,143.0
brib1243,Bribri,5,706.0
bulg1262,Bulgarian,18,98.0
bura1267,Burarra,5,36.0
buru1296,Burushaski,3,3309.0
cacu1241,Kakua,4,155.0
cadd1256,Caddo,2,377.0
came1252,Donga Mambila,3,781.0
cams1241,Camsá,5,2387.0
carn1240,Car Nicobarese,4,30.0
cayu1262,Cayubaba,7,141.0
ceba1235,Cebaara Senoufo,11,390.0
cent1973,Central Pashto,3,1057.0
cent1989,Central Khmer,9,26.0
cent2004,Central Bai,4,3046.0
cent2050,Central Kanuri,4,314.0
cent2128,Central Siberian Yupik,2,0.0
cent2144,Central Mazahua,11,2941.0
chac1249,Cha'palaa,3,122.0
cham1312,Chamorro,5,69.0
cher1273,Cherokee,3,1159.0
chip1261,Chipewyan,6,258.0
chiq1250,Chiquihuitlán Mazatec,5,1897.0
chua1250,Chuave,3,2050.0
chua1256,Chuanqiandian Cluster Miao,2,1077.0
chuk1273,Chukchi,5,0.0
chuv1255,Chuvash,6,95.0
cofa1242,Cofán,8,342.0
copa1236,Copainalá Zoque,3,526.0
cube1242,Cubeo,4,192.0
dadi1250,Dadibi,5,1267.0
dagb1246,Dagbani,4,181.0
daha1245,Dahalo,3,20.0
dalo1238,Daloa Bété,8,234.0
dang1274,Dangaleat,8,459.0
dann1241,Dan,6,324.0
darf1239,Dar Fur Daju,7,609.0
daur1238,Dagur,4,167.0
dawr1236,Dawro,3,1936.0
dera1245,Dera (Indonesia),3,332.0
dera1248,Dera (Nigeria),8,195.0
dhuw1249,Dhuwal,2,99.0
dier1241,Dieri,5,19.0
dizi1235,Dizin,3,2094.0
doya1240,Doyayo,6,309.0
dyir1250,Dyirbal,4,858.0
east1436,Eastern Pahari,4,3212.0
east2328,Eastern Mari,10,45.0
east2347,Eastern Tamang,5,1864.0
east2379,Eastern Arrernte,2,720.0
east2516,East Kewa,5,1942.0
east2542,Eastern Ojibwa,5,213.0
efik1245,Efik,5,25.0
egyp1253,Egyptian Arabic,5,6.0
ejag1239,Ejagham,5,220.0
ekar1243,Ekari,3,1658.0
enap1235,Panare,5,52.0
epen1239,Epena,5,22.0
even1260,Even,7,0.0
ewee1241,Ewe,8,114.0
ewon1239,Ewondo,5,593.0
eyak1241,Eyak,7,0.0
fasu1242,Fasu,5,217.0
fefe1239,Fe'fe',2,1444.0
fiji1243,Fijian,4,151.0
finn1318,Finnish,6,66.0
fuln1247,Fulniô,10,391.0
furr1244,Fur,6,874.0
fwai1237,Fwâi,6,126.0
gaaa1244,Ga,8,94.0
gaam1241,Gaam,8,898.0
gads1258,Gadsup,3,1311.0
gali1262,Galibi Carib,3,6.0
gara1269,Garrwa,4,205.0
gbag1258,Gbagyi,4,261.0
gbay1287,Gbaya-Bossangoa,8,476.0
gily1242,Nivkh,4,365.0
gras1249,Grass Koiari,2,767.0
guah1255,Guahibo,5,88.0
guam1248,Guambiano,5,1725.0
guer1243,Guerrero Amuzgo,7,378.0
hadz1240,Hadza,4,1277.0
haka1240,Haka Chin,21,896.0
hakk1236,Hakka Chinese,3,365.0
halh1238,Halh Mongolian,4,1305.0
hame1242,Hamer-Banna,8,1012.0
haus1257,Hausa,7,600.0
hawa1245,Hawaiian,2,2020.0
hind1269,Hindi,10,416.0
hixk1239,Hixkaryána,3,341.0
hopi1249,Hopi,6,1713.0
huas1242,Huastec,3,69.0
hung1274,Hungarian,12,110.0
hupa1239,Hupa,7,123.0
iaai1238,Iaai,12,21.0
iban1264,Iban,4,121.0
igna1246,Ignaciano,3,159.0
ikkk1242,Ik,9,1739.0
indo1317,Indonesian Bajau,4,37.0
iran1263,Irántxe-Münkü,6,403.0
iraq1241,Iraqw,5,1767.0
irar1238,Irarutu,4,65.0
iris1253,Irish,24,88.0
isla1278,Island Carib,5,758.0
isok1239,Isoko,5,16.0
itel1242,West Itelmen,6,124.0
iton1250,Itonama,4,169.0
iumi1238,Iu Mien,10,1299.0
ivat1242,Itbayat,2,97.0
iwam1256,Iwam,3,26.0
izon1238,Izon,9,5.0
japr1238,Japrería,5,859.0
jaqa1244,Jaqaru,7,2766.0
java1254,Javanese,5,112.0
jebe1250,Jebero,5,242.0
jola1263,Jola-Fonyi,8,31.0
juho1239,South-Eastern Ju,8,1161.0
kaba1278,Kabardian,11,1234.0
kach1280,Southern Jinghpaw,3,147.0
kafa1242,Kafa,3,1743.0
kain1272,Kaingang,6,662.0
kala1377,Kala Lagaw Ya,3,137.0
kala1399,Kalaallisut,2,0.0
kalk1246,Kalkutung,5,435.0
kama1365,Kamang,4,839.0
karo1304,Karok,6,676.0
kash1277,Kashmiri,13,1623.0
katc1249,Katcha-Kadugli-Miri,6,473.0
kawa1283,Kawaiisu,3,1560.0
kekc1242,Kekchí,3,28.0
kera1255,Kera,4,328.0
kett1243,Ket,8,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,8,54.0
khar1287,Kharia,4,376.0
khas1269,Khasi,5,38.0
khmu1256,Khmu,10,953.0
kiow1266,Kiowa,7,450.0
kirg1245,Kirghiz,5,3699.0
klam1254,Klamath-Modoc,8,1299.0
klao1243,Klao,9,66.0
koho1244,Koho,9,871.0
kohu1244,Kohumono,6,23.0
komi1268,Komi-Zyrian,11,125.0
komo1258,Komo (Sudan),4,767.0
konk1267,Maharashtrian Konkani,9,723.0
kore1280,Korean,6,154.0
kory1246,Koryak,4,0.0
kota1263,Kota (India),3,1456.0
koya1251,Koya,3,111.0
koyr1242,Koyraboro Senni Songhai,4,261.0
kpan1246,Kpan,5,139.0
kuku1273,Kuku-Yalanji,4,236.0
kumi1248,Tipai,3,297.0
kuna1268,Kunama,5,1058.0
kuni1267,Kunimaipa,2,1857.0
kups1238,Kupsabiny,5,2719.0
kuru1302,Kurukh,7,284.0
kwai1243,Kwaio,2,564.0
kwak1269,Kwak'wala,8,112.0
kwom1262,Kwoma,5,31.0
