,language,high,elevation
abip1241,Abipon,7,65.0
acat1239,Acatepec Me'phaa,8,504.0
ache1246,Aché,6,158.0
achu1247,Achumawi,6,1258.0
adze1240,Adzera,8,207.0
afad1236,Afade,11,293.0
aghe1239,Aghem,14,1047.0
ahte1237,Ahtena,9,0.0
aika1237,Aikanã,10,520.0
ainu1240,Hokkaido Ainu,5,216.0
akan1250,Akan,19,166.0
akaw1239,Akawaio,7,970.0
alab1237,Alabama,3,89.0
alam1246,Alamblak,8,77.0
alaw1244,Alawa,7,147.0
aleu1260,Aleut,11,82.0
alla1248,Alladian,13,14.0
amah1246,Amahuaca,8,429.0
amas1236,Ama (Sudan),9,697.0
amel1241,Amele,7,161.0
amha1245,Amharic,12,3440.0
amoo1242,Amo,12,784.0
ando1256,Andoque,5,181.0
anga1290,Angaataha,7,1709.0
anta1253,Antakarinya,6,178.0
aona1235,Ao Naga,8,605.0
apin1244,Apinayé,9,229.0
apro1235,Aproumu Aizi,14,24.0
apuc1241,Apucikwar,8,58.0
arab1268,Arabela,5,182.0
arch1244,Archi,14,1822.0
asha1243,Asháninka,3,497.0
atay1247,Atayal,10,1882.0
avar1256,Avar,10,646.0
awng1244,Awngi,11,2024.0
baat1238,Baatonum,10,379.0
baka1277,Bakairí,8,428.0
bamb1269,Bambara,10,386.0
bard1255,Bardi,8,46.0
bash1264,Bashkir,9,231.0
basq1248,Basque,8,362.0
bata1289,Batak Toba,7,948.0
bats1242,Bats,8,1048.0
beem1239,Beembe,5,358.0
beja1238,Beja,8,348.0
bell1243,Bella Coola,10,852.0
beng1280,Bengali,10,8.0
bero1242,Berom,11,1221.0
bert1248,Berta,8,897.0
biss1248,Bissa,8,263.0
bodo1269,Bodo-Mech,6,114.0
bord1248,Border Kuna,8,460.0
boro1282,Bororo,7,180.0
bouy1240,Bouyei,11,774.0
brah1256,Brahui,8,1328.0
bret1244,Breton,14,143.0
brib1243,Bribri,9,706.0
bulg1262,Bulgarian,22,98.0
bura1267,Burarra,8,36.0
buru1296,Burushaski,8,3309.0
cacu1241,Kakua,7,155.0
cadd1256,Caddo,7,377.0
came1252,Donga Mambila,7,781.0
cams1241,Camsá,10,2387.0
carn1240,Car Nicobarese,7,30.0
cayu1262,Cayubaba,9,141.0
ceba1235,Cebaara Senoufo,16,390.0
cent1973,Central Pashto,6,1057.0
cent1989,Central Khmer,14,26.0
cent2004,Central Bai,9,3046.0
cent2050,Central Kanuri,8,314.0
cent2128,Central Siberian Yupik,13,0.0
cent2144,Central Mazahua,21,2941.0
chac1249,Cha'palaa,7,122.0
cham1312,Chamorro,8,69.0
cher1273,Cherokee,5,1159.0
chip1261,Chipewyan,20,258.0
chiq1250,Chiquihuitlán Mazatec,6,1897.0
chua1250,Chuave,6,2050.0
chua1256,Chuanqiandian Cluster Miao,8,1077.0
chuk1273,Chukchi,8,0.0
chuv1255,Chuvash,10,95.0
cofa1242,Cofán,14,342.0
copa1236,Copainalá Zoque,7,526.0
cube1242,Cubeo,8,192.0
dadi1250,Dadibi,8,1267.0
dagb1246,Dagbani,11,181.0
daha1245,Dahalo,14,20.0
dalo1238,Daloa Bété,18,234.0
dang1274,Dangaleat,11,459.0
dann1241,Dan,11,324.0
darf1239,Dar Fur Daju,11,609.0
daur1238,Dagur,9,167.0
dawr1236,Dawro,7,1936.0
dera1245,Dera (Indonesia),7,332.0
dera1248,Dera (Nigeria),14,195.0
dhuw1249,Dhuwal,6,99.0
