Glottocode,language,high,elevation
abip1241,Abipon,7,65
acat1239,Acatepec Me'phaa,8,504
ache1246,Aché,6,158
achu1247,Achumawi,6,1258
adze1240,Adzera,8,207
afad1236,Afade,11,293
aghe1239,Aghem,14,1047
ahte1237,Ahtena,9,0
aika1237,Aikanã,10,520
ainu1240,Hokkaido Ainu,5,216
akan1250,Akan,19,166
akaw1239,Akawaio,7,970
alab1237,Alabama,3,89
alam1246,Alamblak,8,77
alaw1244,Alawa,7,147
aleu1260,Aleut,11,82
alla1248,Alladian,13,14
amah1246,Amahuaca,8,429
amas1236,Ama (Sudan),9,697
amel1241,Amele,7,161
amha1245,Amharic,12,3440
amoo1242,Amo,12,784
ando1256,Andoque,5,181
anga1290,Angaataha,7,1709
anta1253,Antakarinya,6,178
aona1235,Ao Naga,8,605
apin1244,Apinayé,9,229
apro1235,Aproumu Aizi,14,24
apuc1241,Apucikwar,8,58
arab1268,Arabela,5,182
arch1244,Archi,14,1822
asha1243,Asháninka,3,497
atay1247,Atayal,10,1882
avar1256,Avar,10,646
awng1244,Awngi,11,2024
baat1238,Baatonum,10,379
baka1277,Bakairí,8,428
bamb1269,Bambara,10,386
bard1255,Bardi,8,46
bash1264,Bashkir,9,231
basq1248,Basque,8,362
bata1289,Batak Toba,7,948
bats1242,Bats,8,1048
beem1239,Beembe,5,358
beja1238,Beja,8,348
bell1243,Bella Coola,10,852
beng1280,Bengali,10,8
bero1242,Berom,11,1221
bert1248,Berta,8,897
biss1248,Bissa,8,263
bodo1269,Bodo-Mech,6,114
bord1248,Border Kuna,8,460
boro1282,Bororo,7,180
bouy1240,Bouyei,11,774
brah1256,Brahui,8,1328
bret1244,Breton,14,143
brib1243,Bribri,9,706
bulg1262,Bulgarian,22,98
bura1267,Burarra,8,36
buru1296,Burushaski,8,3309
cacu1241,Kakua,7,155
cadd1256,Caddo,7,377
came1252,Donga Mambila,7,781
cams1241,Camsá,10,2387
carn1240,Car Nicobarese,7,30
cayu1262,Cayubaba,9,141
ceba1235,Cebaara Senoufo,16,390
cent1973,Central Pashto,6,1057
cent1989,Central Khmer,14,26
cent2004,Central Bai,9,3046
cent2050,Central Kanuri,8,314
cent2128,Central Siberian Yupik,13,0
cent2144,Central Mazahua,21,2941
chac1249,Cha'palaa,7,122
cham1312,Chamorro,8,69
cher1273,Cherokee,5,1159
chip1261,Chipewyan,20,258
chiq1250,Chiquihuitlán Mazatec,6,1897
chua1250,Chuave,6,2050
chua1256,Chuanqiandian Cluster Miao,8,1077
chuk1273,Chukchi,8,0
chuv1255,Chuvash,10,95
cofa1242,Cofán,14,342
