,language,lateral,elevation
abip1241,Abipon,1,65
acat1239,Acatepec Me'phaa,1,504
ache1246,Aché,1,158
achu1247,Achumawi,1,1258
afad1236,Afade,2,293
aghe1239,Aghem,1,1047
ahte1237,Ahtena,2,0
aika1237,Aikanã,1,520
alab1237,Alabama,2,89
alaw1244,Alawa,3,147
aleu1260,Aleut,2,82
alla1248,Alladian,1,14
amas1236,Ama (Sudan),2,697
amel1241,Amele,1,161
amha1245,Amharic,1,3440
amoo1242,Amo,1,784
anga1290,Angaataha,1,1709
anta1253,Antakarinya,3,178
aona1235,Ao Naga,2,605
apro1235,Aproumu Aizi,1,24
apuc1241,Apucikwar,1,58
arch1244,Archi,6,1822
atay1247,Atayal,1,1882
avar1256,Avar,3,646
awng1244,Awngi,1,2024
baat1238,Baatonum,1,379
baka1277,Bakairí,1,428
bamb1269,Bambara,1,386
bard1255,Bardi,3,46
bash1264,Bashkir,1,231
basq1248,Basque,2,362
bata1289,Batak Toba,1,948
bats1242,Bats,2,1048
beem1239,Beembe,1,358
beja1238,Beja,1,348
bell1243,Bella Coola,2,852
beng1280,Bengali,1,8
bero1242,Berom,1,1221
bert1248,Berta,1,897
biss1248,Bissa,1,263
bodo1269,Bodo-Mech,1,114
bord1248,Border Kuna,1,460
bouy1240,Bouyei,1,774
brah1256,Brahui,2,1328
bret1244,Breton,2,143
bulg1262,Bulgarian,2,98
bura1267,Burarra,2,36
buru1296,Burushaski,1,3309
cacu1241,Kakua,1,155
came1252,Donga Mambila,1,781
cams1241,Camsá,2,2387
carn1240,Car Nicobarese,1,30
ceba1235,Cebaara Senoufo,1,390
cent1973,Central Pashto,2,1057
cent1989,Central Khmer,1,26
cent2004,Central Bai,1,3046
cent2050,Central Kanuri,2,314
cent2128,Central Siberian Yupik,2,0
cent2144,Central Mazahua,1,2941
chac1249,Cha'palaa,2,122
cham1312,Chamorro,1,69
cher1273,Cherokee,1,1159
chip1261,Chipewyan,2,258
chiq1250,Chiquihuitlán Mazatec,1,1897
chua1256,Chuanqiandian Cluster Miao,2,1077
chuk1273,Chukchi,1,0
chuv1255,Chuvash,1,95
copa1236,Copainalá Zoque,1,526
cube1242,Cubeo,1,192
dagb1246,Dagbani,1,181
daha1245,Dahalo,2,20
dalo1238,Daloa Bété,1,234
dang1274,Dangaleat,1,459
dann1241,Dan,1,324
darf1239,Dar Fur Daju,1,609
daur1238,Dagur,1,167
dawr1236,Dawro,1,1936
dera1248,Dera (Nigeria),2,195
dhuw1249,Dhuwal,2,99
dier1241,Dieri,4,19
dizi1235,Dizin,1,2094
doya1240,Doyayo,1,309
dyir1250,Dyirbal,1,858
east1436,Eastern Pahari,1,3212
east2328,Eastern Mari,2,45
east2347,Eastern Tamang,1,1864
