,language,long,elevation
adze1240,Adzera,3,207
anga1290,Angaataha,1,1709
arch1244,Archi,18,1822
atay1247,Atayal,2,1882
avar1256,Avar,13,646
bard1255,Bardi,3,46
bouy1240,Bouyei,1,774
brah1256,Brahui,5,1328
cent1973,Central Pashto,3,1057
cent1989,Central Khmer,10,26
chip1261,Chipewyan,6,258
dera1248,Dera (Nigeria),5,195
east2542,Eastern Ojibwa,8,213
egyp1253,Egyptian Arabic,5,6
eyak1241,Eyak,7,0
furr1244,Fur,3,874
gads1258,Gadsup,3,1311
haka1240,Haka Chin,1,896
hind1269,Hindi,11,416
hung1274,Hungarian,7,110
hupa1239,Hupa,3,123
iaai1238,Iaai,7,21
iraq1241,Iraqw,6,1767
iris1253,Irish,10,88
iumi1238,Iu Mien,1,1299
juho1239,South-Eastern Ju,12,1161
kaba1278,Kabardian,5,1234
kala1399,Kalaallisut,4,0
karo1304,Karok,5,676
kash1277,Kashmiri,14,1623
khmu1256,Khmu,10,953
kumi1248,Tipai,4,297
lakk1238,Lakkia,10,767
lakk1252,Lak,20,2018
lish1246,Lishán Didán,6,1635
lith1251,Lithuanian,6,54
nava1243,Navajo,8,2140
ngas1240,Ngas,4,1130
ngiz1242,Ngizim,3,360
noon1243,Noone,7,1277
nort2641,Northern Kurdish,5,697
norw1259,Norwegian Bokmål,9,20
nucl1347,Wolof,12,53
ocai1244,Ocaina,3,114
papa1238,Papantla Totonac,3,89
selk1253,Selkup,9,71
sinh1246,Sinhala,7,51
stan1290,French,2,124
stan1295,German,8,368
taha1241,Tahaggart Tamahaq,5,760
telu1262,Telugu,7,440
tigr1270,Tigre,5,2112
tonk1249,Tonkawa,5,86
trum1247,Trumai,1,284
tulu1258,Tulu,6,86
wara1290,Warray,4,29
wich1260,Wichita,7,390
0,Afade,0,293
1,Achumawi,0,1258
2,Eastern Arrernte,0,720
3,Amele,0,161
4,Aghem,0,1047
5,Aproumu Aizi,0,24
6,Ahtena,0,0
7,Hokkaido Ainu,0,216
8,Akan,0,166
9,Akawaio,0,970
10,Alabama,0,89
11,Qawasqar,0,80
12,Alladian,0,14
13,Aleut,0,82
14,Alawa,0,147
15,Northern Tosk Albanian,0,88
16,Amahuaca,0,429
17,Yanesha',0,2474
18,Hamer-Banna,0,1012
19,Amharic,0,3440
20,Amo,0,784
21,Alamblak,0,77
22,Guerrero Amuzgo,0,378
23,Andoque,0,181
24,Antakarinya,0,178
25,Apinayé,0,229
26,Apucikwar,0,58
27,Arabela,0,182
28,Mapudungun,0,1538
29,Waorani,0,259
30,Awngi,0,2024
31,Abipon,0,65
32,North Azerbaijani,0,276
33,Bashkir,0,231
34,Bambara,0,386
35,Waimaha,0,167
36,Baatonum,0,379
37,Batak Toba,0,948
38,Bats,0,1048
39,Northern Bobo Madaré,0,467
40,Central Bai,0,3046
41,Kohumono,0,23
42,Indonesian Bajau,0,37
43,Tweed-Albert,0,51
44,Beja,0,348
45,Bengali,0,8
46,Beembe,0,358
47,Daloa Bété,0,234
48,Bissa,0,263
49,Bakairí,0,428
50,Bella Coola,0,852
51,Muinane,0,177
52,Berom,0,1221
53,Bororo,0,180
54,Brao,0,581
55,Breton,0,143
56,Western Bru,0,161
57,Bodo-Mech,0,114
58,Burushaski,0,3309
59,Bulgarian,0,98
60,Burarra,0,36
61,Qaqet,0,941
62,Bribri,0,706
63,Caddo,0,377
64,Nivaclé,0,209
65,Car Nicobarese,0,30
66,Galibi Carib,0,6
67,Cha'palaa,0,122
68,Nyahkur,0,556
69,Kakua,0,155
70,Min Dong Chinese,0,6
71,Chamorro,0,69
72,Quiotepec Chinantec,0,1441
73,Cherokee,0,1159
74,Chuvash,0,95
75,Western Cham,0,35
76,Upper Chehalis,0,35
77,Chuave,0,2050
78,Chukchi,0,0
79,Mandarin Chinese,0,88
80,Asháninka,0,497
81,Cofán,0,342
82,Wamey,0,79
83,Chuanqiandian Cluster Miao,0,1077
84,Island Carib,0,758
85,Tedim Chin,0,1359
86,Western Highland Chatino,0,1344
87,Cubeo,0,192
88,Cayubaba,0,141
89,Dangaleat,0,459
90,Dan,0,324
91,Dagbani,0,181
92,Dar Fur Daju,0,609
93,Dahalo,0,20
94,Nyishi-Hill Miri,0,996
95,Dyirbal,0,858
96,Dieri,0,19
97,Northeastern Dinka,0,401
98,Lower Grand Valley Dani,0,2969
99,Northern Dong,0,512
100,Doyayo,0,309
101,Rukai,0,1689
102,Dagur,0,167
103,Toro So Dogon,0,279
104,Dhuwal,0,99
105,Jola-Fonyi,0,31
106,Efik,0,25
107,Ekari,0,1658
108,Modern Greek,0,190
109,Central Siberian Yupik,0,0
110,Ejagham,0,220
111,Basque,0,362
112,Even,0,0
113,Ewe,0,114
114,Ewondo,0,593
115,Fasu,0,217
116,Nobiin,0,277
