Glottocode,language,long,elevation
adze1240,Adzera,3,207
anga1290,Angaataha,1,1709
arch1244,Archi,18,1822
atay1247,Atayal,2,1882
avar1256,Avar,13,646
bard1255,Bardi,3,46
bouy1240,Bouyei,1,774
brah1256,Brahui,5,1328
cent1973,Central Pashto,3,1057
cent1989,Central Khmer,10,26
chip1261,Chipewyan,6,258
dera1248,Dera (Nigeria),5,195
east2542,Eastern Ojibwa,8,213
egyp1253,Egyptian Arabic,5,6
eyak1241,Eyak,7,0
furr1244,Fur,3,874
gads1258,Gadsup,3,1311
haka1240,Haka Chin,1,896
hind1269,Hindi,11,416
hung1274,Hungarian,7,110
hupa1239,Hupa,3,123
iaai1238,Iaai,7,21
iraq1241,Iraqw,6,1767
iris1253,Irish,10,88
iumi1238,Iu Mien,1,1299
juho1239,South-Eastern Ju,12,1161
kaba1278,Kabardian,5,1234
kala1399,Kalaallisut,4,0
karo1304,Karok,5,676
kash1277,Kashmiri,14,1623
khmu1256,Khmu,10,953
kumi1248,Tipai,4,297
lakk1238,Lakkia,10,767
lakk1252,Lak,20,2018
lish1246,Lishán Didán,6,1635
lith1251,Lithuanian,6,54
nava1243,Navajo,8,2140
ngas1240,Ngas,4,1130
ngiz1242,Ngizim,3,360
noon1243,Noone,7,1277
nort2641,Northern Kurdish,5,697
norw1259,Norwegian Bokmål,9,20
nucl1347,Wolof,12,53
ocai1244,Ocaina,3,114
papa1238,Papantla Totonac,3,89
selk1253,Selkup,9,71
sinh1246,Sinhala,7,51
stan1290,French,2,124
stan1295,German,8,368
taha1241,Tahaggart Tamahaq,5,760
telu1262,Telugu,7,440
tigr1270,Tigre,5,2112
tonk1249,Tonkawa,5,86
trum1247,Trumai,1,284
tulu1258,Tulu,6,86
wara1290,Warray,4,29
wich1260,Wichita,7,390
