,language,low,elevation
abip1241,Abipon,1,65
acat1239,Acatepec Me'phaa,2,504
ache1246,Aché,2,158
achu1247,Achumawi,1,1258
adze1240,Adzera,2,207
afad1236,Afade,2,293
aghe1239,Aghem,2,1047
ahte1237,Ahtena,1,0
aika1237,Aikanã,2,520
ainu1240,Hokkaido Ainu,1,216
akan1250,Akan,2,166
akaw1239,Akawaio,1,970
alab1237,Alabama,1,89
alam1246,Alamblak,1,77
alaw1244,Alawa,1,147
aleu1260,Aleut,1,82
alla1248,Alladian,2,14
amah1246,Amahuaca,2,429
amas1236,Ama (Sudan),1,697
amel1241,Amele,1,161
amha1245,Amharic,1,3440
amoo1242,Amo,2,784
ando1256,Andoque,4,181
anga1290,Angaataha,2,1709
anta1253,Antakarinya,1,178
aona1235,Ao Naga,1,605
apin1244,Apinayé,2,229
apro1235,Aproumu Aizi,1,24
apuc1241,Apucikwar,2,58
arab1268,Arabela,1,182
arch1244,Archi,4,1822
asha1243,Asháninka,1,497
atay1247,Atayal,2,1882
avar1256,Avar,3,646
awng1244,Awngi,2,2024
baat1238,Baatonum,2,379
baka1277,Bakairí,2,428
bamb1269,Bambara,2,386
bard1255,Bardi,2,46
bash1264,Bashkir,2,231
basq1248,Basque,1,362
bata1289,Batak Toba,1,948
bats1242,Bats,4,1048
beem1239,Beembe,2,358
beja1238,Beja,1,348
bell1243,Bella Coola,1,852
beng1280,Bengali,4,8
bero1242,Berom,1,1221
bert1248,Berta,1,897
biss1248,Bissa,1,263
bodo1269,Bodo-Mech,1,114
bord1248,Border Kuna,1,460
boro1282,Bororo,1,180
bouy1240,Bouyei,2,774
brah1256,Brahui,2,1328
bret1244,Breton,2,143
brib1243,Bribri,2,706
bulg1262,Bulgarian,1,98
bura1267,Burarra,1,36
buru1296,Burushaski,1,3309
cacu1241,Kakua,2,155
cadd1256,Caddo,1,377
came1252,Donga Mambila,1,781
cams1241,Camsá,1,2387
carn1240,Car Nicobarese,1,30
cayu1262,Cayubaba,4,141
ceba1235,Cebaara Senoufo,2,390
cent1973,Central Pashto,2,1057
cent1989,Central Khmer,4,26
cent2004,Central Bai,1,3046
cent2050,Central Kanuri,1,314
cent2128,Central Siberian Yupik,1,0
cent2144,Central Mazahua,3,2941
chac1249,Cha'palaa,1,122
cham1312,Chamorro,2,69
cher1273,Cherokee,1,1159
chip1261,Chipewyan,4,258
chiq1250,Chiquihuitlán Mazatec,2,1897
chua1250,Chuave,1,2050
chua1256,Chuanqiandian Cluster Miao,2,1077
chuk1273,Chukchi,1,0
chuv1255,Chuvash,1,95
cofa1242,Cofán,1,342
copa1236,Copainalá Zoque,1,526
cube1242,Cubeo,2,192
dadi1250,Dadibi,2,1267
dagb1246,Dagbani,1,181
daha1245,Dahalo,3,20
dalo1238,Daloa Bété,1,234
dang1274,Dangaleat,1,459
dann1241,Dan,6,324
darf1239,Dar Fur Daju,1,609
daur1238,Dagur,1,167
dawr1236,Dawro,1,1936
dera1245,Dera (Indonesia),1,332
dera1248,Dera (Nigeria),2,195
dhuw1249,Dhuwal,1,99
dier1241,Dieri,1,19
dizi1235,Dizin,2,2094
doya1240,Doyayo,2,309
dyir1250,Dyirbal,1,858
east1436,Eastern Pahari,2,3212
east2347,Eastern Tamang,2,1864
east2379,Eastern Arrernte,1,720
east2516,East Kewa,1,1942
east2542,Eastern Ojibwa,3,213
efik1245,Efik,1,25
egyp1253,Egyptian Arabic,4,6
ejag1239,Ejagham,1,220
ekar1243,Ekari,1,1658
enap1235,Panare,2,52
epen1239,Epena,2,22
even1260,Even,1,0
ewee1241,Ewe,4,114
ewon1239,Ewondo,1,593
eyak1241,Eyak,3,0
fasu1242,Fasu,2,217
fefe1239,Fe'fe',2,1444
fiji1243,Fijian,1,151
finn1318,Finnish,2,66
fuln1247,Fulniô,2,391
furr1244,Fur,2,874
fwai1237,Fwâi,2,126
gaaa1244,Ga,2,94
gaam1241,Gaam,1,898
gads1258,Gadsup,1,1311
gali1262,Galibi Carib,1,6
gara1269,Garrwa,1,205
gbag1258,Gbagyi,1,261
gbay1287,Gbaya-Bossangoa,3,476
gily1242,Nivkh,1,365
gras1249,Grass Koiari,1,767
guah1255,Guahibo,2,88
guam1248,Guambiano,1,1725
guer1243,Guerrero Amuzgo,6,378
hadz1240,Hadza,1,1277
haka1240,Haka Chin,2,896
hakk1236,Hakka Chinese,2,365
halh1238,Halh Mongolian,1,1305
hame1242,Hamer-Banna,2,1012
haus1257,Hausa,1,600
hawa1245,Hawaiian,1,2020
hind1269,Hindi,3,416
hixk1239,Hixkaryána,1,341
hopi1249,Hopi,2,1713
huas1242,Huastec,1,69
hung1274,Hungarian,2,110
hupa1239,Hupa,2,123
iaai1238,Iaai,2,21
iban1264,Iban,1,121
igna1246,Ignaciano,1,159
ikkk1242,Ik,2,1739
indo1317,Indonesian Bajau,1,37
iran1263,Irántxe-Münkü,2,403
iraq1241,Iraqw,4,1767
irar1238,Irarutu,1,65
iris1253,Irish,4,88
isla1278,Island Carib,2,758
isok1239,Isoko,1,16
itel1242,West Itelmen,1,124
iton1250,Itonama,1,169
iumi1238,Iu Mien,3,1299
ivat1242,Itbayat,1,97
iwam1256,Iwam,1,26
izon1238,Izon,2,5
japr1238,Japrería,2,859
jaqa1244,Jaqaru,1,2766
java1254,Javanese,1,112
jebe1250,Jebero,1,242
jola1263,Jola-Fonyi,1,31
juho1239,South-Eastern Ju,8,1161
kaba1278,Kabardian,3,1234
kach1280,Southern Jinghpaw,1,147
kafa1242,Kafa,1,1743
kain1272,Kaingang,2,662
kala1377,Kala Lagaw Ya,1,137
kala1399,Kalaallisut,1,0
kalk1246,Kalkutung,1,435
kama1365,Kamang,4,839
karo1304,Karok,3,676
kash1277,Kashmiri,4,1623
katc1249,Katcha-Kadugli-Miri,1,473
kawa1283,Kawaiisu,1,1560
kekc1242,Kekchí,1,28
kera1255,Kera,1,328
kett1243,Ket,2,176
khan1273,Kazym-Berezover-Suryskarer Khanty,3,54
khar1287,Kharia,1,376
khas1269,Khasi,1,38
khmu1256,Khmu,2,953
kiow1266,Kiowa,2,450
kirg1245,Kirghiz,1,3699
klam1254,Klamath-Modoc,1,1299
klao1243,Klao,2,66
koho1244,Koho,2,871
kohu1244,Kohumono,1,23
komi1268,Komi-Zyrian,1,125
komo1258,Komo (Sudan),1,767
konk1267,Maharashtrian Konkani,4,723
kore1280,Korean,2,154
kory1246,Koryak,1,0
kota1263,Kota (India),1,1456
koya1251,Koya,2,111
koyr1242,Koyraboro Senni Songhai,2,261
kpan1246,Kpan,2,139
kuku1273,Kuku-Yalanji,1,236
kumi1248,Tipai,2,297
kuna1268,Kunama,1,1058
kuni1267,Kunimaipa,1,1857
kups1238,Kupsabiny,3,2719
kuru1302,Kurukh,2,284
kwai1243,Kwaio,1,564
kwak1269,Kwak'wala,1,112
kwom1262,Kwoma,1,31
lahu1253,Lahu,1,1476
lakk1238,Lakkia,4,767
lakk1252,Lak,4,2018
lako1247,Lakota,2,834
lave1249,Brao,3,581
lele1264,Lelemi,2,519
lena1238,Lenakel,1,219
libe1247,Liberia Kpelle,2,285
lish1246,Lishán Didán,4,1635
lith1251,Lithuanian,4,54
lowe1415,Lower Grand Valley Dani,1,2969
lugb1240,Lugbara,1,1225
luis1253,Luiseno,1,742
luok1236,Luo (Kenya and Tanzania),3,1467
lush1252,Northern Lushootseed,1,92
lusi1240,Lusi,1,92
luuu1242,Lü,1,1101
maba1277,Maba (Chad),1,509
manc1252,Manchu,1,187
mand1415,Mandarin Chinese,2,88
mapu1245,Mapudungun,1,1538
mara1404,Maranao,1,969
marg1265,Marghi Central,1,426
masa1300,Masai,1,1187
maun1240,Mawng,1,28
maxa1247,Maxakalí,2,294
mbaa1245,Mba,1,456
mbab1239,Mbabaram,1,341
mbum1254,Mbum,2,830
mind1253,Min Dong Chinese,1,6
minn1241,Min Nan Chinese,1,35
mode1248,Modern Greek,1,190
mogh1245,Mogholi,1,942
morb1239,Mor (Bomberai Peninsula),1,27
moro1285,Moro,1,745
movi1243,Movima,1,146
muin1242,Muinane,1,177
mull1237,Mullukmulluk,1,40
mund1320,Mundari,1,50
murl1244,Murle,1,452
murr1258,Murriny Patha,1,0
naas1242,Naasioi,1,1855
nama1264,Nama (Namibia),2,1170
nana1257,Nanai,1,34
nara1262,Nara,1,788
natu1246,Natügu,6,0
nava1243,Navajo,4,2140
naxi1245,Naxi,2,3607
ndut1239,Ndut,1,35
nene1249,Tundra Nenets,2,0
newa1246,Kathmandu Valley Newari,2,288
nezp1238,Nez Perce,2,1041
ngan1291,Nganasan,2,0
ngar1284,Ngarinyin,1,511
ngas1240,Ngas,2,1130
ngiz1242,Ngizim,2,360
niel1243,Niellim,2,358
nina1238,Ninam,2,575
niva1238,Nivaclé,2,209
nobi1240,Nobiin,1,277
noon1243,Noone,2,1277
nort1550,Taos Northern Tiwa,2,2143
nort2641,Northern Kurdish,3,697
nort2690,Northern Uzbek,2,52
nort2697,North Azerbaijani,2,276
nort2735,Northern Dong,2,512
nort2745,Northern Yukaghir,1,0
nort2815,Northeastern Dinka,2,401
nort2819,Northern Bobo Madaré,2,467
