,language,retractedTongueRoot,elevation
arch1244,Archi,16,1822
egyp1253,Egyptian Arabic,4,6
even1260,Even,3,0
hame1242,Hamer-Banna,5,1012
juho1239,South-Eastern Ju,9,1161
lakk1252,Lak,3,2018
lish1246,Lishán Didán,8,1635
nort2641,Northern Kurdish,2,697
nuuc1236,Nuu-chah-nulth,1,614
rutu1240,Rutul,11,1950
tach1250,Tachelhit,7,904
taha1241,Tahaggart Tamahaq,3,760
wame1240,Wamey,1,79
0,Afade,0,293
1,Achumawi,0,1258
2,Adzera,0,207
3,Eastern Arrernte,0,720
4,Amele,0,161
5,Angaataha,0,1709
6,Aghem,0,1047
7,Aproumu Aizi,0,24
8,Ahtena,0,0
9,Hokkaido Ainu,0,216
10,Akan,0,166
11,Akawaio,0,970
12,Alabama,0,89
13,Qawasqar,0,80
14,Alladian,0,14
15,Aleut,0,82
16,Alawa,0,147
17,Northern Tosk Albanian,0,88
18,Amahuaca,0,429
19,Yanesha',0,2474
20,Amharic,0,3440
21,Amo,0,784
22,Alamblak,0,77
23,Guerrero Amuzgo,0,378
24,Ngas,0,1130
25,Andoque,0,181
26,Antakarinya,0,178
27,Apinayé,0,229
28,Apucikwar,0,58
29,Arabela,0,182
30,Mapudungun,0,1538
31,Waorani,0,259
32,Avar,0,646
33,Awngi,0,2024
34,Abipon,0,65
35,North Azerbaijani,0,276
36,Bashkir,0,231
37,Bambara,0,386
38,Waimaha,0,167
39,Baatonum,0,379
40,Batak Toba,0,948
41,Bats,0,1048
42,Northern Bobo Madaré,0,467
43,Central Bai,0,3046
44,Bardi,0,46
45,Kohumono,0,23
46,Indonesian Bajau,0,37
47,Tweed-Albert,0,51
48,Beja,0,348
49,Bengali,0,8
50,Beembe,0,358
51,Daloa Bété,0,234
52,Bissa,0,263
53,Bakairí,0,428
54,Bella Coola,0,852
55,Muinane,0,177
56,Berom,0,1221
57,Bororo,0,180
58,Brao,0,581
59,Breton,0,143
60,Brahui,0,1328
61,Western Bru,0,161
62,Bodo-Mech,0,114
63,Burushaski,0,3309
64,Bulgarian,0,98
65,Burarra,0,36
66,Qaqet,0,941
67,Bribri,0,706
68,Caddo,0,377
69,Nivaclé,0,209
70,Car Nicobarese,0,30
71,Galibi Carib,0,6
72,Cha'palaa,0,122
73,Nyahkur,0,556
74,Kakua,0,155
75,Min Dong Chinese,0,6
76,Chamorro,0,69
77,Chipewyan,0,258
78,Quiotepec Chinantec,0,1441
79,Cherokee,0,1159
80,Chuvash,0,95
81,Western Cham,0,35
82,Upper Chehalis,0,35
83,Chuave,0,2050
84,Chukchi,0,0
85,Mandarin Chinese,0,88
86,Haka Chin,0,896
87,Asháninka,0,497
88,Cofán,0,342
89,Chuanqiandian Cluster Miao,0,1077
90,Island Carib,0,758
91,Tedim Chin,0,1359
92,Western Highland Chatino,0,1344
93,Cubeo,0,192
94,Cayubaba,0,141
95,Dangaleat,0,459
96,Dan,0,324
97,Dagbani,0,181
98,Dar Fur Daju,0,609
99,Dahalo,0,20
100,Nyishi-Hill Miri,0,996
101,Dyirbal,0,858
102,German,0,368
103,Dieri,0,19
104,Tipai,0,297
105,Northeastern Dinka,0,401
106,Lower Grand Valley Dani,0,2969
107,Northern Dong,0,512
108,Doyayo,0,309
109,Rukai,0,1689
110,Dagur,0,167
111,Toro So Dogon,0,279
112,Dhuwal,0,99
113,Jola-Fonyi,0,31
114,Efik,0,25
115,Ekari,0,1658
116,Modern Greek,0,190
117,Central Siberian Yupik,0,0
118,Ejagham,0,220
119,Basque,0,362
120,Ewe,0,114
121,Ewondo,0,593
122,Eyak,0,0
123,Fasu,0,217
124,Nobiin,0,277
125,Fijian,0,151
126,Finnish,0,66
127,Fe'fe',0,1444
128,French,0,124
129,Fulniô,0,391
130,Fur,0,874
131,Fwâi,0,126
132,Ga,0,94
133,Gadsup,0,1311
134,Garrwa,0,205
135,Gbaya-Bossangoa,0,476
136,Gbagyi,0,261
137,Central Gelao-Qau,0,1275
138,Nanai,0,34
139,Irish,0,88
140,Dawro,0,1936
141,Wayuu,0,37
142,Paraguayan Guaraní,0,184
143,Guahibo,0,88
144,Guambiano,0,1725
145,Aché,0,158
146,Kuku-Yalanji,0,236
147,Hakka Chinese,0,365
148,Hausa,0,600
149,Hawaiian,0,2020
150,Northern Haida,0,80
151,Hindi,0,416
152,Hixkaryána,0,341
153,Hopi,0,1713
154,Hadza,0,1277
155,Hungarian,0,110
156,Hupa,0,123
157,Huastec,0,69
158,San Mateo del Mar Huave,0,5
159,Eastern Armenian,0,1912
160,Iaai,0,21
161,Iban,0,121
162,Igbo,0,8
163,Ignaciano,0,159
164,Izon,0,5
165,Ik,0,1739
166,Irarutu,0,65
167,Iraqw,0,1767
168,Irántxe-Münkü,0,403
169,Isoko,0,16
170,West Itelmen,0,124
171,Itonama,0,169
172,Iu Mien,0,1299
173,Itbayat,0,97
174,Iwam,0,26
175,Popti',0,2060
176,Yanyuwa,0,57
177,Javanese,0,112
178,Jebero,0,242
179,Tol,0,773
180,Shuar,0,1256
181,Japanese,0,127
182,Jaqaru,0,2766
183,Japrería,0,859
184,Southern Jinghpaw,0,147
185,Kalaallisut,0,0
186,Kashmiri,0,1623
187,Georgian,0,1338
188,Kabardian,0,1234
189,Camsá,0,2387
190,Grass Koiari,0,767
191,Kafa,0,1743
192,Dera (Indonesia),0,332
193,Kazym-Berezover-Suryskarer Khanty,0,54
194,Kekchí,0,28
195,Kera,0,328
196,Ket,0,176
197,Kota (India),0,1456
198,Koya,0,111
199,Kaingang,0,662
200,Khasi,0,38
201,Lü,0,1101
202,Halh Mongolian,0,1305
203,Lusi,0,92
204,Central Khmer,0,26
205,Kharia,0,376
206,Kiowa,0,450
207,Kirghiz,0,3699
208,Southern Kiwai,0,37
209,Khmu,0,953
210,Western Keres,0,1852
211,East Kewa,0,1942
212,Teke-Kukuya,0,530
213,Klamath-Modoc,0,1299
214,Klao,0,66
215,Kwoma,0,31
216,Dera (Nigeria),0,195
217,Central Kanuri,0,314
218,Maharashtrian Konkani,0,723
219,Korean,0,154
220,Kpan,0,139
221,Koho,0,871
222,Komi-Zyrian,0,125
223,Koryak,0,0
224,Kupsabiny,0,2719
225,Kurukh,0,284
226,S'gaw Karen,0,246
227,Kalkutung,0,435
228,Kunama,0,1058
229,Kunimaipa,0,1857
230,Border Kuna,0,460
231,Kwaio,0,564
232,Kwak'wala,0,112
233,Karok,0,676
234,Lakkia,0,767
235,Lelemi,0,519
236,Lugbara,0,1225
237,Lahu,0,1476
238,Lithuanian,0,54
239,Lakota,0,834
240,Peve,0,328
241,Luiseno,0,742
242,Luo (Kenya and Tanzania),0,1467
243,Northern Lushootseed,0,92
244,Chiquihuitlán Mazatec,0,1897
245,Masai,0,1187
246,Central Mazahua,0,2941
247,Maxakalí,0,294
248,Donga Mambila,0,781
249,Mbum,0,830
250,Maba (Chad),0,509
251,Dizin,0,2094
252,Mba,0,456
253,Mogholi,0,942
