,language,short,elevation
anga1290,Angaataha,1,1709
chuk1273,Chukchi,1,0
chuv1255,Chuvash,2,95
fwai1237,Fwâi,7,126
khan1273,Kazym-Berezover-Suryskarer Khanty,4,54
kups1238,Kupsabiny,6,2719
nene1249,Tundra Nenets,3,0
nucl1302,Georgian,1,1338
nung1283,Nung (Viet Nam),4,703
0,Afade,0,293
1,Achumawi,0,1258
2,Adzera,0,207
3,Eastern Arrernte,0,720
4,Amele,0,161
5,Aghem,0,1047
6,Aproumu Aizi,0,24
7,Ahtena,0,0
8,Hokkaido Ainu,0,216
9,Akan,0,166
10,Akawaio,0,970
11,Alabama,0,89
12,Qawasqar,0,80
13,Alladian,0,14
14,Aleut,0,82
15,Alawa,0,147
16,Northern Tosk Albanian,0,88
17,Amahuaca,0,429
18,Yanesha',0,2474
19,Hamer-Banna,0,1012
20,Amharic,0,3440
21,Amo,0,784
22,Alamblak,0,77
23,Guerrero Amuzgo,0,378
24,Ngas,0,1130
25,Andoque,0,181
26,Antakarinya,0,178
27,Apinayé,0,229
28,Apucikwar,0,58
29,Archi,0,1822
30,Arabela,0,182
31,Mapudungun,0,1538
32,Egyptian Arabic,0,6
33,Waorani,0,259
34,Avar,0,646
35,Awngi,0,2024
36,Abipon,0,65
37,North Azerbaijani,0,276
38,Bashkir,0,231
39,Bambara,0,386
40,Waimaha,0,167
41,Baatonum,0,379
42,Batak Toba,0,948
43,Bats,0,1048
44,Northern Bobo Madaré,0,467
45,Central Bai,0,3046
46,Bardi,0,46
47,Kohumono,0,23
48,Indonesian Bajau,0,37
49,Tweed-Albert,0,51
50,Beja,0,348
51,Bengali,0,8
52,Beembe,0,358
53,Daloa Bété,0,234
54,Bissa,0,263
55,Bakairí,0,428
56,Bella Coola,0,852
57,Muinane,0,177
58,Berom,0,1221
59,Bororo,0,180
60,Brao,0,581
61,Breton,0,143
62,Brahui,0,1328
63,Western Bru,0,161
64,Bodo-Mech,0,114
65,Burushaski,0,3309
66,Bulgarian,0,98
67,Burarra,0,36
68,Qaqet,0,941
69,Bribri,0,706
70,Caddo,0,377
71,Nivaclé,0,209
72,Car Nicobarese,0,30
73,Galibi Carib,0,6
74,Cha'palaa,0,122
75,Nyahkur,0,556
76,Kakua,0,155
77,Min Dong Chinese,0,6
78,Chamorro,0,69
79,Chipewyan,0,258
80,Quiotepec Chinantec,0,1441
81,Cherokee,0,1159
82,Western Cham,0,35
83,Upper Chehalis,0,35
84,Chuave,0,2050
85,Mandarin Chinese,0,88
86,Haka Chin,0,896
87,Asháninka,0,497
88,Cofán,0,342
89,Wamey,0,79
90,Chuanqiandian Cluster Miao,0,1077
91,Island Carib,0,758
92,Tedim Chin,0,1359
93,Western Highland Chatino,0,1344
94,Cubeo,0,192
95,Cayubaba,0,141
96,Dangaleat,0,459
97,Dan,0,324
98,Dagbani,0,181
99,Dar Fur Daju,0,609
100,Dahalo,0,20
101,Nyishi-Hill Miri,0,996
102,Dyirbal,0,858
103,German,0,368
104,Dieri,0,19
105,Tipai,0,297
106,Northeastern Dinka,0,401
107,Lower Grand Valley Dani,0,2969
108,Northern Dong,0,512
109,Doyayo,0,309
110,Rukai,0,1689
111,Dagur,0,167
112,Toro So Dogon,0,279
113,Dhuwal,0,99
114,Jola-Fonyi,0,31
115,Efik,0,25
116,Ekari,0,1658
117,Modern Greek,0,190
118,Central Siberian Yupik,0,0
119,Ejagham,0,220
120,Basque,0,362
121,Even,0,0
122,Ewe,0,114
123,Ewondo,0,593
124,Eyak,0,0
125,Fasu,0,217
126,Nobiin,0,277
127,Fijian,0,151
128,Finnish,0,66
129,Fe'fe',0,1444
130,French,0,124
131,Fulniô,0,391
132,Fur,0,874
133,Ga,0,94
134,Gadsup,0,1311
135,Garrwa,0,205
136,Gbaya-Bossangoa,0,476
137,Gbagyi,0,261
138,Central Gelao-Qau,0,1275
139,Nanai,0,34
140,Irish,0,88
141,Dawro,0,1936
142,Wayuu,0,37
143,Paraguayan Guaraní,0,184
144,Guahibo,0,88
145,Guambiano,0,1725
146,Aché,0,158
147,Kuku-Yalanji,0,236
148,Hakka Chinese,0,365
149,Hausa,0,600
150,Hawaiian,0,2020
151,Northern Haida,0,80
152,Hindi,0,416
153,Hixkaryána,0,341
154,Hopi,0,1713
155,Hadza,0,1277
156,Hungarian,0,110
157,Hupa,0,123
158,Huastec,0,69
159,San Mateo del Mar Huave,0,5
160,Eastern Armenian,0,1912
161,Iaai,0,21
162,Iban,0,121
163,Igbo,0,8
164,Ignaciano,0,159
165,Izon,0,5
166,Ik,0,1739
167,Irarutu,0,65
168,Iraqw,0,1767
169,Irántxe-Münkü,0,403
170,Isoko,0,16
171,West Itelmen,0,124
172,Itonama,0,169
173,Iu Mien,0,1299
174,Itbayat,0,97
175,Iwam,0,26
176,Popti',0,2060
177,Yanyuwa,0,57
178,Javanese,0,112
179,Jebero,0,242
180,Tol,0,773
