,language,sonorant,elevation
abip1241,Abipon,12,65.0
acat1239,Acatepec Me'phaa,16,504.0
ache1246,Aché,12,158.0
achu1247,Achumawi,12,1258.0
adze1240,Adzera,13,207.0
afad1236,Afade,15,293.0
aghe1239,Aghem,18,1047.0
ahte1237,Ahtena,10,0.0
aika1237,Aikanã,16,520.0
ainu1240,Hokkaido Ainu,10,216.0
akan1250,Akan,21,166.0
akaw1239,Akawaio,15,970.0
alab1237,Alabama,8,89.0
alam1246,Alamblak,13,77.0
alaw1244,Alawa,16,147.0
aleu1260,Aleut,13,82.0
alla1248,Alladian,19,14.0
amah1246,Amahuaca,13,429.0
amas1236,Ama (Sudan),16,697.0
amel1241,Amele,9,161.0
amha1245,Amharic,14,3440.0
amoo1242,Amo,18,784.0
ando1256,Andoque,16,181.0
anga1290,Angaataha,16,1709.0
anta1253,Antakarinya,15,178.0
aona1235,Ao Naga,13,605.0
apin1244,Apinayé,18,229.0
apro1235,Aproumu Aizi,16,24.0
apuc1241,Apucikwar,16,58.0
arab1268,Arabela,12,182.0
arch1244,Archi,16,1822.0
asha1243,Asháninka,9,497.0
atay1247,Atayal,14,1882.0
avar1256,Avar,11,646.0
awng1244,Awngi,15,2024.0
baat1238,Baatonum,18,379.0
baka1277,Bakairí,18,428.0
bamb1269,Bambara,22,386.0
bard1255,Bardi,19,46.0
bash1264,Bashkir,18,231.0
basq1248,Basque,12,362.0
bata1289,Batak Toba,12,948.0
bats1242,Bats,15,1048.0
beem1239,Beembe,13,358.0
beja1238,Beja,11,348.0
bell1243,Bella Coola,8,852.0
beng1280,Bengali,20,8.0
bero1242,Berom,14,1221.0
bert1248,Berta,12,897.0
biss1248,Bissa,14,263.0
bodo1269,Bodo-Mech,12,114.0
bord1248,Border Kuna,11,460.0
boro1282,Bororo,12,180.0
bouy1240,Bouyei,19,774.0
brah1256,Brahui,14,1328.0
bret1244,Breton,28,143.0
brib1243,Bribri,15,706.0
bulg1262,Bulgarian,15,98.0
bura1267,Burarra,16,36.0
buru1296,Burushaski,12,3309.0
cacu1241,Kakua,15,155.0
cadd1256,Caddo,8,377.0
came1252,Donga Mambila,13,781.0
cams1241,Camsá,14,2387.0
carn1240,Car Nicobarese,18,30.0
cayu1262,Cayubaba,22,141.0
ceba1235,Cebaara Senoufo,19,390.0
cent1973,Central Pashto,15,1057.0
cent1989,Central Khmer,29,26.0
cent2004,Central Bai,16,3046.0
cent2050,Central Kanuri,14,314.0
cent2128,Central Siberian Yupik,17,0.0
cent2144,Central Mazahua,30,2941.0
chac1249,Cha'palaa,13,122.0
cham1312,Chamorro,14,69.0
cher1273,Cherokee,11,1159.0
chip1261,Chipewyan,19,258.0
chiq1250,Chiquihuitlán Mazatec,14,1897.0
chua1250,Chuave,10,2050.0
chua1256,Chuanqiandian Cluster Miao,20,1077.0
chuk1273,Chukchi,12,0.0
chuv1255,Chuvash,15,95.0
cofa1242,Cofán,12,342.0
copa1236,Copainalá Zoque,12,526.0
cube1242,Cubeo,13,192.0
dadi1250,Dadibi,15,1267.0
dagb1246,Dagbani,14,181.0
daha1245,Dahalo,12,20.0
dalo1238,Daloa Bété,22,234.0
dang1274,Dangaleat,15,459.0
dann1241,Dan,25,324.0
darf1239,Dar Fur Daju,15,609.0
daur1238,Dagur,14,167.0
dawr1236,Dawro,11,1936.0
dera1245,Dera (Indonesia),11,332.0
dera1248,Dera (Nigeria),20,195.0
dhuw1249,Dhuwal,16,99.0
dier1241,Dieri,18,19.0
dizi1235,Dizin,12,2094.0
doya1240,Doyayo,19,309.0
dyir1250,Dyirbal,12,858.0
east1436,Eastern Pahari,17,3212.0
east2328,Eastern Mari,16,45.0
east2347,Eastern Tamang,17,1864.0
east2379,Eastern Arrernte,18,720.0
east2516,East Kewa,12,1942.0
east2542,Eastern Ojibwa,14,213.0
efik1245,Efik,13,25.0
egyp1253,Egyptian Arabic,14,6.0
ejag1239,Ejagham,14,220.0
ekar1243,Ekari,9,1658.0
enap1235,Panare,18,52.0
epen1239,Epena,18,22.0
even1260,Even,18,0.0
ewee1241,Ewe,22,114.0
ewon1239,Ewondo,15,593.0
eyak1241,Eyak,18,0.0
fasu1242,Fasu,15,217.0
fefe1239,Fe'fe',12,1444.0
fiji1243,Fijian,19,151.0
finn1318,Finnish,14,66.0
fuln1247,Fulniô,16,391.0
furr1244,Fur,19,874.0
fwai1237,Fwâi,21,126.0
gaaa1244,Ga,22,94.0
gaam1241,Gaam,17,898.0
gads1258,Gadsup,9,1311.0
gali1262,Galibi Carib,12,6.0
gara1269,Garrwa,16,205.0
gbag1258,Gbagyi,12,261.0
gbay1287,Gbaya-Bossangoa,23,476.0
gily1242,Nivkh,16,365.0
gras1249,Grass Koiari,8,767.0
guah1255,Guahibo,17,88.0
guam1248,Guambiano,14,1725.0
guer1243,Guerrero Amuzgo,20,378.0
hadz1240,Hadza,12,1277.0
haka1240,Haka Chin,17,896.0
hakk1236,Hakka Chinese,8,365.0
halh1238,Halh Mongolian,18,1305.0
hame1242,Hamer-Banna,18,1012.0
haus1257,Hausa,15,600.0
hawa1245,Hawaiian,9,2020.0
hind1269,Hindi,31,416.0
hixk1239,Hixkaryána,12,341.0
hopi1249,Hopi,17,1713.0
huas1242,Huastec,10,69.0
hung1274,Hungarian,21,110.0
hupa1239,Hupa,13,123.0
iaai1238,Iaai,31,21.0
iban1264,Iban,14,121.0
igna1246,Ignaciano,12,159.0
ikkk1242,Ik,21,1739.0
indo1317,Indonesian Bajau,14,37.0
iran1263,Irántxe-Münkü,25,403.0
iraq1241,Iraqw,20,1767.0
irar1238,Irarutu,11,65.0
iris1253,Irish,46,88.0
isla1278,Island Carib,17,758.0
isok1239,Isoko,19,16.0
itel1242,West Itelmen,11,124.0
iton1250,Itonama,12,169.0
iumi1238,Iu Mien,21,1299.0
ivat1242,Itbayat,12,97.0
iwam1256,Iwam,12,26.0
izon1238,Izon,25,5.0
japr1238,Japrería,16,859.0
jaqa1244,Jaqaru,12,2766.0
java1254,Javanese,16,112.0
jebe1250,Jebero,15,242.0
jola1263,Jola-Fonyi,18,31.0
juho1239,South-Eastern Ju,56,1161.0
kaba1278,Kabardian,12,1234.0
kach1280,Southern Jinghpaw,12,147.0
kafa1242,Kafa,11,1743.0
kain1272,Kaingang,17,662.0
kala1377,Kala Lagaw Ya,14,137.0
kala1399,Kalaallisut,7,0.0
kalk1246,Kalkutung,17,435.0
kama1365,Kamang,19,839.0
karo1304,Karok,16,676.0
kash1277,Kashmiri,34,1623.0
katc1249,Katcha-Kadugli-Miri,13,473.0
kawa1283,Kawaiisu,13,1560.0
kekc1242,Kekchí,10,28.0
kera1255,Kera,14,328.0
kett1243,Ket,13,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,24,54.0
khar1287,Kharia,14,376.0
khas1269,Khasi,16,38.0
khmu1256,Khmu,28,953.0
kiow1266,Kiowa,23,450.0
kirg1245,Kirghiz,14,3699.0
klam1254,Klamath-Modoc,18,1299.0
klao1243,Klao,17,66.0
koho1244,Koho,20,871.0
kohu1244,Kohumono,18,23.0
komi1268,Komi-Zyrian,14,125.0
komo1258,Komo (Sudan),15,767.0
konk1267,Maharashtrian Konkani,24,723.0
kore1280,Korean,17,154.0
kory1246,Koryak,12,0.0
kota1263,Kota (India),14,1456.0
koya1251,Koya,12,111.0
koyr1242,Koyraboro Senni Songhai,16,261.0
kpan1246,Kpan,13,139.0
kuku1273,Kuku-Yalanji,12,236.0
kumi1248,Tipai,19,297.0
kuna1268,Kunama,15,1058.0
kuni1267,Kunimaipa,11,1857.0
kups1238,Kupsabiny,21,2719.0
kuru1302,Kurukh,18,284.0
kwai1243,Kwaio,11,564.0
kwak1269,Kwak'wala,16,112.0
kwom1262,Kwoma,14,31.0
lahu1253,Lahu,15,1476.0
lakk1238,Lakkia,37,767.0
lakk1252,Lak,15,2018.0
lako1247,Lakota,13,834.0
lave1249,Brao,17,581.0
lele1264,Lelemi,19,519.0
lena1238,Lenakel,14,219.0
libe1247,Liberia Kpelle,18,285.0
lish1246,Lishán Didán,21,1635.0
lith1251,Lithuanian,25,54.0
lowe1415,Lower Grand Valley Dani,17,2969.0
lugb1240,Lugbara,18,1225.0
luis1253,Luiseno,12,742.0
luok1236,Luo (Kenya and Tanzania),17,1467.0
lush1252,Northern Lushootseed,6,92.0
lusi1240,Lusi,11,92.0
luuu1242,Lü,14,1101.0
maba1277,Maba (Chad),15,509.0
manc1252,Manchu,13,187.0
mand1415,Mandarin Chinese,14,88.0
mapu1245,Mapudungun,16,1538.0
mara1404,Maranao,9,969.0
marg1265,Marghi Central,11,426.0
masa1300,Masai,18,1187.0
maun1240,Mawng,16,28.0
maxa1247,Maxakalí,10,294.0
mbaa1245,Mba,12,456.0
mbab1239,Mbabaram,14,341.0
mbum1254,Mbum,16,830.0
mind1253,Min Dong Chinese,11,6.0
minn1241,Min Nan Chinese,9,35.0
mode1248,Modern Greek,10,190.0
mogh1245,Mogholi,12,942.0
morb1239,Mor (Bomberai Peninsula),10,27.0
moro1285,Moro,16,745.0
movi1243,Movima,11,146.0
muin1242,Muinane,11,177.0
mull1237,Mullukmulluk,15,40.0
mund1320,Mundari,14,50.0
murl1244,Murle,13,452.0
murr1258,Murriny Patha,15,0.0
naas1242,Naasioi,8,1855.0
nama1264,Nama (Namibia),12,1170.0
nana1257,Nanai,12,34.0
nara1262,Nara,12,788.0
natu1246,Natügu,27,0.0
nava1243,Navajo,21,2140.0
naxi1245,Naxi,15,3607.0
ndut1239,Ndut,15,35.0
nene1249,Tundra Nenets,18,0.0
newa1246,Kathmandu Valley Newari,14,288.0
nezp1238,Nez Perce,15,1041.0
ngan1291,Nganasan,17,0.0
ngar1284,Ngarinyin,19,511.0
ngas1240,Ngas,20,1130.0
ngiz1242,Ngizim,14,360.0
niel1243,Niellim,19,358.0
nina1238,Ninam,17,575.0
niva1238,Nivaclé,11,209.0
nobi1240,Nobiin,10,277.0
noon1243,Noone,22,1277.0
nort1550,Taos Northern Tiwa,18,2143.0
nort2641,Northern Kurdish,26,697.0
nort2690,Northern Uzbek,13,52.0
nort2697,North Azerbaijani,14,276.0
nort2735,Northern Dong,17,512.0
nort2745,Northern Yukaghir,15,0.0
nort2815,Northeastern Dinka,22,401.0
nort2819,Northern Bobo Madaré,20,467.0
nort2938,Northern Haida,15,80.0
nort2952,Northeast Maidu,11,1271.0
nort2957,Northern Puebla Nahuatl,9,1496.0
norw1259,Norwegian Bokmål,33,20.0
nucl1235,Eastern Armenian,12,1912.0
nucl1240,Mumuye,18,543.0
nucl1301,Turkish,14,1138.0
nucl1302,Georgian,10,1338.0
nucl1310,Burmese,25,711.0
nucl1339,Temein,15,842.0
nucl1347,Wolof,25,53.0
nucl1417,Igbo,26,8.0
nucl1454,Yawa,11,852.0
nucl1620,Wahgi,13,2160.0
nucl1632,Sentani,11,74.0
nucl1633,Nimboran,10,61.0
nucl1643,Japanese,11,127.0
nucl1649,Southern-Coastal Tsimshian,15,278.0
nung1283,Nung (Viet Nam),17,703.0
nung1290,Wubuy,17,6.0
nuuc1236,Nuu-chah-nulth,13,614.0
nyah1250,Nyahkur,36,556.0
nyan1313,Nyang'i,15,1369.0
nyis1236,Nyishi-Hill Miri,15,996.0
ocai1244,Ocaina,16,114.0
ogbi1239,Ogbia,18,21.0
ormu1247,Ormuri,12,2281.0
paco1243,Pacoh,23,757.0
paez1247,Páez,16,3472.0
paiw1248,Paiwan,11,608.0
papa1238,Papantla Totonac,11,89.0
para1301,South Wa,55,1866.0
para1311,Paraguayan Guaraní,21,184.0
pech1241,Pech,19,411.0
peve1243,Peve,15,328.0
pira1253,Pirahã,3,75.0
plat1254,Plateau Malagasy,10,1653.0
pohn1238,Pohnpeian,14,537.0
popt1235,Popti',12,2060.0
pure1242,Purepecha,16,2340.0
pwon1235,Pwo Northern Karen,18,1113.0
qaqe1238,Qaqet,14,941.0
qaua1234,Central Gelao-Qau,18,1275.0
qawa1238,Qawasqar,9,80.0
quil1240,Quileute,7,16.0
quio1240,Quiotepec Chinantec,27,1441.0
resi1247,Resígaro,13,127.0
roma1327,Romanian,16,348.0
roto1249,Rotokas,6,283.0
ruka1240,Rukai,12,1689.0
russ1263,Russian,14,185.0
rutu1240,Rutul,11,1950.0
saba1265,Sa'ban,15,1002.0
sali1298,Sáliba,16,119.0
sand1273,Sandawe,14,1208.0
sang1328,Sango,17,503.0
sanm1287,San Mateo del Mar Huave,13,5.0
sanm1295,San Miguel El Grande Mixtec,13,2279.0
savo1255,Savosavo,11,365.0
seda1262,Sedang,37,1287.0
sele1250,Selepet,13,759.0
selk1253,Selkup,25,71.0
