,language,syllabic,elevation
abip1241,Abipon,5,65.0
acat1239,Acatepec Me'phaa,10,504.0
ache1246,Aché,10,158.0
achu1247,Achumawi,6,1258.0
adze1240,Adzera,7,207.0
afad1236,Afade,9,293.0
aghe1239,Aghem,10,1047.0
ahte1237,Ahtena,5,0.0
aika1237,Aikanã,10,520.0
ainu1240,Hokkaido Ainu,5,216.0
akan1250,Akan,14,166.0
akaw1239,Akawaio,10,970.0
alab1237,Alabama,3,89.0
alam1246,Alamblak,7,77.0
alaw1244,Alawa,4,147.0
aleu1260,Aleut,3,82.0
alla1248,Alladian,11,14.0
amah1246,Amahuaca,8,429.0
amas1236,Ama (Sudan),7,697.0
amel1241,Amele,5,161.0
amha1245,Amharic,7,3440.0
amoo1242,Amo,10,784.0
ando1256,Andoque,15,181.0
anga1290,Angaataha,9,1709.0
anta1253,Antakarinya,3,178.0
aona1235,Ao Naga,6,605.0
apin1244,Apinayé,17,229.0
apro1235,Aproumu Aizi,9,24.0
apuc1241,Apucikwar,8,58.0
arab1268,Arabela,7,182.0
arch1244,Archi,10,1822.0
asha1243,Asháninka,4,497.0
atay1247,Atayal,7,1882.0
avar1256,Avar,5,646.0
awng1244,Awngi,7,2024.0
baat1238,Baatonum,12,379.0
baka1277,Bakairí,12,428.0
bamb1269,Bambara,14,386.0
bard1255,Bardi,7,46.0
bash1264,Bashkir,11,231.0
basq1248,Basque,5,362.0
bata1289,Batak Toba,5,948.0
bats1242,Bats,10,1048.0
beem1239,Beembe,10,358.0
beja1238,Beja,5,348.0
bell1243,Bella Coola,3,852.0
beng1280,Bengali,14,8.0
bero1242,Berom,7,1221.0
bert1248,Berta,5,897.0
biss1248,Bissa,6,263.0
bodo1269,Bodo-Mech,6,114.0
bord1248,Border Kuna,5,460.0
boro1282,Bororo,7,180.0
bouy1240,Bouyei,11,774.0
brah1256,Brahui,9,1328.0
bret1244,Breton,20,143.0
brib1243,Bribri,9,706.0
bulg1262,Bulgarian,6,98.0
bura1267,Burarra,5,36.0
buru1296,Burushaski,5,3309.0
cacu1241,Kakua,10,155.0
cadd1256,Caddo,3,377.0
came1252,Donga Mambila,6,781.0
cams1241,Camsá,6,2387.0
carn1240,Car Nicobarese,9,30.0
cayu1262,Cayubaba,16,141.0
ceba1235,Cebaara Senoufo,12,390.0
cent1973,Central Pashto,7,1057.0
cent1989,Central Khmer,21,26.0
cent2004,Central Bai,11,3046.0
cent2050,Central Kanuri,6,314.0
cent2128,Central Siberian Yupik,4,0.0
cent2144,Central Mazahua,15,2941.0
chac1249,Cha'palaa,4,122.0
cham1312,Chamorro,6,69.0
cher1273,Cherokee,6,1159.0
chip1261,Chipewyan,14,258.0
chiq1250,Chiquihuitlán Mazatec,8,1897.0
chua1250,Chuave,5,2050.0
chua1256,Chuanqiandian Cluster Miao,10,1077.0
chuk1273,Chukchi,7,0.0
chuv1255,Chuvash,9,95.0
cofa1242,Cofán,5,342.0
copa1236,Copainalá Zoque,6,526.0
cube1242,Cubeo,12,192.0
dadi1250,Dadibi,10,1267.0
dagb1246,Dagbani,6,181.0
daha1245,Dahalo,5,20.0
dalo1238,Daloa Bété,13,234.0
dang1274,Dangaleat,7,459.0
dann1241,Dan,20,324.0
darf1239,Dar Fur Daju,6,609.0
daur1238,Dagur,7,167.0
dawr1236,Dawro,5,1936.0
dera1245,Dera (Indonesia),6,332.0
dera1248,Dera (Nigeria),11,195.0
dhuw1249,Dhuwal,3,99.0
dier1241,Dieri,3,19.0
dizi1235,Dizin,6,2094.0
doya1240,Doyayo,12,309.0
dyir1250,Dyirbal,3,858.0
east1436,Eastern Pahari,12,3212.0
east2328,Eastern Mari,8,45.0
east2347,Eastern Tamang,10,1864.0
east2379,Eastern Arrernte,3,720.0
east2516,East Kewa,5,1942.0
east2542,Eastern Ojibwa,11,213.0
efik1245,Efik,7,25.0
egyp1253,Egyptian Arabic,8,6.0
ejag1239,Ejagham,7,220.0
ekar1243,Ekari,5,1658.0
enap1235,Panare,13,52.0
epen1239,Epena,14,22.0
even1260,Even,10,0.0
ewee1241,Ewe,14,114.0
ewon1239,Ewondo,8,593.0
eyak1241,Eyak,13,0.0
fasu1242,Fasu,10,217.0
fefe1239,Fe'fe',8,1444.0
fiji1243,Fijian,11,151.0
finn1318,Finnish,8,66.0
fuln1247,Fulniô,12,391.0
furr1244,Fur,11,874.0
fwai1237,Fwâi,16,126.0
gaaa1244,Ga,12,94.0
gaam1241,Gaam,9,898.0
gads1258,Gadsup,6,1311.0
gali1262,Galibi Carib,6,6.0
gara1269,Garrwa,3,205.0
gbag1258,Gbagyi,6,261.0
gbay1287,Gbaya-Bossangoa,12,476.0
gily1242,Nivkh,7,365.0
gras1249,Grass Koiari,5,767.0
guah1255,Guahibo,12,88.0
guam1248,Guambiano,6,1725.0
guer1243,Guerrero Amuzgo,12,378.0
hadz1240,Hadza,5,1277.0
haka1240,Haka Chin,7,896.0
hakk1236,Hakka Chinese,6,365.0
halh1238,Halh Mongolian,12,1305.0
hame1242,Hamer-Banna,10,1012.0
haus1257,Hausa,7,600.0
hawa1245,Hawaiian,5,2020.0
hind1269,Hindi,21,416.0
hixk1239,Hixkaryána,5,341.0
hopi1249,Hopi,6,1713.0
huas1242,Huastec,5,69.0
hung1274,Hungarian,14,110.0
hupa1239,Hupa,7,123.0
iaai1238,Iaai,16,21.0
iban1264,Iban,6,121.0
igna1246,Ignaciano,4,159.0
ikkk1242,Ik,13,1739.0
indo1317,Indonesian Bajau,6,37.0
iran1263,Irántxe-Münkü,18,403.0
iraq1241,Iraqw,12,1767.0
irar1238,Irarutu,7,65.0
iris1253,Irish,24,88.0
isla1278,Island Carib,11,758.0
isok1239,Isoko,9,16.0
itel1242,West Itelmen,5,124.0
iton1250,Itonama,6,169.0
iumi1238,Iu Mien,8,1299.0
ivat1242,Itbayat,4,97.0
iwam1256,Iwam,6,26.0
izon1238,Izon,18,5.0
japr1238,Japrería,12,859.0
jaqa1244,Jaqaru,3,2766.0
java1254,Javanese,8,112.0
jebe1250,Jebero,4,242.0
jola1263,Jola-Fonyi,10,31.0
juho1239,South-Eastern Ju,46,1161.0
kaba1278,Kabardian,7,1234.0
kach1280,Southern Jinghpaw,5,147.0
kafa1242,Kafa,5,1743.0
kain1272,Kaingang,14,662.0
kala1377,Kala Lagaw Ya,6,137.0
kala1399,Kalaallisut,3,0.0
kalk1246,Kalkutung,3,435.0
kama1365,Kamang,12,839.0
karo1304,Karok,11,676.0
kash1277,Kashmiri,28,1623.0
katc1249,Katcha-Kadugli-Miri,5,473.0
kawa1283,Kawaiisu,6,1560.0
kekc1242,Kekchí,5,28.0
kera1255,Kera,6,328.0
kett1243,Ket,7,176.0
khan1273,Kazym-Berezover-Suryskarer Khanty,13,54.0
khar1287,Kharia,5,376.0
khas1269,Khasi,8,38.0
khmu1256,Khmu,18,953.0
kiow1266,Kiowa,20,450.0
kirg1245,Kirghiz,8,3699.0
klam1254,Klamath-Modoc,4,1299.0
klao1243,Klao,16,66.0
koho1244,Koho,10,871.0
kohu1244,Kohumono,10,23.0
komi1268,Komi-Zyrian,7,125.0
komo1258,Komo (Sudan),8,767.0
konk1267,Maharashtrian Konkani,18,723.0
kore1280,Korean,11,154.0
kory1246,Koryak,5,0.0
kota1263,Kota (India),5,1456.0
koya1251,Koya,5,111.0
koyr1242,Koyraboro Senni Songhai,9,261.0
kpan1246,Kpan,10,139.0
kuku1273,Kuku-Yalanji,3,236.0
kumi1248,Tipai,9,297.0
kuna1268,Kunama,7,1058.0
kuni1267,Kunimaipa,5,1857.0
kups1238,Kupsabiny,12,2719.0
kuru1302,Kurukh,11,284.0
kwai1243,Kwaio,5,564.0
kwak1269,Kwak'wala,6,112.0
kwom1262,Kwoma,7,31.0
lahu1253,Lahu,9,1476.0
lakk1238,Lakkia,22,767.0
lakk1252,Lak,9,2018.0
lako1247,Lakota,8,834.0
lave1249,Brao,9,581.0
lele1264,Lelemi,12,519.0
lena1238,Lenakel,6,219.0
libe1247,Liberia Kpelle,12,285.0
lish1246,Lishán Didán,16,1635.0
lith1251,Lithuanian,16,54.0
lowe1415,Lower Grand Valley Dani,12,2969.0
lugb1240,Lugbara,10,1225.0
luis1253,Luiseno,5,742.0
luok1236,Luo (Kenya and Tanzania),9,1467.0
lush1252,Northern Lushootseed,4,92.0
lusi1240,Lusi,5,92.0
luuu1242,Lü,9,1101.0
maba1277,Maba (Chad),7,509.0
manc1252,Manchu,7,187.0
mand1415,Mandarin Chinese,7,88.0
mapu1245,Mapudungun,6,1538.0
mara1404,Maranao,4,969.0
marg1265,Marghi Central,4,426.0
