Glottocode,language,syllabic,elevation
abip1241,Abipon,5,65
acat1239,Acatepec Me'phaa,10,504
ache1246,Aché,10,158
achu1247,Achumawi,6,1258
adze1240,Adzera,7,207
afad1236,Afade,9,293
aghe1239,Aghem,10,1047
ahte1237,Ahtena,5,0
aika1237,Aikanã,10,520
ainu1240,Hokkaido Ainu,5,216
akan1250,Akan,14,166
akaw1239,Akawaio,10,970
alab1237,Alabama,3,89
alam1246,Alamblak,7,77
alaw1244,Alawa,4,147
aleu1260,Aleut,3,82
alla1248,Alladian,11,14
amah1246,Amahuaca,8,429
amas1236,Ama (Sudan),7,697
amel1241,Amele,5,161
amha1245,Amharic,7,3440
amoo1242,Amo,10,784
ando1256,Andoque,15,181
anga1290,Angaataha,9,1709
anta1253,Antakarinya,3,178
aona1235,Ao Naga,6,605
apin1244,Apinayé,17,229
apro1235,Aproumu Aizi,9,24
apuc1241,Apucikwar,8,58
arab1268,Arabela,7,182
arch1244,Archi,10,1822
asha1243,Asháninka,4,497
atay1247,Atayal,7,1882
avar1256,Avar,5,646
awng1244,Awngi,7,2024
baat1238,Baatonum,12,379
baka1277,Bakairí,12,428
bamb1269,Bambara,14,386
bard1255,Bardi,7,46
bash1264,Bashkir,11,231
basq1248,Basque,5,362
bata1289,Batak Toba,5,948
bats1242,Bats,10,1048
beem1239,Beembe,10,358
beja1238,Beja,5,348
bell1243,Bella Coola,3,852
beng1280,Bengali,14,8
bero1242,Berom,7,1221
bert1248,Berta,5,897
biss1248,Bissa,6,263
bodo1269,Bodo-Mech,6,114
bord1248,Border Kuna,5,460
boro1282,Bororo,7,180
bouy1240,Bouyei,11,774
brah1256,Brahui,9,1328
bret1244,Breton,20,143
brib1243,Bribri,9,706
bulg1262,Bulgarian,6,98
bura1267,Burarra,5,36
buru1296,Burushaski,5,3309
cacu1241,Kakua,10,155
cadd1256,Caddo,3,377
came1252,Donga Mambila,6,781
cams1241,Camsá,6,2387
carn1240,Car Nicobarese,9,30
cayu1262,Cayubaba,16,141
ceba1235,Cebaara Senoufo,12,390
cent1973,Central Pashto,7,1057
cent1989,Central Khmer,21,26
cent2004,Central Bai,11,3046
cent2050,Central Kanuri,6,314
cent2128,Central Siberian Yupik,4,0
cent2144,Central Mazahua,15,2941
chac1249,Cha'palaa,4,122
cham1312,Chamorro,6,69
cher1273,Cherokee,6,1159
chip1261,Chipewyan,14,258
chiq1250,Chiquihuitlán Mazatec,8,1897
chua1250,Chuave,5,2050
chua1256,Chuanqiandian Cluster Miao,10,1077
chuk1273,Chukchi,7,0
chuv1255,Chuvash,9,95
cofa1242,Cofán,5,342
copa1236,Copainalá Zoque,6,526
cube1242,Cubeo,12,192
dadi1250,Dadibi,10,1267
dagb1246,Dagbani,6,181
daha1245,Dahalo,5,20
dalo1238,Daloa Bété,13,234
dang1274,Dangaleat,7,459
dann1241,Dan,20,324
darf1239,Dar Fur Daju,6,609
daur1238,Dagur,7,167
dawr1236,Dawro,5,1936
dera1245,Dera (Indonesia),6,332
dera1248,Dera (Nigeria),11,195
dhuw1249,Dhuwal,3,99
dier1241,Dieri,3,19
dizi1235,Dizin,6,2094
doya1240,Doyayo,12,309
dyir1250,Dyirbal,3,858
east1436,Eastern Pahari,12,3212
east2328,Eastern Mari,8,45
east2347,Eastern Tamang,10,1864
east2379,Eastern Arrernte,3,720
east2516,East Kewa,5,1942
east2542,Eastern Ojibwa,11,213
efik1245,Efik,7,25
egyp1253,Egyptian Arabic,8,6
ejag1239,Ejagham,7,220
ekar1243,Ekari,5,1658
enap1235,Panare,13,52
epen1239,Epena,14,22
even1260,Even,10,0
ewee1241,Ewe,14,114
ewon1239,Ewondo,8,593
eyak1241,Eyak,13,0
fasu1242,Fasu,10,217
fefe1239,Fe'fe',8,1444
fiji1243,Fijian,11,151
finn1318,Finnish,8,66
fuln1247,Fulniô,12,391
furr1244,Fur,11,874
fwai1237,Fwâi,16,126
gaaa1244,Ga,12,94
gaam1241,Gaam,9,898
gads1258,Gadsup,6,1311
gali1262,Galibi Carib,6,6
gara1269,Garrwa,3,205
gbag1258,Gbagyi,6,261
gbay1287,Gbaya-Bossangoa,12,476
gily1242,Nivkh,7,365
gras1249,Grass Koiari,5,767
guah1255,Guahibo,12,88
guam1248,Guambiano,6,1725
guer1243,Guerrero Amuzgo,12,378
hadz1240,Hadza,5,1277
haka1240,Haka Chin,7,896
hakk1236,Hakka Chinese,6,365
halh1238,Halh Mongolian,12,1305
hame1242,Hamer-Banna,10,1012
haus1257,Hausa,7,600
hawa1245,Hawaiian,5,2020
hind1269,Hindi,21,416
hixk1239,Hixkaryána,5,341
hopi1249,Hopi,6,1713
huas1242,Huastec,5,69
hung1274,Hungarian,14,110
hupa1239,Hupa,7,123
iaai1238,Iaai,16,21
iban1264,Iban,6,121
igna1246,Ignaciano,4,159
ikkk1242,Ik,13,1739
indo1317,Indonesian Bajau,6,37
iran1263,Irántxe-Münkü,18,403
iraq1241,Iraqw,12,1767
irar1238,Irarutu,7,65
iris1253,Irish,24,88
isla1278,Island Carib,11,758
isok1239,Isoko,9,16
itel1242,West Itelmen,5,124
iton1250,Itonama,6,169
iumi1238,Iu Mien,8,1299
ivat1242,Itbayat,4,97
iwam1256,Iwam,6,26
izon1238,Izon,18,5
japr1238,Japrería,12,859
jaqa1244,Jaqaru,3,2766
java1254,Javanese,8,112
jebe1250,Jebero,4,242
jola1263,Jola-Fonyi,10,31
juho1239,South-Eastern Ju,46,1161
kaba1278,Kabardian,7,1234
kach1280,Southern Jinghpaw,5,147
kafa1242,Kafa,5,1743
kain1272,Kaingang,14,662
kala1377,Kala Lagaw Ya,6,137
kala1399,Kalaallisut,3,0
kalk1246,Kalkutung,3,435
kama1365,Kamang,12,839
karo1304,Karok,11,676
kash1277,Kashmiri,28,1623
katc1249,Katcha-Kadugli-Miri,5,473
kawa1283,Kawaiisu,6,1560
kekc1242,Kekchí,5,28
kera1255,Kera,6,328
kett1243,Ket,7,176
khan1273,Kazym-Berezover-Suryskarer Khanty,13,54
khar1287,Kharia,5,376
khas1269,Khasi,8,38
khmu1256,Khmu,18,953
kiow1266,Kiowa,20,450
kirg1245,Kirghiz,8,3699
klam1254,Klamath-Modoc,4,1299
klao1243,Klao,16,66
koho1244,Koho,10,871
kohu1244,Kohumono,10,23
komi1268,Komi-Zyrian,7,125
komo1258,Komo (Sudan),8,767
konk1267,Maharashtrian Konkani,18,723
kore1280,Korean,11,154
kory1246,Koryak,5,0
kota1263,Kota (India),5,1456
koya1251,Koya,5,111
koyr1242,Koyraboro Senni Songhai,9,261
kpan1246,Kpan,10,139
kuku1273,Kuku-Yalanji,3,236
kumi1248,Tipai,9,297
kuna1268,Kunama,7,1058
kuni1267,Kunimaipa,5,1857
kups1238,Kupsabiny,12,2719
kuru1302,Kurukh,11,284
kwai1243,Kwaio,5,564
kwak1269,Kwak'wala,6,112
kwom1262,Kwoma,7,31
lahu1253,Lahu,9,1476
lakk1238,Lakkia,22,767
lakk1252,Lak,9,2018
lako1247,Lakota,8,834
lave1249,Brao,9,581
lele1264,Lelemi,12,519
lena1238,Lenakel,6,219
libe1247,Liberia Kpelle,12,285
lish1246,Lishán Didán,16,1635
lith1251,Lithuanian,16,54
lowe1415,Lower Grand Valley Dani,12,2969
lugb1240,Lugbara,10,1225
luis1253,Luiseno,5,742
luok1236,Luo (Kenya and Tanzania),9,1467
lush1252,Northern Lushootseed,4,92
lusi1240,Lusi,5,92
luuu1242,Lü,9,1101
maba1277,Maba (Chad),7,509
manc1252,Manchu,7,187
mand1415,Mandarin Chinese,7,88
mapu1245,Mapudungun,6,1538
mara1404,Maranao,4,969
marg1265,Marghi Central,4,426
masa1300,Masai,9,1187
maun1240,Mawng,5,28
maxa1247,Maxakalí,10,294
mbaa1245,Mba,7,456
mbab1239,Mbabaram,4,341
mbum1254,Mbum,8,830
mind1253,Min Dong Chinese,7,6
minn1241,Min Nan Chinese,6,35
mode1248,Modern Greek,5,190
mogh1245,Mogholi,5,942
morb1239,Mor (Bomberai Peninsula),5,27
moro1285,Moro,7,745
movi1243,Movima,5,146
muin1242,Muinane,6,177
mull1237,Mullukmulluk,5,40
mund1320,Mundari,5,50
murl1244,Murle,5,452
murr1258,Murriny Patha,4,0
naas1242,Naasioi,5,1855
nama1264,Nama (Namibia),9,1170
nana1257,Nanai,6,34
nara1262,Nara,5,788
natu1246,Natügu,17,0
nava1243,Navajo,16,2140
naxi1245,Naxi,11,3607
ndut1239,Ndut,7,35
nene1249,Tundra Nenets,8,0
newa1246,Kathmandu Valley Newari,8,288
nezp1238,Nez Perce,5,1041
ngan1291,Nganasan,9,0
ngar1284,Ngarinyin,6,511
ngas1240,Ngas,11,1130
ngiz1242,Ngizim,6,360
niel1243,Niellim,13,358
nina1238,Ninam,12,575
niva1238,Nivaclé,6,209
nobi1240,Nobiin,5,277
noon1243,Noone,14,1277
nort1550,Taos Northern Tiwa,12,2143
nort2641,Northern Kurdish,17,697
nort2690,Northern Uzbek,6,52
nort2697,North Azerbaijani,9,276
nort2735,Northern Dong,7,512
nort2745,Northern Yukaghir,6,0
nort2815,Northeastern Dinka,13,401
nort2819,Northern Bobo Madaré,12,467
