,language,tap,elevation
ache1246,Aché,1,158
aika1237,Aikanã,1,520
ainu1240,Hokkaido Ainu,1,216
alam1246,Alamblak,1,77
alla1248,Alladian,1,14
amah1246,Amahuaca,1,429
amas1236,Ama (Sudan),1,697
amha1245,Amharic,1,3440
anga1290,Angaataha,1,1709
anta1253,Antakarinya,1,178
apin1244,Apinayé,1,229
asha1243,Asháninka,1,497
atay1247,Atayal,1,1882
awng1244,Awngi,1,2024
baat1238,Baatonum,1,379
bamb1269,Bambara,1,386
basq1248,Basque,1,362
beng1280,Bengali,2,8
bodo1269,Bodo-Mech,1,114
bord1248,Border Kuna,1,460
brah1256,Brahui,1,1328
bura1267,Burarra,1,36
cams1241,Camsá,1,2387
carn1240,Car Nicobarese,1,30
cayu1262,Cayubaba,1,141
cent1973,Central Pashto,1,1057
cent1989,Central Khmer,1,26
cent2050,Central Kanuri,1,314
chua1250,Chuave,1,2050
cube1242,Cubeo,1,192
dadi1250,Dadibi,1,1267
darf1239,Dar Fur Daju,1,609
dhuw1249,Dhuwal,1,99
dier1241,Dieri,1,19
east1436,Eastern Pahari,1,3212
east2328,Eastern Mari,1,45
east2379,Eastern Arrernte,1,720
east2516,East Kewa,2,1942
ejag1239,Ejagham,1,220
epen1239,Epena,1,22
ewee1241,Ewe,1,114
fasu1242,Fasu,1,217
gali1262,Galibi Carib,1,6
gbag1258,Gbagyi,1,261
gbay1287,Gbaya-Bossangoa,2,476
gras1249,Grass Koiari,1,767
guam1248,Guambiano,1,1725
guer1243,Guerrero Amuzgo,1,378
hame1242,Hamer-Banna,1,1012
haus1257,Hausa,1,600
hind1269,Hindi,1,416
hixk1239,Hixkaryána,2,341
igna1246,Ignaciano,1,159
iran1263,Irántxe-Münkü,1,403
irar1238,Irarutu,1,65
iris1253,Irish,4,88
isla1278,Island Carib,1,758
isok1239,Isoko,1,16
iton1250,Itonama,1,169
izon1238,Izon,1,5
japr1238,Japrería,1,859
jaqa1244,Jaqaru,1,2766
jebe1250,Jebero,2,242
jola1263,Jola-Fonyi,1,31
juho1239,South-Eastern Ju,1,1161
kalk1246,Kalkutung,1,435
karo1304,Karok,1,676
kawa1283,Kawaiisu,1,1560
khar1287,Kharia,2,376
konk1267,Maharashtrian Konkani,1,723
kota1263,Kota (India),1,1456
koya1251,Koya,1,111
kuni1267,Kunimaipa,1,1857
kups1238,Kupsabiny,1,2719
kwom1262,Kwoma,1,31
lave1249,Brao,1,581
lena1238,Lenakel,1,219
libe1247,Liberia Kpelle,1,285
lish1246,Lishán Didán,1,1635
lugb1240,Lugbara,1,1225
luok1236,Luo (Kenya and Tanzania),1,1467
lusi1240,Lusi,1,92
mara1404,Maranao,1,969
masa1300,Masai,1,1187
maun1240,Mawng,1,28
mbab1239,Mbabaram,1,341
mode1248,Modern Greek,1,190
moro1285,Moro,1,745
movi1243,Movima,1,146
murr1258,Murriny Patha,1,0
naas1242,Naasioi,1,1855
ngar1284,Ngarinyin,1,511
ngiz1242,Ngizim,1,360
niel1243,Niellim,1,358
nina1238,Ninam,1,575
nort2641,Northern Kurdish,1,697
nort2690,Northern Uzbek,1,52
nort2697,North Azerbaijani,1,276
nort2819,Northern Bobo Madaré,1,467
norw1259,Norwegian Bokmål,1,20
nucl1347,Wolof,1,53
nucl1417,Igbo,2,8
nucl1454,Yawa,1,852
nucl1643,Japanese,1,127
ocai1244,Ocaina,1,114
paez1247,Páez,3,3472
paiw1248,Paiwan,1,608
para1311,Paraguayan Guaraní,1,184
pech1241,Pech,1,411
peve1243,Peve,1,328
popt1235,Popti',1,2060
qaqe1238,Qaqet,1,941
qawa1238,Qawasqar,1,80
roto1249,Rotokas,1,283
saba1265,Sa'ban,1,1002
sali1298,Sáliba,1,119
sand1273,Sandawe,1,1208
sang1328,Sango,1,503
sanm1287,San Mateo del Mar Huave,1,5
savo1255,Savosavo,1,365
sele1250,Selepet,1,759
shua1257,Shuar,1,1256
sinh1246,Sinhala,1,51
siri1273,Sirionó,1,182
soma1255,Somali,1,211
sout2982,Southeastern Pomo,1,439
sout2991,South Bolivian Quechua,1,4156
sout2994,Southern Nambikuára,2,687
stan1288,Spanish,1,1202
suen1241,Suena,1,68
taca1256,Tacana,2,207
taga1270,Tagalog,1,93
tama1331,Tama (Chad),1,1045
tamn1235,Tamnim Citak,1,19
telu1262,Telugu,1,440
thai1261,Thai,1,3
ticu1245,Ticuna,1,150
tiwi1244,Tiwi,1,74
toho1245,Tohono O'odham,1,640
toro1252,Toro So Dogon,1,279
tzel1254,Tzeltal,1,2091
waim1251,Waima,1,9
waim1255,Waimaha,1,167
wang1291,Ngiyambaa,1,153
wapi1253,Wapishana,1,130
wara1303,Warao,1,26
wayu1243,Wayuu,1,37
west2632,Western Keres,2,1852
west2650,Western Cham,1,35
yagu1244,Yagua,1,97
yane1238,Yanesha',1,2474
yany1243,Yanyuwa,1,57
yaqu1251,Yaqui,1,788
yare1248,Yareba,1,223
yoru1245,Yoruba,1,105
yucu1253,Yucuna,2,164
zand1248,Zande,1,638
0,Afade,0,293
1,Achumawi,0,1258
2,Adzera,0,207
3,Amele,0,161
4,Aghem,0,1047
5,Aproumu Aizi,0,24
6,Ahtena,0,0
7,Akan,0,166
8,Akawaio,0,970
9,Alabama,0,89
10,Aleut,0,82
11,Alawa,0,147
12,Northern Tosk Albanian,0,88
13,Amo,0,784
14,Ngas,0,1130
15,Andoque,0,181
16,Apucikwar,0,58
17,Archi,0,1822
18,Arabela,0,182
19,Mapudungun,0,1538
20,Egyptian Arabic,0,6
21,Waorani,0,259
22,Avar,0,646
23,Abipon,0,65
24,Bashkir,0,231
25,Batak Toba,0,948
26,Bats,0,1048
27,Central Bai,0,3046
28,Bardi,0,46
29,Kohumono,0,23
30,Indonesian Bajau,0,37
31,Tweed-Albert,0,51
32,Beja,0,348
33,Beembe,0,358
34,Daloa Bété,0,234
35,Bissa,0,263
36,Bakairí,0,428
37,Bella Coola,0,852
38,Muinane,0,177
39,Berom,0,1221
40,Bororo,0,180
41,Breton,0,143
42,Western Bru,0,161
43,Burushaski,0,3309
44,Bulgarian,0,98
45,Bribri,0,706
46,Caddo,0,377
47,Nivaclé,0,209
48,Cha'palaa,0,122
