Glottocode,language,tense,elevation
abip1241,Abipon,4,65
acat1239,Acatepec Me'phaa,6,504
ache1246,Aché,4,158
achu1247,Achumawi,4,1258
adze1240,Adzera,5,207
afad1236,Afade,7,293
aghe1239,Aghem,6,1047
ahte1237,Ahtena,5,0
aika1237,Aikanã,6,520
ainu1240,Hokkaido Ainu,4,216
akan1250,Akan,8,166
akaw1239,Akawaio,7,970
alab1237,Alabama,4,89
alam1246,Alamblak,5,77
alaw1244,Alawa,2,147
aleu1260,Aleut,6,82
alla1248,Alladian,7,14
amah1246,Amahuaca,4,429
amas1236,Ama (Sudan),6,697
amel1241,Amele,3,161
amha1245,Amharic,5,3440
amoo1242,Amo,6,784
ando1256,Andoque,4,181
anga1290,Angaataha,6,1709
anta1253,Antakarinya,4,178
aona1235,Ao Naga,7,605
apin1244,Apinayé,10,229
apro1235,Aproumu Aizi,6,24
apuc1241,Apucikwar,4,58
arab1268,Arabela,6,182
arch1244,Archi,6,1822
asha1243,Asháninka,4,497
atay1247,Atayal,6,1882
avar1256,Avar,4,646
awng1244,Awngi,5,2024
baat1238,Baatonum,8,379
baka1277,Bakairí,11,428
bamb1269,Bambara,10,386
bard1255,Bardi,6,46
bash1264,Bashkir,5,231
basq1248,Basque,1,362
bata1289,Batak Toba,4,948
bats1242,Bats,8,1048
beem1239,Beembe,4,358
beja1238,Beja,4,348
bell1243,Bella Coola,2,852
beng1280,Bengali,2,8
bero1242,Berom,6,1221
bert1248,Berta,4,897
biss1248,Bissa,6,263
bodo1269,Bodo-Mech,5,114
bord1248,Border Kuna,4,460
boro1282,Bororo,5,180
bouy1240,Bouyei,8,774
brah1256,Brahui,7,1328
bret1244,Breton,7,143
brib1243,Bribri,5,706
bulg1262,Bulgarian,4,98
bura1267,Burarra,4,36
buru1296,Burushaski,4,3309
cacu1241,Kakua,8,155
cadd1256,Caddo,2,377
came1252,Donga Mambila,6,781
cams1241,Camsá,5,2387
carn1240,Car Nicobarese,8,30
cayu1262,Cayubaba,8,141
ceba1235,Cebaara Senoufo,8,390
cent1973,Central Pashto,4,1057
cent1989,Central Khmer,8,26
cent2004,Central Bai,8,3046
cent2050,Central Kanuri,5,314
cent2128,Central Siberian Yupik,3,0
cent2144,Central Mazahua,14,2941
chac1249,Cha'palaa,3,122
cham1312,Chamorro,4,69
cher1273,Cherokee,4,1159
chip1261,Chipewyan,11,258
chiq1250,Chiquihuitlán Mazatec,5,1897
chua1250,Chuave,4,2050
chua1256,Chuanqiandian Cluster Miao,5,1077
chuk1273,Chukchi,4,0
chuv1255,Chuvash,7,95
cofa1242,Cofán,5,342
copa1236,Copainalá Zoque,4,526
cube1242,Cubeo,6,192
dadi1250,Dadibi,6,1267
dagb1246,Dagbani,4,181
daha1245,Dahalo,4,20
dalo1238,Daloa Bété,9,234
dang1274,Dangaleat,6,459
dann1241,Dan,10,324
darf1239,Dar Fur Daju,4,609
daur1238,Dagur,6,167
dawr1236,Dawro,4,1936
dera1245,Dera (Indonesia),4,332
dera1248,Dera (Nigeria),7,195
dhuw1249,Dhuwal,2,99
dier1241,Dieri,4,19
dizi1235,Dizin,4,2094
doya1240,Doyayo,8,309
dyir1250,Dyirbal,4,858
east1436,Eastern Pahari,4,3212
east2328,Eastern Mari,5,45
east2347,Eastern Tamang,10,1864
east2379,Eastern Arrernte,5,720
east2516,East Kewa,4,1942
east2542,Eastern Ojibwa,4,213
efik1245,Efik,6,25
egyp1253,Egyptian Arabic,6,6
ejag1239,Ejagham,5,220
