Glottocode,language,approximant,elevation
abip1241,Abipon,9,65
acat1239,Acatepec Me'phaa,14,504
ache1246,Aché,11,158
achu1247,Achumawi,10,1258
adze1240,Adzera,10,207
afad1236,Afade,13,293
aghe1239,Aghem,13,1047
ahte1237,Ahtena,7,0
aika1237,Aikanã,13,520
ainu1240,Hokkaido Ainu,8,216
akan1250,Akan,17,166
akaw1239,Akawaio,13,970
alab1237,Alabama,6,89
alam1246,Alamblak,10,77
alaw1244,Alawa,11,147
aleu1260,Aleut,7,82
alla1248,Alladian,16,14
amah1246,Amahuaca,11,429
amas1236,Ama (Sudan),12,697
amel1241,Amele,7,161
amha1245,Amharic,11,3440
amoo1242,Amo,14,784
ando1256,Andoque,16,181
anga1290,Angaataha,12,1709
anta1253,Antakarinya,10,178
aona1235,Ao Naga,10,605
apin1244,Apinayé,18,229
apro1235,Aproumu Aizi,12,24
apuc1241,Apucikwar,12,58
arab1268,Arabela,10,182
arch1244,Archi,14,1822
asha1243,Asháninka,6,497
atay1247,Atayal,11,1882
avar1256,Avar,9,646
awng1244,Awngi,11,2024
baat1238,Baatonum,16,379
baka1277,Bakairí,16,428
bamb1269,Bambara,18,386
bard1255,Bardi,14,46
bash1264,Bashkir,15,231
basq1248,Basque,9,362
bata1289,Batak Toba,9,948
bats1242,Bats,13,1048
beem1239,Beembe,11,358
beja1238,Beja,9,348
bell1243,Bella Coola,6,852
beng1280,Bengali,17,8
bero1242,Berom,11,1221
bert1248,Berta,9,897
biss1248,Bissa,10,263
bodo1269,Bodo-Mech,9,114
bord1248,Border Kuna,9,460
boro1282,Bororo,10,180
bouy1240,Bouyei,15,774
brah1256,Brahui,12,1328
bret1244,Breton,24,143
brib1243,Bribri,12,706
bulg1262,Bulgarian,11,98
bura1267,Burarra,11,36
buru1296,Burushaski,9,3309
cacu1241,Kakua,12,155
cadd1256,Caddo,5,377
came1252,Donga Mambila,9,781
cams1241,Camsá,11,2387
carn1240,Car Nicobarese,14,30
cayu1262,Cayubaba,19,141
ceba1235,Cebaara Senoufo,15,390
cent1973,Central Pashto,12,1057
cent1989,Central Khmer,25,26
cent2004,Central Bai,13,3046
cent2050,Central Kanuri,11,314
cent2128,Central Siberian Yupik,9,0
cent2144,Central Mazahua,22,2941
chac1249,Cha'palaa,9,122
cham1312,Chamorro,10,69
cher1273,Cherokee,9,1159
chip1261,Chipewyan,18,258
chiq1250,Chiquihuitlán Mazatec,11,1897
chua1250,Chuave,8,2050
chua1256,Chuanqiandian Cluster Miao,13,1077
chuk1273,Chukchi,9,0
chuv1255,Chuvash,13,95
cofa1242,Cofán,9,342
copa1236,Copainalá Zoque,9,526
cube1242,Cubeo,13,192
dadi1250,Dadibi,13,1267
dagb1246,Dagbani,9,181
daha1245,Dahalo,9,20
dalo1238,Daloa Bété,17,234
dang1274,Dangaleat,11,459
dann1241,Dan,23,324
darf1239,Dar Fur Daju,11,609
daur1238,Dagur,11,167
dawr1236,Dawro,9,1936
dera1245,Dera (Indonesia),8,332
dera1248,Dera (Nigeria),16,195
dhuw1249,Dhuwal,10,99
dier1241,Dieri,12,19
dizi1235,Dizin,10,2094
doya1240,Doyayo,16,309
dyir1250,Dyirbal,8,858
east1436,Eastern Pahari,14,3212
east2328,Eastern Mari,12,45
east2347,Eastern Tamang,14,1864
east2379,Eastern Arrernte,12,720
