Glottocode,language,consonantal,elevation
abip1241,Abipon,12,65
acat1239,Acatepec Me'phaa,17,504
ache1246,Aché,11,158
achu1247,Achumawi,14,1258
adze1240,Adzera,15,207
afad1236,Afade,24,293
aghe1239,Aghem,23,1047
ahte1237,Ahtena,26,0
aika1237,Aikanã,19,520
ainu1240,Hokkaido Ainu,8,216
akan1250,Akan,18,166
akaw1239,Akawaio,11,970
alab1237,Alabama,11,89
alam1246,Alamblak,16,77
alaw1244,Alawa,19,147
aleu1260,Aleut,19,82
alla1248,Alladian,21,14
amah1246,Amahuaca,11,429
amas1236,Ama (Sudan),16,697
amel1241,Amele,13,161
amha1245,Amharic,26,3440
amoo1242,Amo,22,784
ando1256,Andoque,10,181
anga1290,Angaataha,10,1709
anta1253,Antakarinya,15,178
aona1235,Ao Naga,12,605
apin1244,Apinayé,13,229
apro1235,Aproumu Aizi,22,24
apuc1241,Apucikwar,13,58
arab1268,Arabela,8,182
arch1244,Archi,78,1822
asha1243,Asháninka,13,497
atay1247,Atayal,17,1882
avar1256,Avar,41,646
awng1244,Awngi,26,2024
baat1238,Baatonum,15,379
baka1277,Bakairí,14,428
bamb1269,Bambara,18,386
bard1255,Bardi,15,46
bash1264,Bashkir,24,231
basq1248,Basque,23,362
bata1289,Batak Toba,13,948
bats1242,Bats,33,1048
beem1239,Beembe,15,358
beja1238,Beja,18,348
bell1243,Bella Coola,25,852
beng1280,Bengali,28,8
bero1242,Berom,19,1221
bert1248,Berta,21,897
biss1248,Bissa,16,263
bodo1269,Bodo-Mech,13,114
bord1248,Border Kuna,14,460
boro1282,Bororo,11,180
bouy1240,Bouyei,20,774
brah1256,Brahui,23,1328
bret1244,Breton,22,143
brib1243,Bribri,16,706
bulg1262,Bulgarian,35,98
bura1267,Burarra,14,36
buru1296,Burushaski,35,3309
cacu1241,Kakua,9,155
cadd1256,Caddo,17,377
came1252,Donga Mambila,16,781
cams1241,Camsá,20,2387
carn1240,Car Nicobarese,13,30
cayu1262,Cayubaba,14,141
ceba1235,Cebaara Senoufo,22,390
cent1973,Central Pashto,28,1057
cent1989,Central Khmer,18,26
cent2004,Central Bai,17,3046
cent2050,Central Kanuri,20,314
cent2128,Central Siberian Yupik,28,0
cent2144,Central Mazahua,38,2941
chac1249,Cha'palaa,21,122
cham1312,Chamorro,17,69
cher1273,Cherokee,8,1159
chip1261,Chipewyan,36,258
chiq1250,Chiquihuitlán Mazatec,23,1897
chua1250,Chuave,10,2050
chua1256,Chuanqiandian Cluster Miao,44,1077
chuk1273,Chukchi,13,0
chuv1255,Chuvash,19,95
cofa1242,Cofán,26,342
copa1236,Copainalá Zoque,13,526
cube1242,Cubeo,11,192
dadi1250,Dadibi,10,1267
dagb1246,Dagbani,21,181
daha1245,Dahalo,51,20
dalo1238,Daloa Bété,21,234
dang1274,Dangaleat,19,459
dann1241,Dan,17,324
darf1239,Dar Fur Daju,21,609
daur1238,Dagur,20,167
dawr1236,Dawro,21,1936
dera1245,Dera (Indonesia),9,332
dera1248,Dera (Nigeria),20,195
dhuw1249,Dhuwal,18,99
dier1241,Dieri,20,19
dizi1235,Dizin,21,2094
doya1240,Doyayo,19,309
dyir1250,Dyirbal,11,858
east1436,Eastern Pahari,26,3212
east2328,Eastern Mari,24,45
east2347,Eastern Tamang,16,1864
east2379,Eastern Arrernte,24,720
east2516,East Kewa,13,1942
east2542,Eastern Ojibwa,16,213
efik1245,Efik,11,25
egyp1253,Egyptian Arabic,24,6
ejag1239,Ejagham,18,220
ekar1243,Ekari,8,1658
enap1235,Panare,10,52
epen1239,Epena,14,22
even1260,Even,15,0
ewee1241,Ewe,24,114
ewon1239,Ewondo,24,593
eyak1241,Eyak,29,0
fasu1242,Fasu,8,217
fefe1239,Fe'fe',15,1444
fiji1243,Fijian,17,151
finn1318,Finnish,15,66
fuln1247,Fulniô,17,391
furr1244,Fur,16,874
fwai1237,Fwâi,17,126
gaaa1244,Ga,25,94
gaam1241,Gaam,21,898
gads1258,Gadsup,8,1311
gali1262,Galibi Carib,13,6
gara1269,Garrwa,17,205
gbag1258,Gbagyi,17,261
gbay1287,Gbaya-Bossangoa,28,476
gily1242,Nivkh,25,365
gras1249,Grass Koiari,10,767
guah1255,Guahibo,15,88
guam1248,Guambiano,16,1725
guer1243,Guerrero Amuzgo,22,378
hadz1240,Hadza,54,1277
haka1240,Haka Chin,40,896
hakk1236,Hakka Chinese,14,365
halh1238,Halh Mongolian,20,1305
hame1242,Hamer-Banna,22,1012
haus1257,Hausa,27,600
hawa1245,Hawaiian,6,2020
hind1269,Hindi,37,416
hixk1239,Hixkaryána,15,341
hopi1249,Hopi,17,1713
huas1242,Huastec,18,69
hung1274,Hungarian,23,110
hupa1239,Hupa,24,123
iaai1238,Iaai,32,21
iban1264,Iban,16,121
igna1246,Ignaciano,18,159
ikkk1242,Ik,28,1739
indo1317,Indonesian Bajau,23,37
iran1263,Irántxe-Münkü,17,403
iraq1241,Iraqw,30,1767
irar1238,Irarutu,11,65
iris1253,Irish,42,88
isla1278,Island Carib,13,758
isok1239,Isoko,24,16
itel1242,West Itelmen,27,124
iton1250,Itonama,16,169
iumi1238,Iu Mien,28,1299
ivat1242,Itbayat,16,97
iwam1256,Iwam,8,26
izon1238,Izon,17,5
japr1238,Japrería,10,859
jaqa1244,Jaqaru,34,2766
java1254,Javanese,14,112
jebe1250,Jebero,16,242
jola1263,Jola-Fonyi,16,31
juho1239,South-Eastern Ju,92,1161
kaba1278,Kabardian,46,1234
kach1280,Southern Jinghpaw,22,147
kafa1242,Kafa,19,1743
kain1272,Kaingang,10,662
kala1377,Kala Lagaw Ya,16,137
kala1399,Kalaallisut,19,0
kalk1246,Kalkutung,18,435
