Glottocode,language,continuant,elevation
abip1241,Abipon,12,65
acat1239,Acatepec Me'phaa,18,504
ache1246,Aché,12,158
achu1247,Achumawi,15,1258
adze1240,Adzera,13,207
afad1236,Afade,18,293
aghe1239,Aghem,17,1047
ahte1237,Ahtena,15,0
aika1237,Aikanã,18,520
ainu1240,Hokkaido Ainu,10,216
akan1250,Akan,21,166
akaw1239,Akawaio,15,970
alab1237,Alabama,10,89
alam1246,Alamblak,14,77
alaw1244,Alawa,11,147
aleu1260,Aleut,17,82
alla1248,Alladian,23,14
amah1246,Amahuaca,15,429
amas1236,Ama (Sudan),13,697
amel1241,Amele,11,161
amha1245,Amharic,19,3440
amoo1242,Amo,20,784
ando1256,Andoque,18,181
anga1290,Angaataha,12,1709
anta1253,Antakarinya,10,178
aona1235,Ao Naga,12,605
apin1244,Apinayé,21,229
apro1235,Aproumu Aizi,18,24
apuc1241,Apucikwar,12,58
arab1268,Arabela,13,182
arch1244,Archi,46,1822
asha1243,Asháninka,10,497
atay1247,Atayal,17,1882
avar1256,Avar,23,646
awng1244,Awngi,15,2024
baat1238,Baatonum,20,379
baka1277,Bakairí,21,428
bamb1269,Bambara,23,386
bard1255,Bardi,14,46
bash1264,Bashkir,25,231
basq1248,Basque,14,362
bata1289,Batak Toba,11,948
bats1242,Bats,24,1048
beem1239,Beembe,15,358
beja1238,Beja,13,348
bell1243,Bella Coola,13,852
beng1280,Bengali,20,8
bero1242,Berom,16,1221
bert1248,Berta,15,897
biss1248,Bissa,14,263
bodo1269,Bodo-Mech,12,114
bord1248,Border Kuna,10,460
boro1282,Bororo,10,180
bouy1240,Bouyei,19,774
brah1256,Brahui,20,1328
bret1244,Breton,33,143
brib1243,Bribri,16,706
bulg1262,Bulgarian,22,98
bura1267,Burarra,11,36
buru1296,Burushaski,18,3309
cacu1241,Kakua,14,155
cadd1256,Caddo,8,377
came1252,Donga Mambila,12,781
cams1241,Camsá,16,2387
carn1240,Car Nicobarese,17,30
cayu1262,Cayubaba,23,141
ceba1235,Cebaara Senoufo,21,390
cent1973,Central Pashto,23,1057
cent1989,Central Khmer,27,26
cent2004,Central Bai,18,3046
cent2050,Central Kanuri,17,314
cent2128,Central Siberian Yupik,22,0
cent2144,Central Mazahua,30,2941
chac1249,Cha'palaa,13,122
cham1312,Chamorro,13,69
cher1273,Cherokee,11,1159
chip1261,Chipewyan,28,258
chiq1250,Chiquihuitlán Mazatec,17,1897
chua1250,Chuave,10,2050
chua1256,Chuanqiandian Cluster Miao,21,1077
chuk1273,Chukchi,13,0
chuv1255,Chuvash,20,95
cofa1242,Cofán,16,342
copa1236,Copainalá Zoque,11,526
cube1242,Cubeo,16,192
dadi1250,Dadibi,15,1267
dagb1246,Dagbani,14,181
daha1245,Dahalo,19,20
dalo1238,Daloa Bété,21,234
dang1274,Dangaleat,13,459
dann1241,Dan,27,324
darf1239,Dar Fur Daju,15,609
daur1238,Dagur,16,167
dawr1236,Dawro,14,1936
dera1245,Dera (Indonesia),8,332
dera1248,Dera (Nigeria),18,195
dhuw1249,Dhuwal,10,99
dier1241,Dieri,12,19
dizi1235,Dizin,17,2094
doya1240,Doyayo,21,309
dyir1250,Dyirbal,8,858
east1436,Eastern Pahari,16,3212
east2328,Eastern Mari,22,45
east2347,Eastern Tamang,16,1864
east2379,Eastern Arrernte,12,720
east2516,East Kewa,12,1942
east2542,Eastern Ojibwa,16,213
efik1245,Efik,11,25
