Glottocode,language,dorsal,elevation
abip1241,Abipon,12,65
acat1239,Acatepec Me'phaa,14,504
ache1246,Aché,12,158
achu1247,Achumawi,12,1258
adze1240,Adzera,12,207
afad1236,Afade,18,293
aghe1239,Aghem,19,1047
ahte1237,Ahtena,17,0
aika1237,Aikanã,14,520
ainu1240,Hokkaido Ainu,8,216
akan1250,Akan,25,166
akaw1239,Akawaio,14,970
alab1237,Alabama,6,89
alam1246,Alamblak,12,77
alaw1244,Alawa,9,147
aleu1260,Aleut,15,82
alla1248,Alladian,21,14
amah1246,Amahuaca,12,429
amas1236,Ama (Sudan),14,697
amel1241,Amele,10,161
amha1245,Amharic,16,3440
amoo1242,Amo,18,784
ando1256,Andoque,16,181
anga1290,Angaataha,14,1709
anta1253,Antakarinya,7,178
aona1235,Ao Naga,11,605
apin1244,Apinayé,20,229
apro1235,Aproumu Aizi,19,24
apuc1241,Apucikwar,14,58
arab1268,Arabela,10,182
arch1244,Archi,44,1822
asha1243,Asháninka,6,497
atay1247,Atayal,15,1882
avar1256,Avar,19,646
awng1244,Awngi,19,2024
baat1238,Baatonum,18,379
baka1277,Bakairí,16,428
bamb1269,Bambara,20,386
bard1255,Bardi,11,46
bash1264,Bashkir,19,231
basq1248,Basque,12,362
bata1289,Batak Toba,11,948
bats1242,Bats,20,1048
beem1239,Beembe,11,358
beja1238,Beja,11,348
bell1243,Bella Coola,17,852
beng1280,Bengali,20,8
bero1242,Berom,16,1221
bert1248,Berta,11,897
biss1248,Bissa,12,263
bodo1269,Bodo-Mech,10,114
bord1248,Border Kuna,11,460
boro1282,Bororo,11,180
bouy1240,Bouyei,19,774
brah1256,Brahui,13,1328
bret1244,Breton,31,143
brib1243,Bribri,15,706
bulg1262,Bulgarian,26,98
bura1267,Burarra,11,36
buru1296,Burushaski,15,3309
cacu1241,Kakua,14,155
cadd1256,Caddo,8,377
came1252,Donga Mambila,11,781
cams1241,Camsá,13,2387
carn1240,Car Nicobarese,13,30
cayu1262,Cayubaba,19,141
ceba1235,Cebaara Senoufo,24,390
cent1973,Central Pashto,13,1057
cent1989,Central Khmer,29,26
cent2004,Central Bai,16,3046
cent2050,Central Kanuri,11,314
cent2128,Central Siberian Yupik,21,0
cent2144,Central Mazahua,32,2941
chac1249,Cha'palaa,9,122
cham1312,Chamorro,12,69
cher1273,Cherokee,9,1159
chip1261,Chipewyan,26,258
chiq1250,Chiquihuitlán Mazatec,12,1897
chua1250,Chuave,9,2050
chua1256,Chuanqiandian Cluster Miao,20,1077
chuk1273,Chukchi,14,0
chuv1255,Chuvash,15,95
cofa1242,Cofán,17,342
copa1236,Copainalá Zoque,11,526
cube1242,Cubeo,14,192
dadi1250,Dadibi,14,1267
dagb1246,Dagbani,14,181
daha1245,Dahalo,17,20
dalo1238,Daloa Bété,25,234
dang1274,Dangaleat,16,459
dann1241,Dan,26,324
darf1239,Dar Fur Daju,16,609
daur1238,Dagur,13,167
dawr1236,Dawro,10,1936
