Glottocode,language,labial,elevation
abip1241,Abipon,4,65
acat1239,Acatepec Me'phaa,9,504
ache1246,Aché,8,158
achu1247,Achumawi,5,1258
adze1240,Adzera,6,207
afad1236,Afade,12,293
aghe1239,Aghem,12,1047
ahte1237,Ahtena,5,0
aika1237,Aikanã,9,520
ainu1240,Hokkaido Ainu,5,216
akan1250,Akan,15,166
akaw1239,Akawaio,6,970
alab1237,Alabama,6,89
alam1246,Alamblak,7,77
alaw1244,Alawa,4,147
aleu1260,Aleut,5,82
alla1248,Alladian,13,14
amah1246,Amahuaca,5,429
amas1236,Ama (Sudan),6,697
amel1241,Amele,7,161
amha1245,Amharic,13,3440
amoo1242,Amo,13,784
ando1256,Andoque,7,181
anga1290,Angaataha,5,1709
anta1253,Antakarinya,4,178
aona1235,Ao Naga,5,605
apin1244,Apinayé,8,229
apro1235,Aproumu Aizi,11,24
apuc1241,Apucikwar,7,58
arab1268,Arabela,5,182
arch1244,Archi,38,1822
asha1243,Asháninka,4,497
atay1247,Atayal,7,1882
avar1256,Avar,8,646
awng1244,Awngi,12,2024
baat1238,Baatonum,12,379
baka1277,Bakairí,8,428
bamb1269,Bambara,11,386
bard1255,Bardi,6,46
bash1264,Bashkir,11,231
basq1248,Basque,6,362
bata1289,Batak Toba,6,948
bats1242,Bats,10,1048
beem1239,Beembe,11,358
beja1238,Beja,8,348
bell1243,Bella Coola,11,852
beng1280,Bengali,11,8
bero1242,Berom,11,1221
bert1248,Berta,8,897
biss1248,Bissa,9,263
bodo1269,Bodo-Mech,5,114
bord1248,Border Kuna,8,460
boro1282,Bororo,6,180
bouy1240,Bouyei,8,774
brah1256,Brahui,8,1328
bret1244,Breton,12,143
brib1243,Bribri,8,706
bulg1262,Bulgarian,12,98
bura1267,Burarra,5,36
buru1296,Burushaski,8,3309
cacu1241,Kakua,6,155
cadd1256,Caddo,5,377
came1252,Donga Mambila,9,781
cams1241,Camsá,7,2387
carn1240,Car Nicobarese,8,30
cayu1262,Cayubaba,11,141
ceba1235,Cebaara Senoufo,13,390
cent1973,Central Pashto,8,1057
cent1989,Central Khmer,10,26
cent2004,Central Bai,10,3046
cent2050,Central Kanuri,8,314
cent2128,Central Siberian Yupik,14,0
cent2144,Central Mazahua,19,2941
chac1249,Cha'palaa,6,122
cham1312,Chamorro,7,69
cher1273,Cherokee,4,1159
chip1261,Chipewyan,11,258
chiq1250,Chiquihuitlán Mazatec,6,1897
chua1250,Chuave,6,2050
chua1256,Chuanqiandian Cluster Miao,12,1077
chuk1273,Chukchi,5,0
chuv1255,Chuvash,10,95
cofa1242,Cofán,8,342
copa1236,Copainalá Zoque,6,526
cube1242,Cubeo,7,192
dadi1250,Dadibi,8,1267
dagb1246,Dagbani,10,181
daha1245,Dahalo,15,20
dalo1238,Daloa Bété,14,234
dang1274,Dangaleat,8,459
dann1241,Dan,16,324
darf1239,Dar Fur Daju,7,609
daur1238,Dagur,8,167
dawr1236,Dawro,6,1936
dera1245,Dera (Indonesia),6,332
dera1248,Dera (Nigeria),10,195
dhuw1249,Dhuwal,5,99
dier1241,Dieri,4,19
dizi1235,Dizin,8,2094
doya1240,Doyayo,14,309
dyir1250,Dyirbal,4,858
east1436,Eastern Pahari,9,3212
east2328,Eastern Mari,9,45
east2347,Eastern Tamang,8,1864
east2379,Eastern Arrernte,5,720
east2516,East Kewa,6,1942
east2542,Eastern Ojibwa,6,213
efik1245,Efik,8,25
egyp1253,Egyptian Arabic,7,6
ejag1239,Ejagham,11,220
ekar1243,Ekari,6,1658
enap1235,Panare,7,52
epen1239,Epena,8,22
even1260,Even,8,0
ewee1241,Ewe,15,114
ewon1239,Ewondo,13,593
eyak1241,Eyak,8,0
fasu1242,Fasu,8,217
fefe1239,Fe'fe',7,1444
fiji1243,Fijian,8,151
finn1318,Finnish,9,66
fuln1247,Fulniô,8,391
furr1244,Fur,9,874
fwai1237,Fwâi,10,126
gaaa1244,Ga,17,94
gaam1241,Gaam,8,898
