Glottocode,language,periodicGlottalSource,elevation
abip1241,Abipon,14,65
acat1239,Acatepec Me'phaa,20,504
ache1246,Aché,17,158
achu1247,Achumawi,13,1258
adze1240,Adzera,17,207
afad1236,Afade,22,293
aghe1239,Aghem,27,1047
ahte1237,Ahtena,18,0
aika1237,Aikanã,22,520
ainu1240,Hokkaido Ainu,10,216
akan1250,Akan,26,166
akaw1239,Akawaio,19,970
alab1237,Alabama,9,89
alam1246,Alamblak,17,77
alaw1244,Alawa,21,147
aleu1260,Aleut,13,82
alla1248,Alladian,27,14
amah1246,Amahuaca,13,429
amas1236,Ama (Sudan),21,697
amel1241,Amele,14,161
amha1245,Amharic,21,3440
amoo1242,Amo,25,784
ando1256,Andoque,19,181
anga1290,Angaataha,16,1709
anta1253,Antakarinya,15,178
aona1235,Ao Naga,14,605
apin1244,Apinayé,24,229
apro1235,Aproumu Aizi,25,24
apuc1241,Apucikwar,20,58
arab1268,Arabela,12,182
arch1244,Archi,31,1822
asha1243,Asháninka,10,497
atay1247,Atayal,17,1882
avar1256,Avar,17,646
awng1244,Awngi,24,2024
baat1238,Baatonum,23,379
baka1277,Bakairí,23,428
bamb1269,Bambara,27,386
bard1255,Bardi,19,46
bash1264,Bashkir,25,231
basq1248,Basque,16,362
bata1289,Batak Toba,16,948
bats1242,Bats,25,1048
beem1239,Beembe,14,358
beja1238,Beja,17,348
bell1243,Bella Coola,8,852
beng1280,Bengali,30,8
bero1242,Berom,21,1221
bert1248,Berta,20,897
biss1248,Bissa,19,263
bodo1269,Bodo-Mech,16,114
bord1248,Border Kuna,15,460
boro1282,Bororo,16,180
bouy1240,Bouyei,21,774
brah1256,Brahui,22,1328
bret1244,Breton,36,143
brib1243,Bribri,19,706
bulg1262,Bulgarian,27,98
bura1267,Burarra,16,36
buru1296,Burushaski,21,3309
cacu1241,Kakua,15,155
cadd1256,Caddo,10,377
came1252,Donga Mambila,18,781
cams1241,Camsá,17,2387
carn1240,Car Nicobarese,18,30
cayu1262,Cayubaba,26,141
ceba1235,Cebaara Senoufo,27,390
cent1973,Central Pashto,26,1057
cent1989,Central Khmer,31,26
cent2004,Central Bai,18,3046
cent2050,Central Kanuri,19,314
cent2128,Central Siberian Yupik,17,0
cent2144,Central Mazahua,32,2941
chac1249,Cha'palaa,17,122
cham1312,Chamorro,18,69
cher1273,Cherokee,14,1159
chip1261,Chipewyan,22,258
chiq1250,Chiquihuitlán Mazatec,23,1897
chua1250,Chuave,13,2050
chua1256,Chuanqiandian Cluster Miao,19,1077
chuk1273,Chukchi,14,0
chuv1255,Chuvash,20,95
cofa1242,Cofán,20,342
copa1236,Copainalá Zoque,15,526
cube1242,Cubeo,18,192
dadi1250,Dadibi,15,1267
dagb1246,Dagbani,21,181
daha1245,Dahalo,34,20
dalo1238,Daloa Bété,30,234
dang1274,Dangaleat,23,459
dann1241,Dan,33,324
darf1239,Dar Fur Daju,22,609
daur1238,Dagur,20,167
dawr1236,Dawro,17,1936
dera1245,Dera (Indonesia),14,332
dera1248,Dera (Nigeria),31,195
dhuw1249,Dhuwal,16,99
dier1241,Dieri,19,19
dizi1235,Dizin,19,2094
doya1240,Doyayo,27,309
dyir1250,Dyirbal,16,858
east1436,Eastern Pahari,27,3212
east2328,Eastern Mari,21,45
east2347,Eastern Tamang,17,1864
east2379,Eastern Arrernte,24,720
east2516,East Kewa,15,1942
east2542,Eastern Ojibwa,14,213
efik1245,Efik,15,25
egyp1253,Egyptian Arabic,23,6
ejag1239,Ejagham,20,220
