Glottocode,language,sonorant,elevation
abip1241,Abipon,12,65
acat1239,Acatepec Me'phaa,16,504
ache1246,Aché,12,158
achu1247,Achumawi,12,1258
adze1240,Adzera,13,207
afad1236,Afade,15,293
aghe1239,Aghem,18,1047
ahte1237,Ahtena,10,0
aika1237,Aikanã,16,520
ainu1240,Hokkaido Ainu,10,216
akan1250,Akan,21,166
akaw1239,Akawaio,15,970
alab1237,Alabama,8,89
alam1246,Alamblak,13,77
alaw1244,Alawa,16,147
aleu1260,Aleut,13,82
alla1248,Alladian,19,14
amah1246,Amahuaca,13,429
amas1236,Ama (Sudan),16,697
amel1241,Amele,9,161
amha1245,Amharic,14,3440
amoo1242,Amo,18,784
ando1256,Andoque,16,181
anga1290,Angaataha,16,1709
anta1253,Antakarinya,15,178
aona1235,Ao Naga,13,605
apin1244,Apinayé,18,229
apro1235,Aproumu Aizi,16,24
apuc1241,Apucikwar,16,58
arab1268,Arabela,12,182
arch1244,Archi,16,1822
asha1243,Asháninka,9,497
atay1247,Atayal,14,1882
avar1256,Avar,11,646
awng1244,Awngi,15,2024
baat1238,Baatonum,18,379
baka1277,Bakairí,18,428
bamb1269,Bambara,22,386
bard1255,Bardi,19,46
bash1264,Bashkir,18,231
basq1248,Basque,12,362
bata1289,Batak Toba,12,948
bats1242,Bats,15,1048
beem1239,Beembe,13,358
beja1238,Beja,11,348
bell1243,Bella Coola,8,852
beng1280,Bengali,20,8
bero1242,Berom,14,1221
bert1248,Berta,12,897
biss1248,Bissa,14,263
bodo1269,Bodo-Mech,12,114
bord1248,Border Kuna,11,460
boro1282,Bororo,12,180
bouy1240,Bouyei,19,774
brah1256,Brahui,14,1328
bret1244,Breton,28,143
brib1243,Bribri,15,706
bulg1262,Bulgarian,15,98
bura1267,Burarra,16,36
buru1296,Burushaski,12,3309
cacu1241,Kakua,15,155
cadd1256,Caddo,8,377
came1252,Donga Mambila,13,781
cams1241,Camsá,14,2387
carn1240,Car Nicobarese,18,30
cayu1262,Cayubaba,22,141
ceba1235,Cebaara Senoufo,19,390
cent1973,Central Pashto,15,1057
cent1989,Central Khmer,29,26
cent2004,Central Bai,16,3046
cent2050,Central Kanuri,14,314
cent2128,Central Siberian Yupik,17,0
cent2144,Central Mazahua,30,2941
chac1249,Cha'palaa,13,122
cham1312,Chamorro,14,69
cher1273,Cherokee,11,1159
chip1261,Chipewyan,19,258
chiq1250,Chiquihuitlán Mazatec,14,1897
chua1250,Chuave,10,2050
chua1256,Chuanqiandian Cluster Miao,20,1077
chuk1273,Chukchi,12,0
chuv1255,Chuvash,15,95
cofa1242,Cofán,12,342
copa1236,Copainalá Zoque,12,526
cube1242,Cubeo,13,192
dadi1250,Dadibi,15,1267
dagb1246,Dagbani,14,181
daha1245,Dahalo,12,20
dalo1238,Daloa Bété,22,234
dang1274,Dangaleat,15,459
dann1241,Dan,25,324
darf1239,Dar Fur Daju,15,609
daur1238,Dagur,14,167
dawr1236,Dawro,11,1936
dera1245,Dera (Indonesia),11,332
dera1248,Dera (Nigeria),20,195
dhuw1249,Dhuwal,16,99
dier1241,Dieri,18,19
dizi1235,Dizin,12,2094
doya1240,Doyayo,19,309
dyir1250,Dyirbal,12,858
east1436,Eastern Pahari,17,3212
east2328,Eastern Mari,16,45
east2347,Eastern Tamang,17,1864
east2379,Eastern Arrernte,18,720
east2516,East Kewa,12,1942
east2542,Eastern Ojibwa,14,213
efik1245,Efik,13,25
egyp1253,Egyptian Arabic,14,6
ejag1239,Ejagham,14,220
ekar1243,Ekari,9,1658
enap1235,Panare,18,52
epen1239,Epena,18,22
even1260,Even,18,0
ewee1241,Ewe,22,114
ewon1239,Ewondo,15,593
eyak1241,Eyak,18,0
fasu1242,Fasu,15,217
fefe1239,Fe'fe',12,1444
fiji1243,Fijian,19,151
finn1318,Finnish,14,66
fuln1247,Fulniô,16,391
furr1244,Fur,19,874
fwai1237,Fwâi,21,126
gaaa1244,Ga,22,94
gaam1241,Gaam,17,898
gads1258,Gadsup,9,1311
gali1262,Galibi Carib,12,6
