Glottocode,language,strident,elevation
abip1241,Abipon,1,65
acat1239,Acatepec Me'phaa,5,504
ache1246,Aché,2,158
achu1247,Achumawi,3,1258
adze1240,Adzera,3,207
afad1236,Afade,2,293
aghe1239,Aghem,6,1047
ahte1237,Ahtena,5,0
aika1237,Aikanã,7,520
ainu1240,Hokkaido Ainu,2,216
akan1250,Akan,1,166
akaw1239,Akawaio,2,970
alab1237,Alabama,2,89
alam1246,Alamblak,4,77
aleu1260,Aleut,3,82
alla1248,Alladian,4,14
amah1246,Amahuaca,2,429
amas1236,Ama (Sudan),1,697
amel1241,Amele,1,161
amha1245,Amharic,8,3440
amoo1242,Amo,6,784
ando1256,Andoque,2,181
anga1290,Angaataha,1,1709
aona1235,Ao Naga,2,605
apin1244,Apinayé,3,229
apro1235,Aproumu Aizi,4,24
apuc1241,Apucikwar,2,58
arab1268,Arabela,2,182
arch1244,Archi,22,1822
asha1243,Asháninka,4,497
atay1247,Atayal,3,1882
avar1256,Avar,14,646
awng1244,Awngi,7,2024
baat1238,Baatonum,2,379
baka1277,Bakairí,4,428
bamb1269,Bambara,5,386
bash1264,Bashkir,6,231
basq1248,Basque,6,362
bata1289,Batak Toba,2,948
bats1242,Bats,10,1048
beem1239,Beembe,3,358
beja1238,Beja,3,348
bell1243,Bella Coola,3,852
beng1280,Bengali,6,8
bero1242,Berom,2,1221
bert1248,Berta,4,897
biss1248,Bissa,2,263
bodo1269,Bodo-Mech,2,114
bord1248,Border Kuna,2,460
boro1282,Bororo,2,180
bouy1240,Bouyei,1,774
brah1256,Brahui,4,1328
bret1244,Breton,4,143
brib1243,Bribri,5,706
bulg1262,Bulgarian,10,98
buru1296,Burushaski,12,3309
cacu1241,Kakua,1,155
cadd1256,Caddo,6,377
came1252,Donga Mambila,3,781
cams1241,Camsá,6,2387
carn1240,Car Nicobarese,2,30
cayu1262,Cayubaba,4,141
ceba1235,Cebaara Senoufo,4,390
cent1973,Central Pashto,10,1057
cent1989,Central Khmer,1,26
cent2004,Central Bai,4,3046
cent2050,Central Kanuri,5,314
cent2128,Central Siberian Yupik,2,0
cent2144,Central Mazahua,12,2941
